PPvec,blockVec,stimLevelVec,sidVec,chanVec
8.27283577607463e-05,1,1500,"08b13",1
5.50645991038615e-05,1,1500,"08b13",2
3.63300463226318e-05,1,1500,"08b13",3
1.78193339842442e-05,1,1500,"08b13",4
8.01522516973235e-05,1,1500,"08b13",5
5.54319646379317e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
NaN,1,1500,"08b13",1
NaN,1,1500,"08b13",2
NaN,1,1500,"08b13",3
NaN,1,1500,"08b13",4
0.000165207787062817,1,1500,"08b13",5
0.000126753684217166,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
NaN,1,1500,"08b13",1
NaN,1,1500,"08b13",2
4.91782337370014e-05,1,1500,"08b13",3
7.90847713383736e-05,1,1500,"08b13",4
0.00013976501009638,1,1500,"08b13",5
5.81817951527441e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
NaN,1,1500,"08b13",1
NaN,1,1500,"08b13",2
2.84704017170242e-05,1,1500,"08b13",3
3.93873871752082e-05,1,1500,"08b13",4
9.47120390097287e-05,1,1500,"08b13",5
6.41632661789503e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
4.96879714293953e-05,1,1500,"08b13",1
5.17247602237149e-05,1,1500,"08b13",2
6.2898241345063e-05,1,1500,"08b13",3
6.37893366330012e-05,1,1500,"08b13",4
9.11324199183407e-05,1,1500,"08b13",5
6.30029875818142e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
9.85770382982987e-05,1,1500,"08b13",1
0.000112235987247623,1,1500,"08b13",2
7.33417373763195e-05,1,1500,"08b13",3
9.43100501715037e-05,1,1500,"08b13",4
5.15990209166056e-05,1,1500,"08b13",5
3.97201713860362e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
NaN,1,1500,"08b13",1
7.49841144315446e-05,1,1500,"08b13",2
5.08425095856296e-05,1,1500,"08b13",3
4.94928527951986e-05,1,1500,"08b13",4
4.56068844762171e-05,1,1500,"08b13",5
4.94279756078057e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
NaN,1,1500,"08b13",1
6.83294657653377e-05,1,1500,"08b13",2
4.60094104757827e-05,1,1500,"08b13",3
5.60384172621624e-05,1,1500,"08b13",4
5.08376453072226e-05,1,1500,"08b13",5
0.00013204888901672,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
4.34436902568576e-05,1,1500,"08b13",1
6.67999553046228e-05,1,1500,"08b13",2
4.53098877815958e-05,1,1500,"08b13",3
2.64490433195278e-05,1,1500,"08b13",4
5.89587071821398e-05,1,1500,"08b13",5
5.57837270669156e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
5.19650586980314e-05,1,1500,"08b13",1
5.40257448257145e-05,1,1500,"08b13",2
2.59711310643683e-05,1,1500,"08b13",3
0.000173645440094903,1,1500,"08b13",4
0.000100513522011675,1,1500,"08b13",5
0.000187853794410165,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
3.8872640615592e-05,1,1500,"08b13",1
5.72764892087367e-05,1,1500,"08b13",2
7.0440346124482e-05,1,1500,"08b13",3
5.34402018967657e-05,1,1500,"08b13",4
7.16359264506102e-05,1,1500,"08b13",5
0.000156585666563728,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
0.000143593219172946,1,1500,"08b13",1
4.2149584489758e-05,1,1500,"08b13",2
6.83645914863729e-05,1,1500,"08b13",3
5.46964404202897e-05,1,1500,"08b13",4
7.30968783652919e-05,1,1500,"08b13",5
0.000126379180584972,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
4.24147739578574e-05,1,1500,"08b13",1
4.97459549843379e-05,1,1500,"08b13",2
7.6783189211707e-05,1,1500,"08b13",3
2.30009501702605e-05,1,1500,"08b13",4
9.14482722700498e-05,1,1500,"08b13",5
2.21818333809448e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
8.93131798661992e-05,1,1500,"08b13",1
9.13686479364146e-05,1,1500,"08b13",2
3.28331663786391e-05,1,1500,"08b13",3
0.000233708805219936,1,1500,"08b13",4
6.64502543921354e-05,1,1500,"08b13",5
0.000133737495336186,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
2.81554250687136e-05,1,1500,"08b13",1
7.31278189081051e-05,1,1500,"08b13",2
3.32789026899157e-05,1,1500,"08b13",3
0.000100559307160376,1,1500,"08b13",4
4.47704544925406e-05,1,1500,"08b13",5
0.000107692894276113,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
7.23045098080677e-05,1,1500,"08b13",1
6.17789104973448e-05,1,1500,"08b13",2
2.5113121676293e-05,1,1500,"08b13",3
7.58339144328424e-05,1,1500,"08b13",4
0.000103402481864463,1,1500,"08b13",5
0.000161107203975433,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
9.43166299937609e-06,1,1500,"08b13",1
0.000139652390521512,1,1500,"08b13",2
9.82039966220143e-05,1,1500,"08b13",3
1.96790595195082e-05,1,1500,"08b13",4
6.31817168961535e-05,1,1500,"08b13",5
5.72315897768527e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
2.08892821063825e-05,1,1500,"08b13",1
4.70607437496936e-05,1,1500,"08b13",2
3.13747841559519e-05,1,1500,"08b13",3
7.4218295471396e-05,1,1500,"08b13",4
8.41040440822953e-05,1,1500,"08b13",5
3.86725496801812e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
8.71789361675807e-05,1,1500,"08b13",1
3.72247560513574e-05,1,1500,"08b13",2
3.11591506259151e-05,1,1500,"08b13",3
4.81673276558784e-05,1,1500,"08b13",4
4.36551064699759e-05,1,1500,"08b13",5
0.000380873641543669,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
2.3807642558205e-05,1,1500,"08b13",1
6.98021085461476e-05,1,1500,"08b13",2
6.09822647283296e-05,1,1500,"08b13",3
5.98323465793469e-05,1,1500,"08b13",4
0.000102108559598217,1,1500,"08b13",5
9.68147525055605e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
0.000239659692034078,1,1500,"08b13",1
5.86765807554748e-05,1,1500,"08b13",2
3.2519985296764e-05,1,1500,"08b13",3
4.5558875520614e-05,1,1500,"08b13",4
4.99839851359871e-05,1,1500,"08b13",5
4.77135426847997e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
0.000198573481616521,1,1500,"08b13",1
7.40460500561594e-05,1,1500,"08b13",2
6.2514486591309e-05,1,1500,"08b13",3
5.51172031425289e-05,1,1500,"08b13",4
0.000107849689552823,1,1500,"08b13",5
0.000423389746586885,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
8.83200138898851e-05,1,1500,"08b13",1
6.40069116837777e-05,1,1500,"08b13",2
4.17921005927441e-05,1,1500,"08b13",3
8.6428371072782e-05,1,1500,"08b13",4
9.42181717838251e-05,1,1500,"08b13",5
0.000454079873822705,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
0.000110740037198068,1,1500,"08b13",1
4.93116573404582e-05,1,1500,"08b13",2
0.000149889758157774,1,1500,"08b13",3
5.23853006947326e-05,1,1500,"08b13",4
2.84438862405565e-05,1,1500,"08b13",5
8.77040049275887e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
0.000240323228266453,1,1500,"08b13",1
7.08602616804017e-05,1,1500,"08b13",2
0.000265915895798768,1,1500,"08b13",3
9.78689284455842e-05,1,1500,"08b13",4
9.95247042190107e-05,1,1500,"08b13",5
1.94177700516945e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
0.000196941760860897,1,1500,"08b13",1
2.7660741727557e-05,1,1500,"08b13",2
0.000241402123085391,1,1500,"08b13",3
9.23415661362609e-05,1,1500,"08b13",4
0.000119211640124766,1,1500,"08b13",5
0.000383010124727203,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
4.28256054498166e-05,1,1500,"08b13",1
5.17069047558009e-05,1,1500,"08b13",2
6.71919718504579e-05,1,1500,"08b13",3
4.45806161792656e-05,1,1500,"08b13",4
7.05662550616552e-05,1,1500,"08b13",5
0.00010317215291919,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
0.000211685367145536,1,1500,"08b13",1
0.000129376401463847,1,1500,"08b13",2
0.000161645086490476,1,1500,"08b13",3
0.000173059829424178,1,1500,"08b13",4
0.000148881673712945,1,1500,"08b13",5
9.32185261270247e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
7.91342928916999e-05,1,1500,"08b13",1
7.84373220902555e-05,1,1500,"08b13",2
6.26755885750243e-05,1,1500,"08b13",3
5.97852376301716e-05,1,1500,"08b13",4
0.000186385852476031,1,1500,"08b13",5
6.04617532347375e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
0.000132691593969125,1,1500,"08b13",1
0.000114246444975309,1,1500,"08b13",2
8.87399273419207e-05,1,1500,"08b13",3
9.06656469745324e-05,1,1500,"08b13",4
9.8125847997173e-05,1,1500,"08b13",5
0.000100253758839919,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
3.83394167783379e-05,1,1500,"08b13",1
6.16961835886238e-05,1,1500,"08b13",2
2.17266892009176e-05,1,1500,"08b13",3
4.6401523599377e-05,1,1500,"08b13",4
7.39316683346591e-05,1,1500,"08b13",5
3.99457475591583e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
5.37916492292616e-05,1,1500,"08b13",1
5.13618550697844e-05,1,1500,"08b13",2
4.16236385796286e-05,1,1500,"08b13",3
3.86265408026763e-05,1,1500,"08b13",4
5.81560202399335e-05,1,1500,"08b13",5
0.0002159490428135,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
0.000106533470544974,1,1500,"08b13",1
5.9443301652271e-05,1,1500,"08b13",2
5.83698793902061e-05,1,1500,"08b13",3
4.04000893777686e-05,1,1500,"08b13",4
7.47373778152637e-05,1,1500,"08b13",5
9.01127917611567e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
NaN,1,1500,"08b13",1
6.19635989135124e-05,1,1500,"08b13",2
3.6371908459081e-05,1,1500,"08b13",3
0.000148678501952681,1,1500,"08b13",4
4.57615302313174e-05,1,1500,"08b13",5
5.67011979073844e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
0.000339564265279898,1,1500,"08b13",1
5.79829052619687e-05,1,1500,"08b13",2
4.00262299763544e-05,1,1500,"08b13",3
7.31802641754871e-05,1,1500,"08b13",4
7.22431045469398e-05,1,1500,"08b13",5
5.59812608023936e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
0.000107500527894704,1,1500,"08b13",1
0.000167097543140679,1,1500,"08b13",2
5.09686328542237e-05,1,1500,"08b13",3
4.9356745182129e-05,1,1500,"08b13",4
0.000146760892392635,1,1500,"08b13",5
0.00011852927533537,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
6.42856778195535e-05,1,1500,"08b13",1
5.38895055771473e-05,1,1500,"08b13",2
3.5471110099728e-05,1,1500,"08b13",3
5.64582678868551e-05,1,1500,"08b13",4
0.000102522398081691,1,1500,"08b13",5
0.000239515493856557,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
3.99313274059238e-05,1,1500,"08b13",1
4.86194391154914e-05,1,1500,"08b13",2
5.0634507835366e-05,1,1500,"08b13",3
2.96769222748249e-05,1,1500,"08b13",4
5.04239552535854e-05,1,1500,"08b13",5
6.91513764240454e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
6.72697501192629e-05,1,1500,"08b13",1
6.72274323271366e-05,1,1500,"08b13",2
4.53749187247522e-05,1,1500,"08b13",3
3.69428519244339e-05,1,1500,"08b13",4
7.0695226107598e-05,1,1500,"08b13",5
0.000134353392863272,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
3.15920625824039e-05,1,1500,"08b13",1
5.80893758431529e-05,1,1500,"08b13",2
2.07816561208842e-05,1,1500,"08b13",3
2.75313341404761e-05,1,1500,"08b13",4
7.87370388479414e-05,1,1500,"08b13",5
4.04021949651841e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
