PPvec,blockVec,stimLevelVec,sidVec,chanVec
3.0972473867673e-05,1,3000,"8e907",1
1.10039066904656e-05,1,3000,"8e907",2
4.01552185802362e-05,1,3000,"8e907",3
4.16950111385124e-05,1,3000,"8e907",4
0.00018107141292304,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
4.03636988266772e-05,1,3000,"8e907",8
NaN,1,3000,"8e907",1
NaN,1,3000,"8e907",2
NaN,1,3000,"8e907",3
1.87963941833343e-05,1,3000,"8e907",4
7.80740932208618e-05,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
2.00563784581881e-05,1,3000,"8e907",8
NaN,1,3000,"8e907",1
NaN,1,3000,"8e907",2
2.24535980118087e-05,1,3000,"8e907",3
2.68030163993843e-05,1,3000,"8e907",4
9.75148382945887e-05,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
2.33984810501108e-05,1,3000,"8e907",8
NaN,1,3000,"8e907",1
0.000124464628943205,1,3000,"8e907",2
0.000133951399477314,1,3000,"8e907",3
0.000125456398829619,1,3000,"8e907",4
0.000103485085334094,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
9.25629501410427e-05,1,3000,"8e907",8
2.69940147774558e-05,1,3000,"8e907",1
2.6858520766649e-05,1,3000,"8e907",2
2.96529694739482e-05,1,3000,"8e907",3
3.67714233103103e-05,1,3000,"8e907",4
8.45835526571768e-05,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
1.51244484927903e-05,1,3000,"8e907",8
NaN,1,3000,"8e907",1
3.16794068934272e-05,1,3000,"8e907",2
4.72385013822823e-05,1,3000,"8e907",3
5.53894385268376e-05,1,3000,"8e907",4
9.43301426192311e-05,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
3.49526474895968e-05,1,3000,"8e907",8
NaN,1,3000,"8e907",1
7.03355684705378e-05,1,3000,"8e907",2
2.48438035515641e-05,1,3000,"8e907",3
3.87143272599498e-05,1,3000,"8e907",4
9.86354859894815e-05,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
2.4125844437261e-05,1,3000,"8e907",8
1.00516753118903e-05,1,3000,"8e907",1
6.63639319860591e-06,1,3000,"8e907",2
1.94839974652722e-05,1,3000,"8e907",3
2.32925900561713e-05,1,3000,"8e907",4
0.000168165515249215,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
1.17645606445802e-05,1,3000,"8e907",8
1.09038734564906e-05,1,3000,"8e907",1
1.4098187599066e-05,1,3000,"8e907",2
2.31470679013135e-05,1,3000,"8e907",3
1.15066483452437e-06,1,3000,"8e907",4
8.07626945857461e-05,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
1.29313072336142e-05,1,3000,"8e907",8
6.43608974714663e-05,1,3000,"8e907",1
6.25284380416896e-05,1,3000,"8e907",2
8.11188233963159e-05,1,3000,"8e907",3
6.41514592407517e-05,1,3000,"8e907",4
7.98684438212404e-05,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
5.27011162118486e-05,1,3000,"8e907",8
5.89376474399758e-05,1,3000,"8e907",1
5.45659561064746e-05,1,3000,"8e907",2
4.63723535312075e-05,1,3000,"8e907",3
4.24847117028651e-05,1,3000,"8e907",4
0.000145707583188644,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
2.40098052872153e-05,1,3000,"8e907",8
1.10603104549382e-05,1,3000,"8e907",1
1.68434078951334e-05,1,3000,"8e907",2
1.73831119677326e-05,1,3000,"8e907",3
4.06744143957853e-05,1,3000,"8e907",4
0.000100212179563737,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
2.35031039738641e-05,1,3000,"8e907",8
1.29006648828933e-05,1,3000,"8e907",1
