PPvec,blockVec,stimLevelVec,sidVec,chanVec
8.27283577607463e-05,1,1500,"08b13",1
5.17031969337319e-05,1,1500,"08b13",2
3.63300463226318e-05,1,1500,"08b13",3
1.78193339842442e-05,1,1500,"08b13",4
8.01522516973235e-05,1,1500,"08b13",5
5.74033415146798e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
NaN,1,1500,"08b13",1
NaN,1,1500,"08b13",2
NaN,1,1500,"08b13",3
NaN,1,1500,"08b13",4
0.000165207787062817,1,1500,"08b13",5
0.000126753684217166,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
NaN,1,1500,"08b13",1
NaN,1,1500,"08b13",2
4.34804697654938e-05,1,1500,"08b13",3
2.66548929450527e-05,1,1500,"08b13",4
6.89567045499001e-05,1,1500,"08b13",5
5.81817951527441e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
NaN,1,1500,"08b13",1
NaN,1,1500,"08b13",2
2.84704017170242e-05,1,1500,"08b13",3
3.99169776710398e-05,1,1500,"08b13",4
9.47120390097287e-05,1,1500,"08b13",5
6.3386575901379e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
4.99387009050612e-05,1,1500,"08b13",1
5.17247602237149e-05,1,1500,"08b13",2
6.2898241345063e-05,1,1500,"08b13",3
6.37893366330012e-05,1,1500,"08b13",4
9.00646735173517e-05,1,1500,"08b13",5
1.66860319129592e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
9.85770382982987e-05,1,1500,"08b13",1
0.000112235987247623,1,1500,"08b13",2
4.22898682369901e-05,1,1500,"08b13",3
9.43100501715037e-05,1,1500,"08b13",4
4.39070209774021e-05,1,1500,"08b13",5
3.97201713860362e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
NaN,1,1500,"08b13",1
7.71028976345867e-05,1,1500,"08b13",2
5.08301750823884e-05,1,1500,"08b13",3
4.94928527951986e-05,1,1500,"08b13",4
4.56068844762171e-05,1,1500,"08b13",5
4.94279756078057e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
NaN,1,1500,"08b13",1
6.82608979926822e-05,1,1500,"08b13",2
4.59364209787464e-05,1,1500,"08b13",3
2.27889390638204e-05,1,1500,"08b13",4
5.08376453072226e-05,1,1500,"08b13",5
0.000134643292438229,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
4.25643407257926e-05,1,1500,"08b13",1
6.86069088913575e-05,1,1500,"08b13",2
4.42443709985956e-05,1,1500,"08b13",3
2.9091463370774e-05,1,1500,"08b13",4
5.97520807875676e-05,1,1500,"08b13",5
5.57837270669156e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
5.19650586980314e-05,1,1500,"08b13",1
5.42654088081703e-05,1,1500,"08b13",2
NaN,1,1500,"08b13",3
0.000173601705791471,1,1500,"08b13",4
0.000100513522011675,1,1500,"08b13",5
0.000187853794410165,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
3.8872640615592e-05,1,1500,"08b13",1
4.56084299933263e-05,1,1500,"08b13",2
7.0440346124482e-05,1,1500,"08b13",3
5.10610218539195e-05,1,1500,"08b13",4
7.16359264506102e-05,1,1500,"08b13",5
1.15048545193535e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
0.000143593219172946,1,1500,"08b13",1
4.2149584489758e-05,1,1500,"08b13",2
6.83645914863729e-05,1,1500,"08b13",3
5.46964404202897e-05,1,1500,"08b13",4
7.20866958461996e-05,1,1500,"08b13",5
0.000108828406216038,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
4.02802974725859e-05,1,1500,"08b13",1
3.23713425495053e-05,1,1500,"08b13",2
7.6783189211707e-05,1,1500,"08b13",3
2.30009501702605e-05,1,1500,"08b13",4
9.14482722700498e-05,1,1500,"08b13",5
1.30421365835621e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
8.93131798661992e-05,1,1500,"08b13",1
9.13686479364146e-05,1,1500,"08b13",2
3.28331663786391e-05,1,1500,"08b13",3
0.000233708805219936,1,1500,"08b13",4
6.64502543921354e-05,1,1500,"08b13",5
0.000133737495336186,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
2.81554250687136e-05,1,1500,"08b13",1
1.86719640082861e-05,1,1500,"08b13",2
1.65031636643268e-05,1,1500,"08b13",3
2.35697072688935e-05,1,1500,"08b13",4
4.47704544925406e-05,1,1500,"08b13",5
0.000107692894276113,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
7.23045098080677e-05,1,1500,"08b13",1
6.17789104973448e-05,1,1500,"08b13",2
1.88061459505057e-05,1,1500,"08b13",3
7.58339144328424e-05,1,1500,"08b13",4
0.000103402481864463,1,1500,"08b13",5
0.000161107203975433,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
NaN,1,1500,"08b13",1
2.60785600753666e-05,1,1500,"08b13",2
8.56369303494591e-05,1,1500,"08b13",3
1.96790595195082e-05,1,1500,"08b13",4
5.77900515439609e-05,1,1500,"08b13",5
5.72315897768527e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
2.08892821063825e-05,1,1500,"08b13",1
4.70607437496936e-05,1,1500,"08b13",2
3.12550482836096e-05,1,1500,"08b13",3
4.49693848557054e-05,1,1500,"08b13",4
5.0486715774319e-05,1,1500,"08b13",5
2.7445158005369e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
9.45706582839641e-06,1,1500,"08b13",1
3.70321080548791e-05,1,1500,"08b13",2
3.11591506259151e-05,1,1500,"08b13",3
4.79951103893264e-05,1,1500,"08b13",4
4.35757831396116e-05,1,1500,"08b13",5
2.92566050507736e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
2.3807642558205e-05,1,1500,"08b13",1
6.86004340701623e-05,1,1500,"08b13",2
3.53088678659691e-06,1,1500,"08b13",3
5.97579546548609e-05,1,1500,"08b13",4
0.000102108559598217,1,1500,"08b13",5
2.60071454613692e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
1.23794731565336e-05,1,1500,"08b13",1
5.86765807554748e-05,1,1500,"08b13",2
3.27212918507733e-05,1,1500,"08b13",3
4.5558875520614e-05,1,1500,"08b13",4
7.85364597481817e-05,1,1500,"08b13",5
4.77135426847997e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
2.38812580423248e-05,1,1500,"08b13",1
6.33274961526034e-05,1,1500,"08b13",2
2.38958504880059e-05,1,1500,"08b13",3
5.20166516398458e-05,1,1500,"08b13",4
3.11228604655485e-05,1,1500,"08b13",5
0.000423389746586885,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
8.41472823648021e-05,1,1500,"08b13",1
3.95587842469145e-05,1,1500,"08b13",2
4.17921005927441e-05,1,1500,"08b13",3
3.91834096604272e-05,1,1500,"08b13",4
9.42181717838251e-05,1,1500,"08b13",5
0.00027647331714096,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
0.000110740037198068,1,1500,"08b13",1
4.93116573404582e-05,1,1500,"08b13",2
8.89825116494404e-05,1,1500,"08b13",3
NaN,1,1500,"08b13",4
1.80688964499077e-05,1,1500,"08b13",5
8.58525922601105e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
NaN,1,1500,"08b13",1
2.88170028379472e-05,1,1500,"08b13",2
5.75773726477213e-05,1,1500,"08b13",3
4.78929669553385e-05,1,1500,"08b13",4
9.95247042190107e-05,1,1500,"08b13",5
3.90974823404579e-06,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
8.64352152896109e-06,1,1500,"08b13",1
2.7660741727557e-05,1,1500,"08b13",2
NaN,1,1500,"08b13",3
7.14936861581629e-05,1,1500,"08b13",4
5.63546205726458e-05,1,1500,"08b13",5
0.000307815472602114,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
4.28256054498166e-05,1,1500,"08b13",1
5.17069047558009e-05,1,1500,"08b13",2
6.71919718504579e-05,1,1500,"08b13",3
4.45806161792656e-05,1,1500,"08b13",4
7.05662550616552e-05,1,1500,"08b13",5
0.00010317215291919,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
0.000211685367145536,1,1500,"08b13",1
6.58925057073585e-05,1,1500,"08b13",2
0.000119498299260608,1,1500,"08b13",3
0.000173059829424178,1,1500,"08b13",4
0.000148881673712945,1,1500,"08b13",5
8.60186421534521e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
8.40728397651353e-05,1,1500,"08b13",1
7.56512373807577e-05,1,1500,"08b13",2
6.66869945025468e-05,1,1500,"08b13",3
6.44416377027233e-05,1,1500,"08b13",4
0.00011366013511928,1,1500,"08b13",5
6.34267936539611e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
7.72684530081248e-05,1,1500,"08b13",1
0.000114246444975309,1,1500,"08b13",2
6.52526065776082e-05,1,1500,"08b13",3
9.06656469745324e-05,1,1500,"08b13",4
9.82908033469509e-05,1,1500,"08b13",5
0.000100474493289431,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
3.83394167783379e-05,1,1500,"08b13",1
4.28892806795954e-05,1,1500,"08b13",2
9.72571064267945e-06,1,1500,"08b13",3
4.8048967073802e-05,1,1500,"08b13",4
3.12984978572012e-05,1,1500,"08b13",5
5.19907559961579e-06,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
4.65199843136111e-05,1,1500,"08b13",1
5.31568890980783e-05,1,1500,"08b13",2
4.35152224189563e-05,1,1500,"08b13",3
3.90980269169383e-05,1,1500,"08b13",4
6.10882310846413e-05,1,1500,"08b13",5
NaN,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
0.000106533470544974,1,1500,"08b13",1
6.10258598285568e-05,1,1500,"08b13",2
6.11569462225404e-05,1,1500,"08b13",3
4.04000893777686e-05,1,1500,"08b13",4
7.44743927151314e-05,1,1500,"08b13",5
8.45584589011594e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
0.000243020964696261,1,1500,"08b13",1
6.19635989135124e-05,1,1500,"08b13",2
3.6371908459081e-05,1,1500,"08b13",3
0.00014936923463427,1,1500,"08b13",4
4.02809643282466e-05,1,1500,"08b13",5
NaN,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
5.30991457919342e-06,1,1500,"08b13",1
5.79829052619687e-05,1,1500,"08b13",2
4.00262299763544e-05,1,1500,"08b13",3
4.5742020640651e-05,1,1500,"08b13",4
7.22431045469398e-05,1,1500,"08b13",5
5.59812608023936e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
3.43934170891826e-05,1,1500,"08b13",1
3.9480022473966e-05,1,1500,"08b13",2
5.09686328542237e-05,1,1500,"08b13",3
4.9356745182129e-05,1,1500,"08b13",4
0.000113358581093769,1,1500,"08b13",5
0.00011852927533537,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
6.42856778195535e-05,1,1500,"08b13",1
5.38895055771473e-05,1,1500,"08b13",2
3.5471110099728e-05,1,1500,"08b13",3
3.70132908045921e-05,1,1500,"08b13",4
8.43782699111447e-05,1,1500,"08b13",5
0.000239515493856557,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
3.99313274059238e-05,1,1500,"08b13",1
4.86194391154914e-05,1,1500,"08b13",2
5.0634507835366e-05,1,1500,"08b13",3
2.96769222748249e-05,1,1500,"08b13",4
4.62583570051983e-05,1,1500,"08b13",5
6.91513764240454e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
9.56422261610312e-05,1,1500,"08b13",1
4.07649801871199e-05,1,1500,"08b13",2
3.7051817318507e-05,1,1500,"08b13",3
3.69428519244339e-05,1,1500,"08b13",4
7.0695226107598e-05,1,1500,"08b13",5
5.26521617085006e-06,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
1.76383953757909e-05,1,1500,"08b13",1
5.80893758431529e-05,1,1500,"08b13",2
1.86542553896646e-05,1,1500,"08b13",3
1.76040606523801e-05,1,1500,"08b13",4
7.87370388479414e-05,1,1500,"08b13",5
4.04021949651841e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
5.74547375358037e-05,1,1500,"08b13",1
7.00190857043038e-05,1,1500,"08b13",2
3.56044751338509e-05,1,1500,"08b13",3
5.99367555051246e-05,1,1500,"08b13",4
9.56738489148435e-05,1,1500,"08b13",5
0.000228090746768961,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
3.17049160649058e-05,1,1500,"08b13",1
8.96474012977297e-05,1,1500,"08b13",2
6.78989106668541e-05,1,1500,"08b13",3
3.84554316096371e-05,1,1500,"08b13",4
8.68090503567466e-05,1,1500,"08b13",5
1.83753996822665e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
3.08077129521074e-05,1,1500,"08b13",1
4.36809994859298e-05,1,1500,"08b13",2
4.75187111464639e-05,1,1500,"08b13",3
5.24994286672194e-05,1,1500,"08b13",4
2.59151544091918e-05,1,1500,"08b13",5
0.000250812288169738,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
4.55964839524246e-05,1,1500,"08b13",1
6.91866941061201e-05,1,1500,"08b13",2
5.43923446109384e-05,1,1500,"08b13",3
3.12487844136817e-05,1,1500,"08b13",4
6.86237003930736e-05,1,1500,"08b13",5
9.52590390192463e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
6.71384871202971e-05,1,1500,"08b13",1
7.70389706554686e-05,1,1500,"08b13",2
0.000105397690161924,1,1500,"08b13",3
0.000115481690283424,1,1500,"08b13",4
0.000199644293454695,1,1500,"08b13",5
0.00029264895910502,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
2.20111668498195e-05,1,1500,"08b13",1
4.97930863087061e-05,1,1500,"08b13",2
7.26108882611299e-05,1,1500,"08b13",3
6.12358782234954e-05,1,1500,"08b13",4
9.01417938494404e-05,1,1500,"08b13",5
2.22648040840645e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
3.21127827966531e-05,1,1500,"08b13",1
4.22663307495712e-05,1,1500,"08b13",2
6.06056008995645e-05,1,1500,"08b13",3
3.01935742841869e-05,1,1500,"08b13",4
6.50853436917158e-05,1,1500,"08b13",5
0.000102078713684758,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
NaN,1,1500,"08b13",1
6.95927302218883e-05,1,1500,"08b13",2
5.7321372663508e-05,1,1500,"08b13",3
2.99721814793916e-05,1,1500,"08b13",4
5.22474645500895e-05,1,1500,"08b13",5
7.43991928491376e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
3.10084657061609e-05,1,1500,"08b13",1
4.06629820366409e-05,1,1500,"08b13",2
5.32738472538884e-05,1,1500,"08b13",3
4.49760413347755e-05,1,1500,"08b13",4
3.1082407899679e-05,1,1500,"08b13",5
0.000122542454337214,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
7.08146819554507e-05,1,1500,"08b13",1
6.88901874700918e-05,1,1500,"08b13",2
2.91448902130697e-05,1,1500,"08b13",3
5.24558328615941e-05,1,1500,"08b13",4
8.52912349847035e-05,1,1500,"08b13",5
0.000163429457395061,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
5.58880125213426e-05,1,1500,"08b13",1
5.94110730908749e-05,1,1500,"08b13",2
6.29609582404091e-05,1,1500,"08b13",3
3.65786568322448e-05,1,1500,"08b13",4
4.46280569607494e-05,1,1500,"08b13",5
0.000149914706663599,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
8.69954439900494e-05,1,1500,"08b13",1
6.31204642275233e-05,1,1500,"08b13",2
9.64732802496405e-05,1,1500,"08b13",3
5.21383087641376e-05,1,1500,"08b13",4
8.8448168497277e-05,1,1500,"08b13",5
1.34173299820014e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
3.95327310088344e-05,1,1500,"08b13",1
5.84241849613907e-05,1,1500,"08b13",2
1.8455232346566e-05,1,1500,"08b13",3
3.48487866430193e-05,1,1500,"08b13",4
4.85869913037904e-05,1,1500,"08b13",5
9.99109995063361e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
3.14577624428502e-05,1,1500,"08b13",1
5.94904809642915e-05,1,1500,"08b13",2
0.000105091818778894,1,1500,"08b13",3
5.32597151465709e-05,1,1500,"08b13",4
0.000128115803848141,1,1500,"08b13",5
5.67328174942344e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
5.6170182851001e-05,1,1500,"08b13",1
7.05767079255098e-05,1,1500,"08b13",2
NaN,1,1500,"08b13",3
2.25437594851928e-05,1,1500,"08b13",4
7.25507136089771e-05,1,1500,"08b13",5
8.69451447627511e-06,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
8.08081973660736e-05,1,1500,"08b13",1
4.8447471945826e-05,1,1500,"08b13",2
7.25220158094882e-05,1,1500,"08b13",3
4.31090973630929e-05,1,1500,"08b13",4
5.12429873456207e-05,1,1500,"08b13",5
6.01905756581206e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
4.76434660080286e-05,1,1500,"08b13",1
4.78639905473287e-05,1,1500,"08b13",2
3.97144180552013e-05,1,1500,"08b13",3
5.85479908175683e-05,1,1500,"08b13",4
0.0001657619330819,1,1500,"08b13",5
0.00014708880051893,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
3.59812159073058e-05,1,1500,"08b13",1
3.52550900219921e-05,1,1500,"08b13",2
2.48348954605002e-05,1,1500,"08b13",3
2.58519324328868e-05,1,1500,"08b13",4
0.000151281620658134,1,1500,"08b13",5
1.37952312764687e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
4.38897464113694e-05,1,1500,"08b13",1
7.03062322210575e-05,1,1500,"08b13",2
2.6299767819285e-05,1,1500,"08b13",3
0.000124973270825849,1,1500,"08b13",4
7.14386536884909e-05,1,1500,"08b13",5
7.77254187469652e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
1.32474635043445e-05,1,1500,"08b13",1
5.5433582992994e-05,1,1500,"08b13",2
4.95484997794269e-05,1,1500,"08b13",3
2.89126412803949e-05,1,1500,"08b13",4
8.93076710706179e-05,1,1500,"08b13",5
7.27097859635929e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
5.487217350455e-05,1,2000,"08b13",1
5.65225921388741e-05,1,2000,"08b13",2
4.15153434650915e-05,1,2000,"08b13",3
4.00228999221159e-05,1,2000,"08b13",4
6.46689321564809e-05,1,2000,"08b13",5
0.000118177176001447,1,2000,"08b13",6
NaN,1,2000,"08b13",7
NaN,1,2000,"08b13",8
NaN,1,2000,"08b13",1
NaN,1,2000,"08b13",2
NaN,1,2000,"08b13",3
NaN,1,2000,"08b13",4
0.000103524085308585,1,2000,"08b13",5
0.000206315616627716,1,2000,"08b13",6
NaN,1,2000,"08b13",7
NaN,1,2000,"08b13",8
NaN,1,2000,"08b13",1
NaN,1,2000,"08b13",2
5.84461770123371e-05,1,2000,"08b13",3
6.14674819207506e-05,1,2000,"08b13",4
8.21064373121706e-05,1,2000,"08b13",5
6.99908533736303e-05,1,2000,"08b13",6
NaN,1,2000,"08b13",7
NaN,1,2000,"08b13",8
NaN,1,2000,"08b13",1
NaN,1,2000,"08b13",2
2.08764237125181e-05,1,2000,"08b13",3
3.59915210514576e-05,1,2000,"08b13",4
7.32986697980518e-05,1,2000,"08b13",5
0.000136509563220047,1,2000,"08b13",6
NaN,1,2000,"08b13",7
NaN,1,2000,"08b13",8
4.93501253761457e-05,1,2000,"08b13",1
1.99067448389579e-05,1,2000,"08b13",2
NaN,1,2000,"08b13",3
5.38395949198766e-05,1,2000,"08b13",4
8.44220108100775e-05,1,2000,"08b13",5
0.000101711677444659,1,2000,"08b13",6
NaN,1,2000,"08b13",7
NaN,1,2000,"08b13",8
8.43640827536993e-05,1,2000,"08b13",1
8.5751610034521e-05,1,2000,"08b13",2
0.000142945357373548,1,2000,"08b13",3
0.000110779161559867,1,2000,"08b13",4
0.000136775034775345,1,2000,"08b13",5
0.000384445997279563,1,2000,"08b13",6
NaN,1,2000,"08b13",7
NaN,1,2000,"08b13",8
NaN,1,2000,"08b13",1
6.25456358051483e-05,1,2000,"08b13",2
4.74624194157798e-05,1,2000,"08b13",3
3.83585157696971e-05,1,2000,"08b13",4
0.000193835672478925,1,2000,"08b13",5
0.000173405408823896,1,2000,"08b13",6
NaN,1,2000,"08b13",7
NaN,1,2000,"08b13",8
NaN,1,2000,"08b13",1
5.43122879749326e-05,1,2000,"08b13",2
5.25636638846892e-05,1,2000,"08b13",3
8.1896583166524e-05,1,2000,"08b13",4
9.99694951976919e-05,1,2000,"08b13",5
0.000129319684015912,1,2000,"08b13",6
NaN,1,2000,"08b13",7
NaN,1,2000,"08b13",8
0.000128347197137413,1,2000,"08b13",1
4.87457754926075e-05,1,2000,"08b13",2
6.29968839990771e-05,1,2000,"08b13",3
3.37904851972095e-05,1,2000,"08b13",4
7.25942953055884e-05,1,2000,"08b13",5
8.73977106322816e-05,1,2000,"08b13",6
NaN,1,2000,"08b13",7
NaN,1,2000,"08b13",8
5.49691102655718e-05,1,2000,"08b13",1
9.60435196172056e-05,1,2000,"08b13",2
4.39869868406174e-05,1,2000,"08b13",3
8.49215168745327e-05,1,2000,"08b13",4
0.000174115402603093,1,2000,"08b13",5
8.72392006634025e-05,1,2000,"08b13",6
NaN,1,2000,"08b13",7
NaN,1,2000,"08b13",8
7.89250501556344e-05,1,2000,"08b13",1
0.000100784398277881,1,2000,"08b13",2
4.81820073668032e-05,1,2000,"08b13",3
5.94382011842444e-05,1,2000,"08b13",4
0.000196051688117458,1,2000,"08b13",5
