PPvec,blockVec,stimLevelVec,sidVec,chanVec
4.83212961523451e-05,1,1500,"08b13",1
3.76947007185185e-05,1,1500,"08b13",2
4.68038053713393e-05,1,1500,"08b13",3
7.23012485414013e-06,1,1500,"08b13",4
9.04195711445319e-05,1,1500,"08b13",5
0.000101094883130365,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
NaN,1,1500,"08b13",1
NaN,1,1500,"08b13",2
NaN,1,1500,"08b13",3
NaN,1,1500,"08b13",4
5.36022379233319e-05,1,1500,"08b13",5
6.74547055082342e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
NaN,1,1500,"08b13",1
NaN,1,1500,"08b13",2
2.29745136172098e-05,1,1500,"08b13",3
2.67421544079363e-05,1,1500,"08b13",4
3.72939203382443e-05,1,1500,"08b13",5
6.70512305019118e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
NaN,1,1500,"08b13",1
NaN,1,1500,"08b13",2
2.3692026963965e-06,1,1500,"08b13",3
7.53109232687305e-05,1,1500,"08b13",4
8.02606801658855e-05,1,1500,"08b13",5
6.46509378439136e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
4.98712691090892e-05,1,1500,"08b13",1
3.72979800840442e-05,1,1500,"08b13",2
3.33997341722592e-05,1,1500,"08b13",3
4.79760195085214e-05,1,1500,"08b13",4
4.00483784036068e-05,1,1500,"08b13",5
1.75287828789004e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
5.00162635078937e-05,1,1500,"08b13",1
3.77399914145569e-05,1,1500,"08b13",2
1.10073223813965e-05,1,1500,"08b13",3
1.27479079804495e-05,1,1500,"08b13",4
5.2978814679981e-05,1,1500,"08b13",5
3.23802207467263e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
NaN,1,1500,"08b13",1
3.8927099244119e-05,1,1500,"08b13",2
8.30336280969898e-06,1,1500,"08b13",3
3.85947828543427e-05,1,1500,"08b13",4
6.01589851176437e-05,1,1500,"08b13",5
2.27146735630435e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
NaN,1,1500,"08b13",1
3.71370943562087e-05,1,1500,"08b13",2
2.86334135209108e-05,1,1500,"08b13",3
NaN,1,1500,"08b13",4
5.39793849440049e-05,1,1500,"08b13",5
0.000190503598429746,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
1.79706174456412e-05,1,1500,"08b13",1
3.75781258505853e-05,1,1500,"08b13",2
1.81380740092301e-05,1,1500,"08b13",3
4.21201991969467e-05,1,1500,"08b13",4
6.22293093023052e-05,1,1500,"08b13",5
NaN,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
2.18097538905634e-05,1,1500,"08b13",1
4.61538067926596e-05,1,1500,"08b13",2
2.06792801754972e-05,1,1500,"08b13",3
2.91459891178358e-05,1,1500,"08b13",4
7.35881699230728e-05,1,1500,"08b13",5
6.37094385073442e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
4.44159443726494e-05,1,1500,"08b13",1
4.63505463242766e-05,1,1500,"08b13",2
2.84838715514831e-05,1,1500,"08b13",3
3.25031755462142e-05,1,1500,"08b13",4
3.75549823783529e-05,1,1500,"08b13",5
2.46337350330111e-05,1,1500,"08b13",6
