PPvec,blockVec,stimLevelVec,sidVec,chanVec
1.86380676113242e-06,1,3000,"8e907",1
2.97921192100295e-06,1,3000,"8e907",2
3.33120228265296e-06,1,3000,"8e907",3
1.915273656112e-05,1,3000,"8e907",4
0.000181942247353919,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
NaN,1,3000,"8e907",8
NaN,1,3000,"8e907",1
NaN,1,3000,"8e907",2
NaN,1,3000,"8e907",3
1.87445052691268e-05,1,3000,"8e907",4
7.74645786021642e-05,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
9.44526646301934e-06,1,3000,"8e907",8
NaN,1,3000,"8e907",1
NaN,1,3000,"8e907",2
2.24212415940532e-05,1,3000,"8e907",3
2.23624967011307e-05,1,3000,"8e907",4
9.77057815223637e-05,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
NaN,1,3000,"8e907",8
NaN,1,3000,"8e907",1
0.000124680055435027,1,3000,"8e907",2
0.000133447314570138,1,3000,"8e907",3
0.000123788346796888,1,3000,"8e907",4
9.70087504134949e-05,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
9.23140806407869e-05,1,3000,"8e907",8
8.25060472808006e-06,1,3000,"8e907",1
6.00218739211343e-06,1,3000,"8e907",2
6.07538535436037e-06,1,3000,"8e907",3
9.55763717862244e-06,1,3000,"8e907",4
5.20620998429455e-05,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
1.52334199758253e-05,1,3000,"8e907",8
NaN,1,3000,"8e907",1
6.54980898595351e-06,1,3000,"8e907",2
9.11400901272718e-06,1,3000,"8e907",3
8.57018158274811e-06,1,3000,"8e907",4
6.70066973287994e-05,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
2.67519889561634e-06,1,3000,"8e907",8
NaN,1,3000,"8e907",1
2.36448015323202e-06,1,3000,"8e907",2
1.32726080145572e-05,1,3000,"8e907",3
7.264057590425e-06,1,3000,"8e907",4
9.89331360694212e-05,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
NaN,1,3000,"8e907",8
NaN,1,3000,"8e907",1
NaN,1,3000,"8e907",2
4.6545643668505e-06,1,3000,"8e907",3
2.33846822043933e-05,1,3000,"8e907",4
0.000167029761574889,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
1.21417722590584e-05,1,3000,"8e907",8
7.26933762913795e-06,1,3000,"8e907",1
7.53417103689246e-06,1,3000,"8e907",2
7.56256453872755e-06,1,3000,"8e907",3
NaN,1,3000,"8e907",4
5.67158667143312e-05,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
NaN,1,3000,"8e907",8
7.66336044420606e-06,1,3000,"8e907",1
9.36814460376187e-06,1,3000,"8e907",2
7.03182719396017e-06,1,3000,"8e907",3
NaN,1,3000,"8e907",4
3.14960747295042e-05,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
1.15677399039292e-05,1,3000,"8e907",8
5.89570251128432e-05,1,3000,"8e907",1
5.33850055451229e-05,1,3000,"8e907",2
4.67714379278307e-05,1,3000,"8e907",3
4.325654157773e-05,1,3000,"8e907",4
0.00014482861858003,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
1.39183549038133e-05,1,3000,"8e907",8
8.62626496438683e-06,1,3000,"8e907",1
7.04222804223819e-06,1,3000,"8e907",2
1.15245786394817e-05,1,3000,"8e907",3
1.02259809288086e-05,1,3000,"8e907",4
5.00508814714443e-05,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
NaN,1,3000,"8e907",8
NaN,1,3000,"8e907",1
NaN,1,3000,"8e907",2
1.41116176406953e-05,1,3000,"8e907",3
7.37820855448408e-05,1,3000,"8e907",4
0.000195850278516662,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
8.22384706429837e-06,1,3000,"8e907",8
1.28079179220105e-05,1,3000,"8e907",1
5.06567034165463e-06,1,3000,"8e907",2
1.54893291116314e-05,1,3000,"8e907",3
1.02644051463734e-05,1,3000,"8e907",4
0.000168082975335662,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
NaN,1,3000,"8e907",8
1.11602277401411e-05,1,3000,"8e907",1
1.77444347858981e-05,1,3000,"8e907",2
NaN,1,3000,"8e907",3
NaN,1,3000,"8e907",4
5.33792627065666e-05,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
NaN,1,3000,"8e907",8
6.19500487783299e-06,1,3000,"8e907",1
7.67168107820536e-06,1,3000,"8e907",2
5.07932985546922e-06,1,3000,"8e907",3
1.32953710765405e-05,1,3000,"8e907",4
0.000131931136900851,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
9.92487813981315e-06,1,3000,"8e907",8
9.14981302642214e-06,1,3000,"8e907",1
6.30592537706356e-06,1,3000,"8e907",2
1.14929066583627e-05,1,3000,"8e907",3
1.09018509136488e-05,1,3000,"8e907",4
4.62155083460615e-05,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
1.72918698665342e-06,1,3000,"8e907",8
1.80776854404024e-05,1,3000,"8e907",1
3.57561818963563e-05,1,3000,"8e907",2
3.1450225311094e-05,1,3000,"8e907",3
