PPvec,blockVec,stimLevelVec,sidVec,chanVec
1.89975670791067e-05,1,3000,"8e907",1
2.13594271064126e-05,1,3000,"8e907",2
1.93137816735649e-05,1,3000,"8e907",3
2.44022665030909e-05,1,3000,"8e907",4
0.000113712299586865,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
1.37655294166899e-05,1,3000,"8e907",8
NaN,1,3000,"8e907",1
NaN,1,3000,"8e907",2
NaN,1,3000,"8e907",3
3.06514871176697e-05,1,3000,"8e907",4
5.90187956585025e-05,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
3.17741298066449e-05,1,3000,"8e907",8
NaN,1,3000,"8e907",1
NaN,1,3000,"8e907",2
1.62969794863266e-05,1,3000,"8e907",3
1.76308712755106e-05,1,3000,"8e907",4
0.000105554182682257,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
6.66609930890796e-06,1,3000,"8e907",8
NaN,1,3000,"8e907",1
2.3667712071373e-05,1,3000,"8e907",2
3.25589193384092e-05,1,3000,"8e907",3
2.55631444616207e-05,1,3000,"8e907",4
0.000113145919693181,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
3.13961843383706e-05,1,3000,"8e907",8
1.89653993936103e-05,1,3000,"8e907",1
1.28508028463119e-05,1,3000,"8e907",2
2.44969812007342e-05,1,3000,"8e907",3
3.57524411007296e-05,1,3000,"8e907",4
0.000129192203509014,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
1.2435571254363e-05,1,3000,"8e907",8
NaN,1,3000,"8e907",1
1.52347623125966e-05,1,3000,"8e907",2
2.41341873213018e-05,1,3000,"8e907",3
6.42155783798478e-05,1,3000,"8e907",4
0.000110287039034721,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
1.2430187901471e-05,1,3000,"8e907",8
NaN,1,3000,"8e907",1
2.03220323807336e-05,1,3000,"8e907",2
2.25390450665846e-05,1,3000,"8e907",3
2.25120150238766e-05,1,3000,"8e907",4
0.000106398390021122,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
