PPvec,blockVec,stimLevelVec,sidVec,chanVec
7.84013388624814e-05,1,5000,"01fee",1
9.05489764168403e-05,1,5000,"01fee",2
8.14426954055292e-05,1,5000,"01fee",3
0.000187870783819837,1,5000,"01fee",4
0.000602765632265992,1,5000,"01fee",5
NaN,1,5000,"01fee",6
NaN,1,5000,"01fee",7
0.000107989313723661,1,5000,"01fee",8
NaN,1,5000,"01fee",1
NaN,1,5000,"01fee",2
NaN,1,5000,"01fee",3
0.000237410335527759,1,5000,"01fee",4
0.000754849255411022,1,5000,"01fee",5
NaN,1,5000,"01fee",6
NaN,1,5000,"01fee",7
0.000130395625898467,1,5000,"01fee",8
NaN,1,5000,"01fee",1
NaN,1,5000,"01fee",2
6.38857277845514e-05,1,5000,"01fee",3
0.000148885735388752,1,5000,"01fee",4
0.000600260082141196,1,5000,"01fee",5
NaN,1,5000,"01fee",6
NaN,1,5000,"01fee",7
8.86671643563202e-05,1,5000,"01fee",8
NaN,1,5000,"01fee",1
6.1866602315379e-05,1,5000,"01fee",2
7.45665735665549e-05,1,5000,"01fee",3
0.000162162509897881,1,5000,"01fee",4
0.000601375477802883,1,5000,"01fee",5
NaN,1,5000,"01fee",6
NaN,1,5000,"01fee",7
6.65321898044608e-05,1,5000,"01fee",8
5.37124076468454e-05,1,5000,"01fee",1
7.39006656659766e-05,1,5000,"01fee",2
7.52143209118821e-05,1,5000,"01fee",3
0.000154125000860208,1,5000,"01fee",4
0.000610364754329914,1,5000,"01fee",5
NaN,1,5000,"01fee",6
NaN,1,5000,"01fee",7
0.000113423919167051,1,5000,"01fee",8
NaN,1,5000,"01fee",1
9.83566464773283e-05,1,5000,"01fee",2
0.000146881404975041,1,5000,"01fee",3
0.000251626276724284,1,5000,"01fee",4
0.000778253633654478,1,5000,"01fee",5
NaN,1,5000,"01fee",6
NaN,1,5000,"01fee",7
9.38257906986263e-05,1,5000,"01fee",8
NaN,1,5000,"01fee",1
4.36080678958895e-05,1,5000,"01fee",2
6.77277682799483e-05,1,5000,"01fee",3
0.000154471853221895,1,5000,"01fee",4
0.000605542393403158,1,5000,"01fee",5
NaN,1,5000,"01fee",6
NaN,1,5000,"01fee",7
6.68683271746095e-05,1,5000,"01fee",8
3.49478209946203e-05,1,5000,"01fee",1
5.39399364125609e-05,1,5000,"01fee",2
6.41593666086819e-05,1,5000,"01fee",3
0.000155141445464278,1,5000,"01fee",4
0.000616135287475894,1,5000,"01fee",5
NaN,1,5000,"01fee",6
NaN,1,5000,"01fee",7
0.000119668168438925,1,5000,"01fee",8
0.000127924214510371,1,5000,"01fee",1
6.79950197416797e-05,1,5000,"01fee",2
8.88576767599437e-05,1,5000,"01fee",3
0.000191082548901432,1,5000,"01fee",4
0.000695538632480408,1,5000,"01fee",5
NaN,1,5000,"01fee",6
NaN,1,5000,"01fee",7
6.41610503192866e-05,1,5000,"01fee",8
6.32532482839755e-05,1,5000,"01fee",1
0.000117995077426492,1,5000,"01fee",2
0.000174510373288022,1,5000,"01fee",3
0.000292619549895446,1,5000,"01fee",4
0.000912243060662661,1,5000,"01fee",5
NaN,1,5000,"01fee",6
NaN,1,5000,"01fee",7
0.00015280286609644,1,5000,"01fee",8
5.14288620594011e-05,1,5000,"01fee",1
4.13625235591456e-05,1,5000,"01fee",2
5.32058292714952e-05,1,5000,"01fee",3
0.000136635178129963,1,5000,"01fee",4
0.000597569827545814,1,5000,"01fee",5
NaN,1,5000,"01fee",6
NaN,1,5000,"01fee",7
0.000109323338871986,1,5000,"01fee",8
