PPvec,blockVec,stimLevelVec,sidVec,chanVec
4.07368722225146e-05,1,5000,"01fee",1
6.46484407765173e-05,1,5000,"01fee",2
8.71335742790539e-05,1,5000,"01fee",3
0.000188833182350876,1,5000,"01fee",4
0.000528815071290878,1,5000,"01fee",5
NaN,1,5000,"01fee",6
NaN,1,5000,"01fee",7
6.62371664977335e-05,1,5000,"01fee",8
NaN,1,5000,"01fee",1
NaN,1,5000,"01fee",2
NaN,1,5000,"01fee",3
0.000177590926028824,1,5000,"01fee",4
0.000662618471638179,1,5000,"01fee",5
NaN,1,5000,"01fee",6
NaN,1,5000,"01fee",7
8.82760212238207e-05,1,5000,"01fee",8
NaN,1,5000,"01fee",1
NaN,1,5000,"01fee",2
6.48641576699114e-05,1,5000,"01fee",3
0.00016680930786651,1,5000,"01fee",4
0.000638750200207234,1,5000,"01fee",5
NaN,1,5000,"01fee",6
NaN,1,5000,"01fee",7
5.53319607162515e-05,1,5000,"01fee",8
NaN,1,5000,"01fee",1
0.000103676470653451,1,5000,"01fee",2
0.000126620240575908,1,5000,"01fee",3
0.000230258731230039,1,5000,"01fee",4
0.000811452516563765,1,5000,"01fee",5
NaN,1,5000,"01fee",6
NaN,1,5000,"01fee",7
0.000125474386109889,1,5000,"01fee",8
3.49233465673198e-05,1,5000,"01fee",1
5.40473611865077e-05,1,5000,"01fee",2
7.43501897833853e-05,1,5000,"01fee",3
0.000194955278398351,1,5000,"01fee",4
0.000708682712803265,1,5000,"01fee",5
NaN,1,5000,"01fee",6
NaN,1,5000,"01fee",7
7.08390284580291e-05,1,5000,"01fee",8
NaN,1,5000,"01fee",1
7.55217899688598e-05,1,5000,"01fee",2
9.21058746151314e-05,1,5000,"01fee",3
0.000222444573978596,1,5000,"01fee",4
0.000791182644641487,1,5000,"01fee",5
NaN,1,5000,"01fee",6
NaN,1,5000,"01fee",7
8.65054877432869e-05,1,5000,"01fee",8
NaN,1,5000,"01fee",1
5.54675957486834e-05,1,5000,"01fee",2
7.73062363844326e-05,1,5000,"01fee",3
0.000164178823426136,1,5000,"01fee",4
0.000654766106933064,1,5000,"01fee",5
NaN,1,5000,"01fee",6
NaN,1,5000,"01fee",7
7.92323101023838e-05,1,5000,"01fee",8
6.38901749828764e-05,1,5000,"01fee",1
8.0492389801128e-05,1,5000,"01fee",2
0.000103490411671952,1,5000,"01fee",3
0.000223781179852841,1,5000,"01fee",4
0.00076465781853551,1,5000,"01fee",5
NaN,1,5000,"01fee",6
NaN,1,5000,"01fee",7
8.28521517080615e-05,1,5000,"01fee",8
2.61213235288553e-05,1,5000,"01fee",1
6.27570340575376e-05,1,5000,"01fee",2
8.43200116867451e-05,1,5000,"01fee",3
0.000184995162307419,1,5000,"01fee",4
0.000745851649529715,1,5000,"01fee",5
NaN,1,5000,"01fee",6
NaN,1,5000,"01fee",7
7.63605908285733e-05,1,5000,"01fee",8
4.42944663029511e-05,1,5000,"01fee",1
0.000100038630649211,1,5000,"01fee",2
9.86291355432161e-05,1,5000,"01fee",3
0.00018563469633781,1,5000,"01fee",4
0.000670545857177905,1,5000,"01fee",5
NaN,1,5000,"01fee",6
NaN,1,5000,"01fee",7
6.21911675277377e-05,1,5000,"01fee",8
5.13894301339624e-05,1,5000,"01fee",1
5.20291785104117e-05,1,5000,"01fee",2
9.06013513884046e-05,1,5000,"01fee",3
0.000211027731180185,1,5000,"01fee",4
0.000756124688818494,1,5000,"01fee",5
NaN,1,5000,"01fee",6
NaN,1,5000,"01fee",7
6.20913499560931e-05,1,5000,"01fee",8
5.72275204963973e-05,1,5000,"01fee",1
6.74729233231085e-05,1,5000,"01fee",2
9.22310772710782e-05,1,5000,"01fee",3
0.000177407582890087,1,5000,"01fee",4
0.000682980249216356,1,5000,"01fee",5
NaN,1,5000,"01fee",6
NaN,1,5000,"01fee",7
6.34627270471373e-05,1,5000,"01fee",8
6.46671804842603e-05,1,5000,"01fee",1
8.27359516958803e-05,1,5000,"01fee",2
0.000124439770304866,1,5000,"01fee",3
0.00021799304045786,1,5000,"01fee",4
0.000756957063688575,1,5000,"01fee",5
NaN,1,5000,"01fee",6
NaN,1,5000,"01fee",7
7.74448713309501e-05,1,5000,"01fee",8
6.23415607605907e-05,1,5000,"01fee",1
0.000101639766770467,1,5000,"01fee",2
0.000113878715044992,1,5000,"01fee",3
0.000194217062610864,1,5000,"01fee",4
0.00072055463150546,1,5000,"01fee",5
NaN,1,5000,"01fee",6
NaN,1,5000,"01fee",7
4.57193296173204e-05,1,5000,"01fee",8
7.57989018183187e-05,1,5000,"01fee",1
8.53792063744746e-05,1,5000,"01fee",2
0.000110081394341138,1,5000,"01fee",3
0.000181227557489092,1,5000,"01fee",4
0.000716595405729426,1,5000,"01fee",5
NaN,1,5000,"01fee",6
NaN,1,5000,"01fee",7
8.36533680610286e-05,1,5000,"01fee",8
6.96471627559461e-05,1,5000,"01fee",1
6.94731256977326e-05,1,5000,"01fee",2
9.16685466913666e-05,1,5000,"01fee",3
0.000196643906146524,1,5000,"01fee",4
0.000740571690147338,1,5000,"01fee",5
NaN,1,5000,"01fee",6
NaN,1,5000,"01fee",7
5.36115005349879e-05,1,5000,"01fee",8
5.62275984229948e-05,1,5000,"01fee",1
6.36596510179356e-05,1,5000,"01fee",2
0.000130370139824717,1,5000,"01fee",3
0.000217965858129282,1,5000,"01fee",4
0.00075707273589669,1,5000,"01fee",5
NaN,1,5000,"01fee",6
NaN,1,5000,"01fee",7
7.65724772180334e-05,1,5000,"01fee",8
7.38460539340688e-05,1,5000,"01fee",1
0.000105823422287267,1,5000,"01fee",2
9.90111085425171e-05,1,5000,"01fee",3
0.000195358642523455,1,5000,"01fee",4
0.000717787593728178,1,5000,"01fee",5
NaN,1,5000,"01fee",6
NaN,1,5000,"01fee",7
8.47115984984206e-05,1,5000,"01fee",8
4.49542430541736e-05,1,5000,"01fee",1
7.09682218359278e-05,1,5000,"01fee",2
9.86929476374728e-05,1,5000,"01fee",3
0.000191423354074945,1,5000,"01fee",4
0.000709702335898556,1,5000,"01fee",5
NaN,1,5000,"01fee",6
NaN,1,5000,"01fee",7
7.59214353092338e-05,1,5000,"01fee",8
7.72520200278046e-05,1,5000,"01fee",1
8.01496776109168e-05,1,5000,"01fee",2
9.61895725315148e-05,1,5000,"01fee",3
0.000163288240544336,1,5000,"01fee",4
0.000649988457237654,1,5000,"01fee",5
NaN,1,5000,"01fee",6
NaN,1,5000,"01fee",7
8.39055549288644e-05,1,5000,"01fee",8
7.06124217547774e-05,1,6000,"01fee",1
0.000103600448224756,1,6000,"01fee",2
0.000125921810578446,1,6000,"01fee",3
0.000289939139606063,1,6000,"01fee",4
0.000938792193194175,1,6000,"01fee",5
NaN,1,6000,"01fee",6
NaN,1,6000,"01fee",7
6.95563941181221e-05,1,6000,"01fee",8
NaN,1,6000,"01fee",1
NaN,1,6000,"01fee",2
NaN,1,6000,"01fee",3
0.000230979092692547,1,6000,"01fee",4
0.00084381882043838,1,6000,"01fee",5
NaN,1,6000,"01fee",6
NaN,1,6000,"01fee",7
5.43215011071013e-05,1,6000,"01fee",8
NaN,1,6000,"01fee",1
NaN,1,6000,"01fee",2
7.41927013760202e-05,1,6000,"01fee",3
0.000239452357037085,1,6000,"01fee",4
0.000721656916044035,1,6000,"01fee",5
NaN,1,6000,"01fee",6
NaN,1,6000,"01fee",7
8.48355189715511e-05,1,6000,"01fee",8
NaN,1,6000,"01fee",1
0.00012832056053367,1,6000,"01fee",2
8.56367048397231e-05,1,6000,"01fee",3
0.000230328550075948,1,6000,"01fee",4
0.000837409293625378,1,6000,"01fee",5
NaN,1,6000,"01fee",6
NaN,1,6000,"01fee",7
6.52396818181177e-05,1,6000,"01fee",8
4.80527051807639e-05,1,6000,"01fee",1
7.20673223774877e-05,1,6000,"01fee",2
0.00011989688936295,1,6000,"01fee",3
0.000329136833753893,1,6000,"01fee",4
0.000891273556440625,1,6000,"01fee",5
NaN,1,6000,"01fee",6
NaN,1,6000,"01fee",7
8.03345007739227e-05,1,6000,"01fee",8
NaN,1,6000,"01fee",1
4.58387883495853e-05,1,6000,"01fee",2
0.00010613935184615,1,6000,"01fee",3
0.000226599029319933,1,6000,"01fee",4
0.000732058706688107,1,6000,"01fee",5
NaN,1,6000,"01fee",6
NaN,1,6000,"01fee",7
6.67829863997977e-05,1,6000,"01fee",8
NaN,1,6000,"01fee",1
0.000237837609573751,1,6000,"01fee",2
9.82443259474196e-05,1,6000,"01fee",3
0.000247558301628478,1,6000,"01fee",4
0.000923238978279959,1,6000,"01fee",5
NaN,1,6000,"01fee",6
NaN,1,6000,"01fee",7
0.000124820734005706,1,6000,"01fee",8
4.951351721768e-05,1,6000,"01fee",1
0.000255612453490733,1,6000,"01fee",2
0.000157099112246055,1,6000,"01fee",3
0.000265092439178039,1,6000,"01fee",4
0.00094384983028618,1,6000,"01fee",5
NaN,1,6000,"01fee",6
NaN,1,6000,"01fee",7
8.6722095720669e-05,1,6000,"01fee",8
6.73160870738707e-05,1,6000,"01fee",1
0.000158935058250213,1,6000,"01fee",2
0.000203734587894871,1,6000,"01fee",3
0.000300795238046753,1,6000,"01fee",4
0.000954537905405674,1,6000,"01fee",5
NaN,1,6000,"01fee",6
NaN,1,6000,"01fee",7
0.000103025633985022,1,6000,"01fee",8
3.95370649818653e-05,1,6000,"01fee",1
6.00466742701697e-05,1,6000,"01fee",2
6.38633126591872e-05,1,6000,"01fee",3
0.000217976876560618,1,6000,"01fee",4
0.000821023727445315,1,6000,"01fee",5
NaN,1,6000,"01fee",6
NaN,1,6000,"01fee",7
7.91931474823283e-05,1,6000,"01fee",8
6.46844499938653e-05,1,6000,"01fee",1
8.6250099009721e-05,1,6000,"01fee",2
0.000116268737302515,1,6000,"01fee",3
0.000261100407393907,1,6000,"01fee",4
0.000871642639243921,1,6000,"01fee",5
NaN,1,6000,"01fee",6
NaN,1,6000,"01fee",7
6.14816375076974e-05,1,6000,"01fee",8
4.5235366430896e-05,1,6000,"01fee",1
6.53393867564998e-05,1,6000,"01fee",2
8.51257166481846e-05,1,6000,"01fee",3
0.000189785984203533,1,6000,"01fee",4
0.000696011636139987,1,6000,"01fee",5
NaN,1,6000,"01fee",6
NaN,1,6000,"01fee",7
0.000116054878718384,1,6000,"01fee",8
4.34757469412564e-05,1,6000,"01fee",1
9.47287784578581e-05,1,6000,"01fee",2
8.16549092110549e-05,1,6000,"01fee",3
0.000234372041374825,1,6000,"01fee",4
