PPvec,blockVec,stimLevelVec,sidVec,chanVec,PPfromAvgVec,rmsVec
8.35652930641323e-05,1,5000,"01fee",1,3.21773837787128e-05,4.31021878635767e-05
9.13018809707763e-05,1,5000,"01fee",2,2.56405634128175e-05,3.35909917459903e-05
8.14426954055292e-05,1,5000,"01fee",3,6.05603706211013e-05,4.6704554682591e-05
NaN,1,5000,"01fee",4,0.000198243475083263,8.30343803440481e-05
NaN,1,5000,"01fee",5,0.00064157756461579,0.000245920087420174
NaN,1,5000,"01fee",6,NaN,NaN
NaN,1,5000,"01fee",7,NaN,NaN
0.000135029903109699,1,5000,"01fee",8,5.1582744184607e-05,5.05402885686871e-05
5.19930179445175e-05,1,5000,"01fee",1,3.45563369568973e-06,1.94297705686301e-05
8.04146798076118e-05,1,5000,"01fee",2,3.53084363874192e-05,2.46749596362855e-05
0.00013375328035791,1,5000,"01fee",3,0.000100762653898276,4.23238190002124e-05
0.000237410335527759,1,5000,"01fee",4,0.000226511770191377,7.12671412500659e-05
0.000754849255411021,1,5000,"01fee",5,0.000729259885853833,0.000201140465192352
NaN,1,5000,"01fee",6,NaN,0
NaN,1,5000,"01fee",7,NaN,0
0.000123233177055593,1,5000,"01fee",8,6.57801571004642e-05,3.99952371591667e-05
9.40180482960781e-05,1,5000,"01fee",1,5.35056626980188e-06,2.66286339245892e-05
0.000153764969457128,1,5000,"01fee",2,3.24723557094802e-05,5.64362943069368e-05
7.22287375984148e-05,1,5000,"01fee",3,5.48593771496059e-05,3.31006129657277e-05
0.000148885735388752,1,5000,"01fee",4,0.000135951715705111,4.07132271618236e-05
0.000600260082141197,1,5000,"01fee",5,0.000575778428586215,0.000149016096936967
NaN,1,5000,"01fee",6,NaN,0
NaN,1,5000,"01fee",7,NaN,0
8.86671643563202e-05,1,5000,"01fee",8,7.97372073473356e-05,3.00008042207418e-05
4.29824259014905e-05,1,5000,"01fee",1,1.0382991999408e-05,3.01851866899077e-05
5.03732770598508e-05,1,5000,"01fee",2,1.88467795246956e-05,2.76830936070133e-05
7.45665735665549e-05,1,5000,"01fee",3,2.72307761761564e-05,2.98024786811562e-05
0.000162162509897881,1,5000,"01fee",4,0.000151308904137366,4.33633708218798e-05
0.000601375477802884,1,5000,"01fee",5,0.000579351135637282,0.000152389896859526
NaN,1,5000,"01fee",6,NaN,0
NaN,1,5000,"01fee",7,NaN,0
7.02448381012654e-05,1,5000,"01fee",8,4.89392391809495e-05,4.04604645111395e-05
5.55547137149815e-05,1,5000,"01fee",1,1.47219571102341e-05,1.84772798267832e-05
9.60752042413703e-05,1,5000,"01fee",2,1.49190072741553e-05,4.59251552703878e-05
9.81642732299921e-05,1,5000,"01fee",3,4.81917068257989e-05,3.69539769026593e-05
0.000154125000860208,1,5000,"01fee",4,0.000148787612295022,5.3483627404101e-05
0.000610364754329914,1,5000,"01fee",5,0.000593169376263446,0.000171337867625767
NaN,1,5000,"01fee",6,NaN,0
NaN,1,5000,"01fee",7,NaN,0
0.000113423919167051,1,5000,"01fee",8,9.96281880898721e-05,5.1905043155584e-05
5.81940780444383e-05,1,5000,"01fee",1,4.2054377417818e-05,2.82904324924761e-05
0.000110536465367864,1,5000,"01fee",2,9.60071082963764e-05,4.70517513460903e-05
0.000146881404975041,1,5000,"01fee",3,0.000126694340337117,4.25389282207735e-05
0.000251626276724284,1,5000,"01fee",4,0.000217792896662837,9.23412744215869e-05
0.000778253633654478,1,5000,"01fee",5,0.000763227134024423,0.000222536655762656
NaN,1,5000,"01fee",6,NaN,0
NaN,1,5000,"01fee",7,NaN,0
9.38257906986263e-05,1,5000,"01fee",8,6.43052957604837e-05,3.79311502905961e-05
4.00038513559483e-05,1,5000,"01fee",1,2.88167852195863e-05,1.54210332949685e-05
4.97882001874077e-05,1,5000,"01fee",2,3.37521458356888e-05,1.47129324809519e-05
6.88518507189951e-05,1,5000,"01fee",3,4.88649138106909e-05,1.85354966781962e-05
0.000154471853221895,1,5000,"01fee",4,0.000146685687135575,3.60181115615574e-05
0.000605542393403158,1,5000,"01fee",5,0.000587774220974042,0.000159599804190823
NaN,1,5000,"01fee",6,NaN,0
NaN,1,5000,"01fee",7,NaN,0
6.68683271746095e-05,1,5000,"01fee",8,6.04643782211539e-05,2.44651896728538e-05
8.87368854259404e-05,1,5000,"01fee",1,1.56837208501091e-05,1.29647339515604e-05
5.83109080384392e-05,1,5000,"01fee",2,1.43051762728347e-05,1.74964466516221e-05
6.41593666086819e-05,1,5000,"01fee",3,3.87509862638118e-05,1.66211757025004e-05
0.000155141445464278,1,5000,"01fee",4,0.000147619480712785,3.6283948453328e-05
0.000616135287475894,1,5000,"01fee",5,0.000600268245830185,0.0001601709643836
NaN,1,5000,"01fee",6,NaN,0
NaN,1,5000,"01fee",7,NaN,0
0.000119668168438925,1,5000,"01fee",8,0.000100314829326231,4.66857359989281e-05
3.44452486249925e-05,1,5000,"01fee",1,2.32446885260863e-05,4.22303159255201e-05
0.000115367650507137,1,5000,"01fee",2,4.2695317660486e-06,4.65812831643551e-05
6.32025138283786e-05,1,5000,"01fee",3,2.86822319767429e-05,2.56300752295752e-05
0.000191082548901432,1,5000,"01fee",4,0.00017767792120227,4.81648495817488e-05
0.000695538632480408,1,5000,"01fee",5,0.000666930977167072,0.000197237949490117
NaN,1,5000,"01fee",6,NaN,0
NaN,1,5000,"01fee",7,NaN,0
6.41610503192866e-05,1,5000,"01fee",8,4.80896088466077e-06,2.39658883367944e-05
7.83621069099643e-05,1,5000,"01fee",1,6.85656492887805e-05,3.05284966799139e-05
0.000136528694438918,1,5000,"01fee",2,0.000117012886939873,4.56356092248602e-05
0.000174510373288022,1,5000,"01fee",3,0.000164213525712714,5.25458110600235e-05
0.000292619549895446,1,5000,"01fee",4,0.000287276990822794,9.02218609607396e-05
0.000912243060662661,1,5000,"01fee",5,0.000889618382360544,0.000257803083910341
NaN,1,5000,"01fee",6,NaN,0
NaN,1,5000,"01fee",7,NaN,0
0.00015280286609644,1,5000,"01fee",8,0.000125306583490853,5.625287789179e-05
0.000158443035129058,1,5000,"01fee",1,2.34689026415206e-05,4.95952793042574e-05
0.000120145818646887,1,5000,"01fee",2,3.06609260343218e-05,4.29598357882137e-05
5.93799758909732e-05,1,5000,"01fee",3,4.8225606049555e-05,2.25099185711235e-05
0.000136635178129962,1,5000,"01fee",4,0.000130526458187935,3.95415361251086e-05
0.000597569827545814,1,5000,"01fee",5,0.000583543830369139,0.000155052043342833
NaN,1,5000,"01fee",6,NaN,0
NaN,1,5000,"01fee",7,NaN,0
0.000109323338871986,1,5000,"01fee",8,8.64816260459059e-05,4.72203332041575e-05
0.000118482262979948,1,5000,"01fee",1,0.000105112539486301,7.82982617180364e-05
0.000138528688025395,1,5000,"01fee",2,0.000126075029514309,4.76055761822083e-05
0.000153166419129013,1,5000,"01fee",3,0.000152441108481256,5.80054243731445e-05
0.000270893729687605,1,5000,"01fee",4,0.00026733107072963,7.08024744424676e-05
0.000747072776562634,1,5000,"01fee",5,0.000915405828597748,0.000257104006915875
NaN,1,5000,"01fee",6,NaN,0
NaN,1,5000,"01fee",7,NaN,0
0.000124498750003665,1,5000,"01fee",8,0.000121649027808066,5.28549085219423e-05
4.56438747294197e-05,1,5000,"01fee",1,5.59392960937993e-06,1.57010881732309e-05
9.4173264293668e-05,1,5000,"01fee",2,1.86562536122578e-05,1.90482430604507e-05
7.49081654077268e-05,1,5000,"01fee",3,3.46919067075799e-05,2.65037895053377e-05
0.000131870381906604,1,5000,"01fee",4,0.000126902527442862,3.53688006419797e-05
0.000585250029885272,1,5000,"01fee",5,0.000571654584047039,0.000153413364360956
NaN,1,5000,"01fee",6,NaN,0
NaN,1,5000,"01fee",7,NaN,0
8.42048277948622e-05,1,5000,"01fee",8,8.18819830025127e-05,3.68644325982397e-05
8.08161699847348e-05,1,5000,"01fee",1,5.51592919275016e-05,3.57225213572716e-05
8.51747985104231e-05,1,5000,"01fee",2,4.77200517407817e-05,5.33470545883581e-05
0.000125077530927716,1,5000,"01fee",3,0.000122279916586059,3.96313838537602e-05
0.000280311097475844,1,5000,"01fee",4,0.000273916745579133,8.05747013771043e-05
0.000873424518969686,1,5000,"01fee",5,0.000860470598417637,0.000242894433900027
NaN,1,5000,"01fee",6,NaN,0
NaN,1,5000,"01fee",7,NaN,0
0.000105295888881085,1,5000,"01fee",8,6.82190997903785e-05,5.03967792674381e-05
NaN,1,5000,"01fee",1,1.91694482570096e-05,1.39019236966967e-05
0.000101208816833647,1,5000,"01fee",2,7.07453855705136e-05,4.03699789838864e-05
0.000138313794919119,1,5000,"01fee",3,3.07300573573618e-05,5.78603835194819e-05
0.000174840804265979,1,5000,"01fee",4,0.000164514053907625,4.23153163540152e-05
0.000671629472739327,1,5000,"01fee",5,0.000648371360019664,0.000178594669309139
NaN,1,5000,"01fee",6,NaN,0
NaN,1,5000,"01fee",7,NaN,0
6.63221888518707e-05,1,5000,"01fee",8,4.31857496941959e-05,4.3563086182317e-05
1.81504628822993e-05,1,5000,"01fee",1,3.26830396168985e-05,2.1673286008712e-05
