PPvec,blockVec,stimLevelVec,sidVec,chanVec
4.83032046413511e-05,1,1500,"08b13",1
2.51228390976518e-05,1,1500,"08b13",2
4.68038053713393e-05,1,1500,"08b13",3
7.23012485414013e-06,1,1500,"08b13",4
9.04195711445319e-05,1,1500,"08b13",5
0.000101094883130365,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
NaN,1,1500,"08b13",1
NaN,1,1500,"08b13",2
NaN,1,1500,"08b13",3
NaN,1,1500,"08b13",4
2.67269724624913e-05,1,1500,"08b13",5
6.74547055082342e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
NaN,1,1500,"08b13",1
NaN,1,1500,"08b13",2
2.29745136172098e-05,1,1500,"08b13",3
9.66529424328817e-06,1,1500,"08b13",4
3.72939203382443e-05,1,1500,"08b13",5
6.70512305019118e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
NaN,1,1500,"08b13",1
NaN,1,1500,"08b13",2
2.60383763896879e-06,1,1500,"08b13",3
7.53109232687305e-05,1,1500,"08b13",4
8.02606801658855e-05,1,1500,"08b13",5
6.46509378439136e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
4.19068762903804e-05,1,1500,"08b13",1
3.8163023348818e-05,1,1500,"08b13",2
3.00665786796307e-05,1,1500,"08b13",3
4.79760195085214e-05,1,1500,"08b13",4
4.06737923726974e-05,1,1500,"08b13",5
1.75287828789004e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
5.00162635078937e-05,1,1500,"08b13",1
3.77399914145569e-05,1,1500,"08b13",2
1.7294917943979e-05,1,1500,"08b13",3
1.27479079804495e-05,1,1500,"08b13",4
5.2978814679981e-05,1,1500,"08b13",5
3.23802207467263e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
NaN,1,1500,"08b13",1
3.8927099244119e-05,1,1500,"08b13",2
8.30336280969898e-06,1,1500,"08b13",3
3.1931929487802e-05,1,1500,"08b13",4
4.34626476862068e-05,1,1500,"08b13",5
NaN,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
NaN,1,1500,"08b13",1
3.71370943562087e-05,1,1500,"08b13",2
2.83498462323178e-05,1,1500,"08b13",3
NaN,1,1500,"08b13",4
2.33904585080629e-05,1,1500,"08b13",5
0.000191462437348014,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
1.79706174456412e-05,1,1500,"08b13",1
3.83093552244673e-05,1,1500,"08b13",2
1.81380740092301e-05,1,1500,"08b13",3
4.30004271242535e-05,1,1500,"08b13",4
6.36449111546841e-05,1,1500,"08b13",5
NaN,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
2.18097538905634e-05,1,1500,"08b13",1
4.61538067926596e-05,1,1500,"08b13",2
9.21367034868175e-06,1,1500,"08b13",3
2.91459891178358e-05,1,1500,"08b13",4
5.62987786139519e-05,1,1500,"08b13",5
4.7012485367027e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
3.37432052410945e-05,1,1500,"08b13",1
4.63505463242766e-05,1,1500,"08b13",2
2.84838715514831e-05,1,1500,"08b13",3
3.25031755462142e-05,1,1500,"08b13",4
2.79407196045801e-05,1,1500,"08b13",5
2.46337350330111e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
1.10994300171651e-05,1,1500,"08b13",1
7.0240086832524e-05,1,1500,"08b13",2
1.98140918403598e-05,1,1500,"08b13",3
8.14764392750077e-05,1,1500,"08b13",4
3.64551796418842e-05,1,1500,"08b13",5
6.12178962312944e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
3.31608603097107e-05,1,1500,"08b13",1
3.82573602663587e-05,1,1500,"08b13",2
1.72659007191238e-05,1,1500,"08b13",3
1.82097781033889e-05,1,1500,"08b13",4
4.7557423597275e-05,1,1500,"08b13",5
0.000109537882258379,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
1.52819627898526e-05,1,1500,"08b13",1
3.49734664062155e-05,1,1500,"08b13",2
2.22192201093877e-05,1,1500,"08b13",3
2.29939441674372e-05,1,1500,"08b13",4
4.30599740986479e-05,1,1500,"08b13",5
1.89381241690992e-06,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
1.35699647443558e-05,1,1500,"08b13",1
3.52644800672201e-05,1,1500,"08b13",2
NaN,1,1500,"08b13",3
1.16235803044225e-05,1,1500,"08b13",4
2.27400026626831e-05,1,1500,"08b13",5
5.16731105733721e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
3.4353233453093e-05,1,1500,"08b13",1
4.71030643186775e-05,1,1500,"08b13",2
2.519831203861e-05,1,1500,"08b13",3
1.99679868047134e-05,1,1500,"08b13",4
3.63886398882308e-05,1,1500,"08b13",5
4.90565752939765e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
2.73631272367302e-05,1,1500,"08b13",1
3.84598490695227e-05,1,1500,"08b13",2
2.40310194984159e-05,1,1500,"08b13",3
2.51119844072377e-05,1,1500,"08b13",4
4.12774921823047e-05,1,1500,"08b13",5
6.90468174019569e-05,1,1500,"08b13",6
NaN,1,1500,"08b13",7
NaN,1,1500,"08b13",8
