PPvec,blockVec,stimLevelVec,sidVec,chanVec,PPfromAvgVec,rmsVec
NaN,1,1500,"08b13",1,0,5.05526364243978e-05
4.88333350773397e-05,1,1500,"08b13",2,0,1.87099314169111e-05
NaN,1,1500,"08b13",3,0,2.90282090338662e-05
2.13513890696774e-05,1,1500,"08b13",4,0,1.31086332245542e-05
6.77129762280657e-05,1,1500,"08b13",5,0,3.51711243360499e-05
NaN,1,1500,"08b13",6,1.64310425983652e-07,0.000100406696620643
NaN,1,1500,"08b13",7,NaN,NaN
NaN,1,1500,"08b13",8,NaN,NaN
NaN,1,1500,"08b13",1,0,4.99848153467565e-05
0.000162999044930671,1,1500,"08b13",2,0,6.0977875337313e-05
NaN,1,1500,"08b13",3,0,2.76991522490518e-05
NaN,1,1500,"08b13",4,0,5.28452940642102e-05
4.80090821118388e-05,1,1500,"08b13",5,0,6.31926323088599e-05
0.000123138328441079,1,1500,"08b13",6,4.43975070127465e-05,7.16524771664941e-05
NaN,1,1500,"08b13",7,NaN,0
NaN,1,1500,"08b13",8,NaN,0
NaN,1,1500,"08b13",1,0,7.37227131925304e-05
2.24758707585849e-05,1,1500,"08b13",2,0,1.51849977428634e-05
6.13798085347407e-05,1,1500,"08b13",3,0,1.81444355861438e-05
NaN,1,1500,"08b13",4,0,4.82433072554867e-05
0.000128910920588731,1,1500,"08b13",5,0,5.19357164796112e-05
NaN,1,1500,"08b13",6,3.49145563082942e-05,4.33872725803205e-05
NaN,1,1500,"08b13",7,NaN,0
NaN,1,1500,"08b13",8,NaN,0
NaN,1,1500,"08b13",1,0,6.61949493191805e-05
5.39238269355427e-05,1,1500,"08b13",2,0,2.47876812705094e-05
NaN,1,1500,"08b13",3,0,7.8390169467935e-05
NaN,1,1500,"08b13",4,0,3.15598038483562e-05
NaN,1,1500,"08b13",5,0,3.71851341438611e-05
8.31696250980954e-05,1,1500,"08b13",6,6.15706931923514e-05,3.94951851679519e-05
NaN,1,1500,"08b13",7,NaN,0
NaN,1,1500,"08b13",8,NaN,0
NaN,1,1500,"08b13",1,0,1.64286879882104e-05
5.01487909418756e-05,1,1500,"08b13",2,0,2.4722778691903e-05
NaN,1,1500,"08b13",3,0,3.52961138705316e-05
6.22644107346261e-05,1,1500,"08b13",4,0,3.05346490241858e-05
NaN,1,1500,"08b13",5,0,3.52841590748171e-05
NaN,1,1500,"08b13",6,0.000138238170390328,8.94653458990967e-05
NaN,1,1500,"08b13",7,NaN,0
NaN,1,1500,"08b13",8,NaN,0
NaN,1,1500,"08b13",1,0,7.24932696962939e-05
NaN,1,1500,"08b13",2,0,8.63149108538881e-05
9.32878732898227e-05,1,1500,"08b13",3,0,1.70501752984095e-05
NaN,1,1500,"08b13",4,0,4.33703383718817e-05
3.15165299748594e-05,1,1500,"08b13",5,0,1.79750342949032e-05
NaN,1,1500,"08b13",6,1.45369502985945e-05,9.3157236566959e-05
NaN,1,1500,"08b13",7,NaN,0
NaN,1,1500,"08b13",8,NaN,0
NaN,1,1500,"08b13",1,0,6.78249461500908e-05
4.91408877708194e-05,1,1500,"08b13",2,0,1.68569283535525e-05
0.000262292556827774,1,1500,"08b13",3,0,0.000155237337745276
NaN,1,1500,"08b13",4,0,2.81942587884341e-05
6.59463099140757e-05,1,1500,"08b13",5,0,4.14108766616036e-05
NaN,1,1500,"08b13",6,3.30443515804417e-05,4.38365543058373e-05
NaN,1,1500,"08b13",7,NaN,0
NaN,1,1500,"08b13",8,NaN,0
NaN,1,1500,"08b13",1,0,2.8346241426368e-05
3.14777589815792e-05,1,1500,"08b13",2,0,1.77999797724367e-05
6.35063342130517e-05,1,1500,"08b13",3,0,4.52651088086278e-05
NaN,1,1500,"08b13",4,0,1.74751781766323e-05
4.72509030406676e-05,1,1500,"08b13",5,0,3.08743904716876e-05
0.000130309187018083,1,1500,"08b13",6,0.000111778747329983,7.0323739517526e-05
NaN,1,1500,"08b13",7,NaN,0
NaN,1,1500,"08b13",8,NaN,0
7.33222378853973e-05,1,1500,"08b13",1,0,4.90929733095027e-05
3.07496704165895e-05,1,1500,"08b13",2,0,2.98544938612974e-05
NaN,1,1500,"08b13",3,0,0.000156019647355113
0.000121485135682356,1,1500,"08b13",4,0,7.32873108389547e-05
1.95961947868335e-05,1,1500,"08b13",5,0,2.91062503600124e-05
7.7291236818209e-05,1,1500,"08b13",6,3.59426910429802e-05,3.35237671386007e-05
NaN,1,1500,"08b13",7,NaN,0
NaN,1,1500,"08b13",8,NaN,0
3.91716733589608e-05,1,1500,"08b13",1,0,1.67735498796108e-05
NaN,1,1500,"08b13",2,0,3.47691091163445e-05
NaN,1,1500,"08b13",3,0,8.52778915611676e-05
NaN,1,1500,"08b13",4,0,6.74981286401793e-05
9.89244901319082e-05,1,1500,"08b13",5,0,3.44535519532114e-05
0.000293304924348711,1,1500,"08b13",6,5.98499094780025e-05,9.34140512403154e-05
NaN,1,1500,"08b13",7,NaN,0
NaN,1,1500,"08b13",8,NaN,0
0.000137211508549403,1,1500,"08b13",1,0,7.82868712516762e-05
0.000121153176238483,1,1500,"08b13",2,0,7.12355474242568e-05
NaN,1,1500,"08b13",3,0,1.96805266293366e-05
4.925417150257e-05,1,1500,"08b13",4,0,2.16220831223868e-05
7.04778070725764e-05,1,1500,"08b13",5,0,2.38263556701038e-05
NaN,1,1500,"08b13",6,0.000140252454210528,9.59363081613305e-05
NaN,1,1500,"08b13",7,NaN,0
NaN,1,1500,"08b13",8,NaN,0
NaN,1,1500,"08b13",1,0,6.47043515102266e-05
NaN,1,1500,"08b13",2,0,3.37935640126208e-05
NaN,1,1500,"08b13",3,0,2.63308997947324e-05
NaN,1,1500,"08b13",4,0,3.51993257789655e-05
7.40781170124125e-05,1,1500,"08b13",5,0,4.34276311620235e-05
NaN,1,1500,"08b13",6,9.34241085698958e-05,0.000162263453151768
NaN,1,1500,"08b13",7,NaN,0
NaN,1,1500,"08b13",8,NaN,0
NaN,1,1500,"08b13",1,0,7.25381655879592e-05
2.57772998646085e-05,1,1500,"08b13",2,0,1.44516106816362e-05
NaN,1,1500,"08b13",3,0,8.06412267633288e-05
2.24861186406518e-05,1,1500,"08b13",4,0,2.49366520076272e-05
NaN,1,1500,"08b13",5,0,9.10400748408375e-05
NaN,1,1500,"08b13",6,0.000128291516820343,0.000126654393889844
NaN,1,1500,"08b13",7,NaN,0
NaN,1,1500,"08b13",8,NaN,0
9.25512118086684e-05,1,1500,"08b13",1,0,3.3141664570792e-05
NaN,1,1500,"08b13",2,0,5.27637556321922e-05
NaN,1,1500,"08b13",3,0,8.77635230389639e-05
NaN,1,1500,"08b13",4,0,0.00011844275556124
7.71627886925964e-05,1,1500,"08b13",5,0,4.27968698400961e-05
NaN,1,1500,"08b13",6,6.29434710511019e-05,8.79398329512663e-05
NaN,1,1500,"08b13",7,NaN,0
NaN,1,1500,"08b13",8,NaN,0
9.45901895538653e-05,1,1500,"08b13",1,0,4.88295890291859e-05
5.12312799103057e-05,1,1500,"08b13",2,0,3.12412131850627e-05
NaN,1,1500,"08b13",3,0,4.91035208379586e-05
NaN,1,1500,"08b13",4,0,4.09336179812183e-05
NaN,1,1500,"08b13",5,0,2.47745673906107e-05
NaN,1,1500,"08b13",6,3.20770862885455e-05,7.73685785316692e-05
NaN,1,1500,"08b13",7,NaN,0
NaN,1,1500,"08b13",8,NaN,0
NaN,1,1500,"08b13",1,0,6.46917030955039e-05
NaN,1,1500,"08b13",2,0,3.77507269250189e-05
NaN,1,1500,"08b13",3,0,1.51211466570585e-05
NaN,1,1500,"08b13",4,0,3.03859793526838e-05
NaN,1,1500,"08b13",5,0,6.09574710278702e-05
NaN,1,1500,"08b13",6,3.70153226212678e-05,0.00011873194652204
NaN,1,1500,"08b13",7,NaN,0
NaN,1,1500,"08b13",8,NaN,0
NaN,1,1500,"08b13",1,0,7.59204449631963e-05
0.000240230053976278,1,1500,"08b13",2,0,8.79748977850522e-05
