PPvec,blockVec,stimLevelVec,sidVec,chanVec,PPfromAvgVec,rmsVec
NaN,1,1500,"08b13",1,0,2.68970101019916e-05
4.85344543848443e-05,1,1500,"08b13",2,0,2.47325047348936e-05
NaN,1,1500,"08b13",3,0,1.67391106182367e-05
NaN,1,1500,"08b13",4,0,2.0234305314517e-05
8.94017087117173e-05,1,1500,"08b13",5,0,3.14388872211847e-05
4.1313543691068e-05,1,1500,"08b13",6,3.10621342615622e-06,4.22071451664867e-05
NaN,1,1500,"08b13",7,NaN,NaN
NaN,1,1500,"08b13",8,NaN,NaN
2.80994026057677e-05,1,1500,"08b13",1,0,1.19190652204471e-05
4.20974554245914e-05,1,1500,"08b13",2,0,2.8175188332855e-05
NaN,1,1500,"08b13",3,0,1.46305383452487e-05
4.67809029546947e-05,1,1500,"08b13",4,0,1.69997405761804e-05
2.78948214847355e-05,1,1500,"08b13",5,0,1.66067007979256e-05
NaN,1,1500,"08b13",6,3.04014758321905e-05,5.53774427549872e-05
NaN,1,1500,"08b13",7,NaN,0
NaN,1,1500,"08b13",8,NaN,0
NaN,1,1500,"08b13",1,0,2.85798916884733e-05
3.09330612420913e-05,1,1500,"08b13",2,0,1.46685523065977e-05
NaN,1,1500,"08b13",3,0,8.88071652626062e-05
NaN,1,1500,"08b13",4,0,2.9545299012676e-05
4.54141199358631e-05,1,1500,"08b13",5,0,3.13214331538602e-05
6.61650578889941e-05,1,1500,"08b13",6,6.02552633178015e-05,4.17377356057271e-05
NaN,1,1500,"08b13",7,NaN,0
NaN,1,1500,"08b13",8,NaN,0
4.62040020417416e-05,1,1500,"08b13",1,0,1.65878180078977e-05
3.40079104041726e-05,1,1500,"08b13",2,0,1.9145443895629e-05
NaN,1,1500,"08b13",3,0,3.42201011003161e-05
NaN,1,1500,"08b13",4,0,3.13890906091727e-05
7.92585024187731e-05,1,1500,"08b13",5,0,2.74438049544526e-05
NaN,1,1500,"08b13",6,5.79422177674738e-05,9.78780332526374e-05
NaN,1,1500,"08b13",7,NaN,0
NaN,1,1500,"08b13",8,NaN,0
NaN,1,1500,"08b13",1,0,2.06691441758865e-05
NaN,1,1500,"08b13",2,0,2.47640547829804e-05
NaN,1,1500,"08b13",3,0,1.60239880717407e-05
NaN,1,1500,"08b13",4,0,2.24793089439457e-05
3.88426067653287e-05,1,1500,"08b13",5,0,2.46504672692351e-05
