PPvec,blockVec,stimLevelVec,sidVec,chanVec
4.9724140788422e-06,1,1000,"2e114",1
9.1912098655971e-06,1,1000,"2e114",2
1.34923438803576e-05,1,1000,"2e114",3
3.09096026712031e-05,1,1000,"2e114",4
NaN,1,1000,"2e114",5
NaN,1,1000,"2e114",6
NaN,1,1000,"2e114",7
2.10494012673348e-05,1,1000,"2e114",8
NaN,1,1000,"2e114",1
NaN,1,1000,"2e114",2
NaN,1,1000,"2e114",3
1.91313511986105e-05,1,1000,"2e114",4
NaN,1,1000,"2e114",5
NaN,1,1000,"2e114",6
6.10504355963255e-06,1,1000,"2e114",7
4.58292771931848e-05,1,1000,"2e114",8
NaN,1,1000,"2e114",1
NaN,1,1000,"2e114",2
1.14722488316624e-05,1,1000,"2e114",3
2.67431393301013e-05,1,1000,"2e114",4
NaN,1,1000,"2e114",5
NaN,1,1000,"2e114",6
NaN,1,1000,"2e114",7
5.53024258300286e-06,1,1000,"2e114",8
5.66547545411142e-06,1,1000,"2e114",1
1.00520303253578e-05,1,1000,"2e114",2
NaN,1,1000,"2e114",3
1.87130414847711e-05,1,1000,"2e114",4
NaN,1,1000,"2e114",5
NaN,1,1000,"2e114",6
2.84988845054466e-05,1,1000,"2e114",7
7.14364281944467e-05,1,1000,"2e114",8
NaN,1,1000,"2e114",1
1.22808349062907e-05,1,1000,"2e114",2
2.35685686863752e-05,1,1000,"2e114",3
3.41119440256087e-05,1,1000,"2e114",4
NaN,1,1000,"2e114",5
NaN,1,1000,"2e114",6
1.14292516011569e-05,1,1000,"2e114",7
NaN,1,1000,"2e114",8
NaN,1,1000,"2e114",1
7.495321040654e-06,1,1000,"2e114",2
6.66236654263459e-06,1,1000,"2e114",3
1.78916903656844e-05,1,1000,"2e114",4
NaN,1,1000,"2e114",5
NaN,1,1000,"2e114",6
5.6060190750943e-06,1,1000,"2e114",7
NaN,1,1000,"2e114",8
2.34008219990244e-05,1,1000,"2e114",1
6.03198363549865e-06,1,1000,"2e114",2
9.71174687678904e-06,1,1000,"2e114",3
1.74813767453643e-05,1,1000,"2e114",4
NaN,1,1000,"2e114",5
NaN,1,1000,"2e114",6
5.89433728629934e-06,1,1000,"2e114",7
3.38230430451534e-05,1,1000,"2e114",8
1.27189774315961e-05,1,1000,"2e114",1
7.52960027752341e-06,1,1000,"2e114",2
2.69334960363328e-05,1,1000,"2e114",3
2.90925634308011e-05,1,1000,"2e114",4
NaN,1,1000,"2e114",5
NaN,1,1000,"2e114",6
2.49279478075045e-05,1,1000,"2e114",7
4.09374721650519e-06,1,1000,"2e114",8
NaN,1,1000,"2e114",1
2.008599852876e-05,1,1000,"2e114",2
9.6571814387933e-06,1,1000,"2e114",3
1.35811196012496e-05,1,1000,"2e114",4
NaN,1,1000,"2e114",5
NaN,1,1000,"2e114",6
1.69056050028503e-05,1,1000,"2e114",7
1.10172602910834e-05,1,1000,"2e114",8
1.01825109498959e-05,1,1000,"2e114",1
1.58747117016584e-05,1,1000,"2e114",2
NaN,1,1000,"2e114",3
3.35603150467327e-05,1,1000,"2e114",4
NaN,1,1000,"2e114",5
NaN,1,1000,"2e114",6
NaN,1,1000,"2e114",7
4.21624234609942e-06,1,1000,"2e114",8
1.04394443693051e-05,1,1500,"2e114",1
1.15639275399558e-05,1,1500,"2e114",2
1.83895944268081e-05,1,1500,"2e114",3
6.95888061918204e-05,1,1500,"2e114",4
NaN,1,1500,"2e114",5
NaN,1,1500,"2e114",6
5.51383099054795e-06,1,1500,"2e114",7
6.0713249247429e-06,1,1500,"2e114",8
NaN,1,1500,"2e114",1
NaN,1,1500,"2e114",2
NaN,1,1500,"2e114",3
5.52894005781826e-05,1,1500,"2e114",4
NaN,1,1500,"2e114",5
NaN,1,1500,"2e114",6
NaN,1,1500,"2e114",7
3.06484199358219e-05,1,1500,"2e114",8
NaN,1,1500,"2e114",1
NaN,1,1500,"2e114",2
