PPvec,blockVec,stimLevelVec,sidVec,chanVec,PPfromAvgVec,rmsVec
NaN,1,1000,"2e114",1,0,4.58677984625035e-06
NaN,1,1000,"2e114",2,0,4.09821010969034e-06
NaN,1,1000,"2e114",3,0,2.12511479768277e-05
5.4261687547595e-05,1,1000,"2e114",4,0,2.82962546192448e-05
NaN,1,1000,"2e114",5,NaN,NaN
NaN,1,1000,"2e114",6,NaN,NaN
NaN,1,1000,"2e114",7,0,2.56750697149107e-05
NaN,1,1000,"2e114",8,0,1.26176715309819e-05
NaN,1,1000,"2e114",1,0,4.00084214189842e-05
NaN,1,1000,"2e114",2,0,1.49446983820782e-05
NaN,1,1000,"2e114",3,0,5.97160413543227e-06
NaN,1,1000,"2e114",4,0,7.20325194528967e-06
NaN,1,1000,"2e114",5,NaN,0
NaN,1,1000,"2e114",6,NaN,0
NaN,1,1000,"2e114",7,0,8.36237071309646e-06
NaN,1,1000,"2e114",8,0,1.45388202489818e-05
NaN,1,1000,"2e114",1,0,4.57914690318162e-06
NaN,1,1000,"2e114",2,0,4.0187276835424e-06
NaN,1,1000,"2e114",3,0,5.8598540464124e-06
2.67431393301013e-05,1,1000,"2e114",4,0,1.30349876056836e-05
NaN,1,1000,"2e114",5,NaN,0
NaN,1,1000,"2e114",6,NaN,0
NaN,1,1000,"2e114",7,0,1.61265051777873e-05
NaN,1,1000,"2e114",8,0,1.64591490322164e-05
NaN,1,1000,"2e114",1,0,1.8041660118505e-05
NaN,1,1000,"2e114",2,0,9.99964816445156e-06
NaN,1,1000,"2e114",3,0,6.13244419533357e-06
1.90451024012787e-05,1,1000,"2e114",4,0,7.19448992292042e-06
NaN,1,1000,"2e114",5,NaN,0
NaN,1,1000,"2e114",6,NaN,0
2.84988845054466e-05,1,1000,"2e114",7,0,1.20779980891937e-05
NaN,1,1000,"2e114",8,0,2.66696514531087e-05
NaN,1,1000,"2e114",1,0,8.17862837420814e-06
NaN,1,1000,"2e114",2,0,5.10563543173474e-06
NaN,1,1000,"2e114",3,0,7.85087098325378e-06
NaN,1,1000,"2e114",4,0,1.24202977182621e-05
NaN,1,1000,"2e114",5,NaN,0
NaN,1,1000,"2e114",6,NaN,0
NaN,1,1000,"2e114",7,0,1.64711317140506e-05
NaN,1,1000,"2e114",8,0,2.12619036211425e-05
NaN,1,1000,"2e114",1,0,9.31268540069993e-06
NaN,1,1000,"2e114",2,0,3.25672275879167e-06
NaN,1,1000,"2e114",3,0,3.68330460284974e-06
2.33509024050144e-05,1,1000,"2e114",4,0,1.70308518142439e-05
NaN,1,1000,"2e114",5,NaN,0
NaN,1,1000,"2e114",6,NaN,0
NaN,1,1000,"2e114",7,0,6.93284894478332e-06
NaN,1,1000,"2e114",8,0,9.33355883038266e-06
NaN,1,1000,"2e114",1,0,1.11481839967653e-05
NaN,1,1000,"2e114",2,0,8.85565203793909e-06
NaN,1,1000,"2e114",3,0,1.05916047888963e-05
2.00723329869608e-05,1,1000,"2e114",4,0,1.83797476406535e-05
NaN,1,1000,"2e114",5,NaN,0
NaN,1,1000,"2e114",6,NaN,0
NaN,1,1000,"2e114",7,0,1.2279545195337e-05
NaN,1,1000,"2e114",8,0,1.88734316303441e-05
NaN,1,1000,"2e114",1,0,3.65287365086719e-05
NaN,1,1000,"2e114",2,0,1.16013521530297e-05
NaN,1,1000,"2e114",3,0,1.57166548451607e-05
2.55036459997717e-05,1,1000,"2e114",4,0,1.07486151163077e-05
NaN,1,1000,"2e114",5,NaN,0
NaN,1,1000,"2e114",6,NaN,0
NaN,1,1000,"2e114",7,0,1.19111893636958e-05
NaN,1,1000,"2e114",8,0,4.91120255968242e-05
NaN,1,1000,"2e114",1,0,3.25113038101717e-05
NaN,1,1000,"2e114",2,0,1.40974978578597e-05
NaN,1,1000,"2e114",3,0,1.23134622272937e-05
NaN,1,1000,"2e114",4,0,1.54531104402136e-05
NaN,1,1000,"2e114",5,NaN,0
NaN,1,1000,"2e114",6,NaN,0
NaN,1,1000,"2e114",7,0,7.36208737410351e-06
NaN,1,1000,"2e114",8,0,2.3355718484912e-05
NaN,1,1000,"2e114",1,0,1.34173384002814e-05
NaN,1,1000,"2e114",2,0,1.61012149446514e-05
NaN,1,1000,"2e114",3,0,2.19882857604453e-05
3.35603150467327e-05,1,1000,"2e114",4,0,2.91903885377474e-05
NaN,1,1000,"2e114",5,NaN,0
NaN,1,1000,"2e114",6,NaN,0
NaN,1,1000,"2e114",7,0,3.49468190587925e-05
NaN,1,1000,"2e114",8,0,1.82539062864425e-05
NaN,1,1500,"2e114",1,0,1.7227495910913e-05
NaN,1,1500,"2e114",2,0,1.39858720332739e-05
NaN,1,1500,"2e114",3,0,1.44832305126161e-05
NaN,1,1500,"2e114",4,6.16702351463656e-05,2.33650221982184e-05
NaN,1,1500,"2e114",5,NaN,NaN
NaN,1,1500,"2e114",6,NaN,NaN
NaN,1,1500,"2e114",7,0,9.26408122551679e-06
NaN,1,1500,"2e114",8,0,1.21979778938495e-05
NaN,1,1500,"2e114",1,0,1.79646778881594e-05
NaN,1,1500,"2e114",2,0,1.48991727457693e-05
NaN,1,1500,"2e114",3,0,2.11586714553056e-05
NaN,1,1500,"2e114",4,4.08417376588497e-05,2.35000291424337e-05
NaN,1,1500,"2e114",5,NaN,0
NaN,1,1500,"2e114",6,NaN,0
