PPvec,blockVec,stimLevelVec,sidVec,chanVec
3.98374159323967e-05,1,2000,"3d413",1
4.80134855670794e-05,1,2000,"3d413",2
4.04239118942734e-05,1,2000,"3d413",3
4.45595672237371e-05,1,2000,"3d413",4
6.16329092445539e-05,1,2000,"3d413",5
0.000243366669730685,1,2000,"3d413",6
NaN,1,2000,"3d413",7
NaN,1,2000,"3d413",8
NaN,1,2000,"3d413",1
NaN,1,2000,"3d413",2
NaN,1,2000,"3d413",3
NaN,1,2000,"3d413",4
4.27979961800166e-05,1,2000,"3d413",5
7.04407415692409e-05,1,2000,"3d413",6
NaN,1,2000,"3d413",7
NaN,1,2000,"3d413",8
NaN,1,2000,"3d413",1
NaN,1,2000,"3d413",2
4.63668424909261e-05,1,2000,"3d413",3
5.79729296923858e-05,1,2000,"3d413",4
7.19899714383441e-05,1,2000,"3d413",5
7.48561417529661e-05,1,2000,"3d413",6
NaN,1,2000,"3d413",7
NaN,1,2000,"3d413",8
NaN,1,2000,"3d413",1
NaN,1,2000,"3d413",2
5.00254214754543e-05,1,2000,"3d413",3
5.13693974032321e-05,1,2000,"3d413",4
6.73513259689469e-05,1,2000,"3d413",5
9.3071372473044e-05,1,2000,"3d413",6
NaN,1,2000,"3d413",7
NaN,1,2000,"3d413",8
3.7921863849855e-05,1,2000,"3d413",1
4.72402248778237e-05,1,2000,"3d413",2
4.39080729077893e-05,1,2000,"3d413",3
4.35035446567112e-05,1,2000,"3d413",4
5.85698399505708e-05,1,2000,"3d413",5
4.77786895482395e-05,1,2000,"3d413",6
NaN,1,2000,"3d413",7
NaN,1,2000,"3d413",8
7.87008455344639e-05,1,2000,"3d413",1
4.2315049686938e-05,1,2000,"3d413",2
5.10904914346751e-05,1,2000,"3d413",3
5.28262892403992e-05,1,2000,"3d413",4
4.34035214557944e-05,1,2000,"3d413",5
4.59714408619395e-05,1,2000,"3d413",6
NaN,1,2000,"3d413",7
NaN,1,2000,"3d413",8
NaN,1,2000,"3d413",1
4.33559972445411e-05,1,2000,"3d413",2
4.52411171226769e-05,1,2000,"3d413",3
3.943454733652e-05,1,2000,"3d413",4
6.20336797403428e-05,1,2000,"3d413",5
0.000111732597193189,1,2000,"3d413",6
NaN,1,2000,"3d413",7
NaN,1,2000,"3d413",8
NaN,1,2000,"3d413",1
3.64393806389996e-05,1,2000,"3d413",2
9.77354933016763e-05,1,2000,"3d413",3
0.000105671047944952,1,2000,"3d413",4
5.44657924351023e-05,1,2000,"3d413",5
8.13113471161182e-05,1,2000,"3d413",6
NaN,1,2000,"3d413",7
NaN,1,2000,"3d413",8
4.56782583940018e-05,1,2000,"3d413",1
5.58285794882748e-05,1,2000,"3d413",2
5.2998928217497e-05,1,2000,"3d413",3
4.08765744402866e-05,1,2000,"3d413",4
5.21571686798669e-05,1,2000,"3d413",5
6.16895881355566e-05,1,2000,"3d413",6
NaN,1,2000,"3d413",7
NaN,1,2000,"3d413",8
6.66126023072486e-05,1,2000,"3d413",1
5.90178546839999e-05,1,2000,"3d413",2
5.38094230865719e-05,1,2000,"3d413",3
5.48757127811203e-05,1,2000,"3d413",4
4.11960144226898e-05,1,2000,"3d413",5
0.000124298843515426,1,2000,"3d413",6
NaN,1,2000,"3d413",7
NaN,1,2000,"3d413",8
4.86304242261508e-05,1,2000,"3d413",1
4.02456818818544e-05,1,2000,"3d413",2
7.51598503383954e-05,1,2000,"3d413",3
6.01554380462687e-05,1,2000,"3d413",4
6.44358957206598e-05,1,2000,"3d413",5
7.3942987265165e-05,1,2000,"3d413",6
NaN,1,2000,"3d413",7
NaN,1,2000,"3d413",8
6.63808110121806e-05,1,2000,"3d413",1
4.15352515671185e-05,1,2000,"3d413",2
5.02961703242747e-05,1,2000,"3d413",3
