PPvec,blockVec,stimLevelVec,sidVec,chanVec
3.78171293785015e-05,1,2000,"3d413",1
4.42367803584734e-05,1,2000,"3d413",2
3.47965215096405e-05,1,2000,"3d413",3
4.81629870661638e-05,1,2000,"3d413",4
4.60362005325948e-05,1,2000,"3d413",5
9.64328397200555e-05,1,2000,"3d413",6
NaN,1,2000,"3d413",7
NaN,1,2000,"3d413",8
NaN,1,2000,"3d413",1
NaN,1,2000,"3d413",2
NaN,1,2000,"3d413",3
NaN,1,2000,"3d413",4
4.12475010127407e-05,1,2000,"3d413",5
5.77045052616419e-05,1,2000,"3d413",6
NaN,1,2000,"3d413",7
NaN,1,2000,"3d413",8
NaN,1,2000,"3d413",1
NaN,1,2000,"3d413",2
3.93838646656886e-05,1,2000,"3d413",3
3.90710873615492e-05,1,2000,"3d413",4
5.32510623443236e-05,1,2000,"3d413",5
8.24317832932095e-05,1,2000,"3d413",6
NaN,1,2000,"3d413",7
NaN,1,2000,"3d413",8
NaN,1,2000,"3d413",1
NaN,1,2000,"3d413",2
5.06202514917106e-05,1,2000,"3d413",3
5.57262303032088e-05,1,2000,"3d413",4
5.26860073479717e-05,1,2000,"3d413",5
7.63437259295707e-05,1,2000,"3d413",6
NaN,1,2000,"3d413",7
NaN,1,2000,"3d413",8
4.5446755360136e-05,1,2000,"3d413",1
5.1739578803125e-05,1,2000,"3d413",2
5.0449894291683e-05,1,2000,"3d413",3
5.07327090444039e-05,1,2000,"3d413",4
5.45894831165749e-05,1,2000,"3d413",5
5.27992086778993e-05,1,2000,"3d413",6
NaN,1,2000,"3d413",7
NaN,1,2000,"3d413",8
5.16763646998287e-05,1,2000,"3d413",1
4.60731381872433e-05,1,2000,"3d413",2
4.55592019911769e-05,1,2000,"3d413",3
4.83987798845927e-05,1,2000,"3d413",4
7.31228677295111e-05,1,2000,"3d413",5
4.105854683763e-05,1,2000,"3d413",6
NaN,1,2000,"3d413",7
NaN,1,2000,"3d413",8
NaN,1,2000,"3d413",1
5.39349442816556e-05,1,2000,"3d413",2
4.60069644769263e-05,1,2000,"3d413",3
