PPvec,blockVec,stimLevelVec,sidVec,chanVec,PPfromAvgVec,rmsVec
3.98374159323966e-05,1,2000,"3d413",1,8.23018158855467e-06,1.47421671406385e-05
4.80134855670794e-05,1,2000,"3d413",2,1.47261766732393e-05,2.97526889730636e-05
5.14547618605148e-05,1,2000,"3d413",3,1.09299851188645e-05,2.8338627312091e-05
4.66677833023581e-05,1,2000,"3d413",4,6.54243211491149e-07,2.63227310479948e-05
8.92018822942632e-05,1,2000,"3d413",5,2.02079498540556e-05,6.04752157036612e-05
0.000244174201216148,1,2000,"3d413",6,0.000230964670064542,8.66881302452795e-05
NaN,1,2000,"3d413",7,NaN,NaN
NaN,1,2000,"3d413",8,NaN,NaN
4.91639009169882e-05,1,2000,"3d413",1,4.09318186166345e-06,3.03685186661523e-05
0.0001177203324057,1,2000,"3d413",2,7.31483814848642e-06,5.03597575332114e-05
4.08559283914589e-05,1,2000,"3d413",3,3.17034555934605e-06,2.61530569562237e-05
6.01408072562876e-05,1,2000,"3d413",4,1.50800472637829e-06,2.30932681035962e-05
6.01655183611181e-05,1,2000,"3d413",5,1.58355476852703e-05,6.28579246276165e-05
0.000137858329841005,1,2000,"3d413",6,0.000117140256754766,7.96678145992646e-05
NaN,1,2000,"3d413",7,NaN,0
NaN,1,2000,"3d413",8,NaN,0
0.000109420888637787,1,2000,"3d413",1,1.2299472989523e-05,3.22350442379359e-05
9.56531073043649e-05,1,2000,"3d413",2,1.9668516180173e-05,3.04896705563683e-05
4.84529049906619e-05,1,2000,"3d413",3,2.92970253159737e-05,2.85080151818158e-05
6.3241253311008e-05,1,2000,"3d413",4,2.22320124324165e-05,2.01874827960233e-05
8.62215918778285e-05,1,2000,"3d413",5,4.2166294149624e-05,2.78281133120272e-05
0.000107073856364341,1,2000,"3d413",6,7.71753583466795e-05,5.17926068366094e-05
NaN,1,2000,"3d413",7,NaN,0
NaN,1,2000,"3d413",8,NaN,0
4.79050315530463e-05,1,2000,"3d413",1,9.01023175869273e-06,4.18880383529532e-05
4.51824681902818e-05,1,2000,"3d413",2,2.63845606667274e-05,2.48672269372866e-05
5.00254214754543e-05,1,2000,"3d413",3,3.08250720850802e-05,2.6211127083284e-05
6.41469962977006e-05,1,2000,"3d413",4,2.86107639043253e-05,4.67277491758716e-05
0.0001458770768646,1,2000,"3d413",5,1.70528578688752e-05,7.07792918185569e-05
0.000151797513393731,1,2000,"3d413",6,0.000150880653362022,7.83450280853521e-05
NaN,1,2000,"3d413",7,NaN,0
NaN,1,2000,"3d413",8,NaN,0
7.62076869610078e-05,1,2000,"3d413",1,2.27884257161141e-05,5.66694104745142e-05
5.48106528370645e-05,1,2000,"3d413",2,7.07572168033568e-06,2.45380307363758e-05
8.16707944047084e-05,1,2000,"3d413",3,1.11496298477048e-05,3.32878185452569e-05
6.38342462562907e-05,1,2000,"3d413",4,9.89163431063473e-06,1.54744188597882e-05
5.85698399505708e-05,1,2000,"3d413",5,1.75271683688899e-05,2.41319926349044e-05
8.68512045293795e-05,1,2000,"3d413",6,7.31444717365725e-05,4.53901760827791e-05
NaN,1,2000,"3d413",7,NaN,0
NaN,1,2000,"3d413",8,NaN,0
7.87008455344639e-05,1,2000,"3d413",1,3.2867712808711e-05,2.57288565059135e-05
4.23720341657234e-05,1,2000,"3d413",2,2.45492889017432e-05,1.78454455141156e-05
5.10904914346751e-05,1,2000,"3d413",3,3.04852944060781e-05,1.8484836667339e-05
4.95919247066208e-05,1,2000,"3d413",4,2.38369579151188e-05,1.74795654245475e-05
5.91201833016418e-05,1,2000,"3d413",5,8.1137792522337e-06,2.26300114161006e-05
