PPvec,blockVec,stimLevelVec,sidVec,chanVec,PPfromAvgVec,rmsVec
4.86669515444377e-05,1,2000,"3d413",1,8.20761214658037e-06,2.39760034618759e-05
6.83068134488299e-05,1,2000,"3d413",2,1.39031770006329e-05,3.33189366422961e-05
3.47965215096405e-05,1,2000,"3d413",3,1.44657853313948e-05,2.11612411447407e-05
3.54832578523405e-05,1,2000,"3d413",4,8.13142012342864e-06,1.49617985469351e-05
4.60362005325948e-05,1,2000,"3d413",5,1.55128987728031e-05,1.60751382795101e-05
0.00015337327003251,1,2000,"3d413",6,0.000141760095055329,5.01757355212201e-05
NaN,1,2000,"3d413",7,NaN,NaN
NaN,1,2000,"3d413",8,NaN,NaN
5.09135026918764e-05,1,2000,"3d413",1,2.15554567611726e-05,3.8594986284268e-05
3.90677910292409e-05,1,2000,"3d413",2,1.93365237496021e-05,1.99056524283772e-05
4.54815221809215e-05,1,2000,"3d413",3,2.41533321129544e-05,2.35695250844247e-05
4.76193050061952e-05,1,2000,"3d413",4,2.0779785376693e-05,2.14198070531757e-05
4.12475010127407e-05,1,2000,"3d413",5,2.546489584073e-06,2.27825870091013e-05
9.01722992000987e-05,1,2000,"3d413",6,8.16826410307079e-05,3.216796313073e-05
NaN,1,2000,"3d413",7,NaN,0
NaN,1,2000,"3d413",8,NaN,0
3.62438444744075e-05,1,2000,"3d413",1,2.22769123534021e-05,1.63158430485558e-05
4.27437368097898e-05,1,2000,"3d413",2,2.99730219468511e-05,1.72017258459348e-05
3.93838646656886e-05,1,2000,"3d413",3,2.56339034855447e-05,1.69693543845289e-05
4.39332053313488e-05,1,2000,"3d413",4,2.31766271666577e-05,1.82947375249126e-05
5.28500205173222e-05,1,2000,"3d413",5,3.27978686515644e-05,1.81396601474501e-05
8.24317832932095e-05,1,2000,"3d413",6,6.24759741764907e-05,2.6048202938974e-05
NaN,1,2000,"3d413",7,NaN,0
NaN,1,2000,"3d413",8,NaN,0
4.9561197161583e-05,1,2000,"3d413",1,2.81010629635477e-05,1.66862724630322e-05
4.75422734903795e-05,1,2000,"3d413",2,3.2505557387522e-05,1.51407465841457e-05
5.62082730518654e-05,1,2000,"3d413",3,4.36150870153275e-05,1.82392751458727e-05
5.6226609552675e-05,1,2000,"3d413",4,4.69570559984586e-05,1.96267820082906e-05
