PPvec,blockVec,stimLevelVec,sidVec,chanVec
2.06278775997656e-05,1,5500,"41a73",1
4.53624798010474e-05,1,5500,"41a73",2
7.30444003061034e-05,1,5500,"41a73",3
0.000165368456905827,1,5500,"41a73",4
0.000265492018475519,1,5500,"41a73",5
NaN,1,5500,"41a73",6
NaN,1,5500,"41a73",7
8.16043158992418e-05,1,5500,"41a73",8
NaN,1,5500,"41a73",1
NaN,1,5500,"41a73",2
NaN,1,5500,"41a73",3
0.000103961570377251,1,5500,"41a73",4
7.86154567014023e-05,1,5500,"41a73",5
NaN,1,5500,"41a73",6
NaN,1,5500,"41a73",7
2.47949505319376e-05,1,5500,"41a73",8
NaN,1,5500,"41a73",1
NaN,1,5500,"41a73",2
3.49930791576492e-05,1,5500,"41a73",3
7.30727713206541e-05,1,5500,"41a73",4
6.90214239186247e-05,1,5500,"41a73",5
NaN,1,5500,"41a73",6
NaN,1,5500,"41a73",7
1.54936188911485e-05,1,5500,"41a73",8
NaN,1,5500,"41a73",1
9.23810743014591e-05,1,5500,"41a73",2
0.000127859840653951,1,5500,"41a73",3
0.000214943358913311,1,5500,"41a73",4
0.000249910016838177,1,5500,"41a73",5
NaN,1,5500,"41a73",6
NaN,1,5500,"41a73",7
1.87531178518119e-05,1,5500,"41a73",8
2.61920227960344e-05,1,5500,"41a73",1
2.67452410940966e-05,1,5500,"41a73",2
3.97058586973939e-05,1,5500,"41a73",3
4.74877128779974e-05,1,5500,"41a73",4
5.26513895986443e-05,1,5500,"41a73",5
NaN,1,5500,"41a73",6
NaN,1,5500,"41a73",7
2.92700304937341e-05,1,5500,"41a73",8
NaN,1,5500,"41a73",1
3.26671693524619e-05,1,5500,"41a73",2
4.04631868048316e-05,1,5500,"41a73",3
5.17306655038681e-05,1,5500,"41a73",4
5.79391280552998e-05,1,5500,"41a73",5
NaN,1,5500,"41a73",6
NaN,1,5500,"41a73",7
3.69734418676893e-05,1,5500,"41a73",8
NaN,1,5500,"41a73",1
5.29892557469586e-05,1,5500,"41a73",2
8.42772626017828e-05,1,5500,"41a73",3
0.000160444564615801,1,5500,"41a73",4
0.000296986631040861,1,5500,"41a73",5
NaN,1,5500,"41a73",6
NaN,1,5500,"41a73",7
2.37176775297524e-05,1,5500,"41a73",8
1.63938595326134e-05,1,5500,"41a73",1
4.3166788241514e-05,1,5500,"41a73",2
5.14487099304827e-05,1,5500,"41a73",3
6.25317822488086e-05,1,5500,"41a73",4
4.72053622807295e-05,1,5500,"41a73",5
NaN,1,5500,"41a73",6
NaN,1,5500,"41a73",7
8.09871899228328e-06,1,5500,"41a73",8
2.41448134138257e-05,1,5500,"41a73",1
1.84386020260999e-05,1,5500,"41a73",2
2.00523499407114e-05,1,5500,"41a73",3
4.52963225462927e-05,1,5500,"41a73",4
5.54302997920675e-05,1,5500,"41a73",5
NaN,1,5500,"41a73",6
NaN,1,5500,"41a73",7
4.32812519080594e-05,1,5500,"41a73",8
2.24955878031029e-05,1,5500,"41a73",1
2.3425934854713e-05,1,5500,"41a73",2
3.5356252133617e-05,1,5500,"41a73",3
4.63639716929524e-05,1,5500,"41a73",4
3.89143848554868e-05,1,5500,"41a73",5
NaN,1,5500,"41a73",6
NaN,1,5500,"41a73",7
2.18793721165667e-05,1,5500,"41a73",8
2.59170104606143e-05,1,5500,"41a73",1
2.5998060519728e-05,1,5500,"41a73",2
2.70610733941e-05,1,5500,"41a73",3
4.30153964679539e-05,1,5500,"41a73",4
3.81864214789516e-05,1,5500,"41a73",5
NaN,1,5500,"41a73",6
NaN,1,5500,"41a73",7
2.40129714536452e-05,1,5500,"41a73",8
2.07645437329189e-05,1,5500,"41a73",1
2.18287332079927e-05,1,5500,"41a73",2
3.55900455982677e-05,1,5500,"41a73",3
6.8271992010875e-05,1,5500,"41a73",4
5.14545680370932e-05,1,5500,"41a73",5
NaN,1,5500,"41a73",6
NaN,1,5500,"41a73",7
6.11278387934585e-05,1,5500,"41a73",8
2.47678895903435e-05,1,5500,"41a73",1
3.99222649319165e-05,1,5500,"41a73",2
3.86408818573376e-05,1,5500,"41a73",3
2.38706404213401e-05,1,5500,"41a73",4
5.02097048591546e-05,1,5500,"41a73",5
NaN,1,5500,"41a73",6
NaN,1,5500,"41a73",7
2.30979598880433e-05,1,5500,"41a73",8
3.86229560820387e-05,1,5500,"41a73",1
5.93614941498198e-05,1,5500,"41a73",2
7.34438313460335e-05,1,5500,"41a73",3
0.000123301402388048,1,5500,"41a73",4
0.000132584028308744,1,5500,"41a73",5
NaN,1,5500,"41a73",6
NaN,1,5500,"41a73",7
1.32326074604513e-05,1,5500,"41a73",8
1.05436899685346e-05,1,5500,"41a73",1
1.14687159188258e-05,1,5500,"41a73",2
2.28600784510643e-05,1,5500,"41a73",3
5.02509953943821e-05,1,5500,"41a73",4
4.90793283974376e-05,1,5500,"41a73",5
NaN,1,5500,"41a73",6
NaN,1,5500,"41a73",7
1.06795918078681e-05,1,5500,"41a73",8
1.51010762955306e-05,1,5500,"41a73",1
3.87624891855072e-05,1,5500,"41a73",2
3.17105513556552e-05,1,5500,"41a73",3
7.38281383868437e-05,1,5500,"41a73",4
0.000368256188656895,1,5500,"41a73",5
NaN,1,5500,"41a73",6
NaN,1,5500,"41a73",7
3.05696100772821e-05,1,5500,"41a73",8
2.3505503623954e-05,1,5500,"41a73",1
1.99208629759527e-05,1,5500,"41a73",2
5.64590069578695e-05,1,5500,"41a73",3
6.89325219052146e-05,1,5500,"41a73",4
6.14663045564399e-05,1,5500,"41a73",5
NaN,1,5500,"41a73",6
NaN,1,5500,"41a73",7
1.17953046296755e-05,1,5500,"41a73",8
3.4018060996263e-05,1,5500,"41a73",1
