PPvec,blockVec,stimLevelVec,sidVec,chanVec
2.1449726365893e-05,1,5500,"41a73",1
2.84856382686361e-05,1,5500,"41a73",2
4.732584442977e-05,1,5500,"41a73",3
8.82759988787038e-05,1,5500,"41a73",4
0.000101491022867969,1,5500,"41a73",5
NaN,1,5500,"41a73",6
NaN,1,5500,"41a73",7
7.45441070923633e-06,1,5500,"41a73",8
NaN,1,5500,"41a73",1
NaN,1,5500,"41a73",2
NaN,1,5500,"41a73",3
7.53130949291892e-05,1,5500,"41a73",4
0.000112949842806445,1,5500,"41a73",5
NaN,1,5500,"41a73",6
NaN,1,5500,"41a73",7
2.51137273663681e-05,1,5500,"41a73",8
NaN,1,5500,"41a73",1
NaN,1,5500,"41a73",2
4.78642049209455e-05,1,5500,"41a73",3
8.3653443032215e-05,1,5500,"41a73",4
6.13652039641508e-05,1,5500,"41a73",5
NaN,1,5500,"41a73",6
NaN,1,5500,"41a73",7
1.25350671518812e-05,1,5500,"41a73",8
NaN,1,5500,"41a73",1
1.78157976105126e-05,1,5500,"41a73",2
2.99784437809464e-05,1,5500,"41a73",3
5.13121161003721e-05,1,5500,"41a73",4
4.26008886070167e-05,1,5500,"41a73",5
NaN,1,5500,"41a73",6
NaN,1,5500,"41a73",7
1.54481629245345e-05,1,5500,"41a73",8
1.57584857701134e-05,1,5500,"41a73",1
2.34860334790665e-05,1,5500,"41a73",2
3.42765576255039e-05,1,5500,"41a73",3
6.15274980075028e-05,1,5500,"41a73",4
6.73943102383911e-05,1,5500,"41a73",5
NaN,1,5500,"41a73",6
NaN,1,5500,"41a73",7
1.18379996095131e-05,1,5500,"41a73",8
NaN,1,5500,"41a73",1
4.41632894274457e-05,1,5500,"41a73",2
5.07678432538689e-05,1,5500,"41a73",3
8.23604897834308e-05,1,5500,"41a73",4
0.000150947546887423,1,5500,"41a73",5
NaN,1,5500,"41a73",6
NaN,1,5500,"41a73",7
1.00265767473596e-05,1,5500,"41a73",8
NaN,1,5500,"41a73",1
2.97264168467641e-05,1,5500,"41a73",2
4.301459626267e-05,1,5500,"41a73",3
7.43279776710772e-05,1,5500,"41a73",4
0.000115221828847397,1,5500,"41a73",5
NaN,1,5500,"41a73",6
NaN,1,5500,"41a73",7
1.04228314332259e-05,1,5500,"41a73",8
1.95383057689687e-05,1,5500,"41a73",1
3.02795433595263e-05,1,5500,"41a73",2
4.23713915178449e-05,1,5500,"41a73",3
6.43506075162913e-05,1,5500,"41a73",4
8.26849449800055e-05,1,5500,"41a73",5
NaN,1,5500,"41a73",6
NaN,1,5500,"41a73",7
9.17833987660709e-06,1,5500,"41a73",8
2.87136116366333e-05,1,5500,"41a73",1
3.8840303442849e-05,1,5500,"41a73",2
5.51900495335029e-05,1,5500,"41a73",3
0.000121542791083913,1,5500,"41a73",4
0.000169066814822889,1,5500,"41a73",5
NaN,1,5500,"41a73",6
