PPvec,blockVec,stimLevelVec,sidVec,chanVec,PPfromAvgVec,rmsVec
3.44606671922819e-05,1,5500,"41a73",1,7.37594388050729e-06,1.32581368211776e-05
5.83907303725557e-05,1,5500,"41a73",2,3.03655631300748e-05,1.83073311875119e-05
8.64422988007311e-05,1,5500,"41a73",3,5.27595733030244e-05,3.74683414175799e-05
0.000131103447436332,1,5500,"41a73",4,0.000123342096296593,5.69387222672877e-05
0.000197816308651404,1,5500,"41a73",5,7.70025678642543e-05,8.38907474590906e-05
NaN,1,5500,"41a73",6,NaN,NaN
NaN,1,5500,"41a73",7,NaN,NaN
NaN,1,5500,"41a73",8,0,4.30469928113744e-05
NaN,1,5500,"41a73",1,2.11180078778905e-05,3.04622066822189e-05
NaN,1,5500,"41a73",2,3.62306070914754e-05,5.68640197843314e-05
6.26322803834388e-05,1,5500,"41a73",3,5.6800964055272e-05,5.31185847075576e-05
0.000103961570377251,1,5500,"41a73",4,9.84490814450203e-05,3.84569938539343e-05
7.86154567014023e-05,1,5500,"41a73",5,6.68138701537987e-05,5.13727151688775e-05
NaN,1,5500,"41a73",6,NaN,0
NaN,1,5500,"41a73",7,NaN,0
NaN,1,5500,"41a73",8,0,2.28746716559554e-05
NaN,1,5500,"41a73",1,2.97678147586304e-06,1.61045293559668e-05
NaN,1,5500,"41a73",2,1.56311921946191e-05,1.86228651750145e-05
NaN,1,5500,"41a73",3,2.81940646603326e-05,2.11304504797426e-05
NaN,1,5500,"41a73",4,4.23706194906344e-05,2.76095478980554e-05
6.90214239186247e-05,1,5500,"41a73",5,5.62179115248477e-05,3.54366080994292e-05
NaN,1,5500,"41a73",6,NaN,0
NaN,1,5500,"41a73",7,NaN,0
1.61836166613977e-05,1,5500,"41a73",8,0,1.97544018092653e-05
3.48861098290475e-05,1,5500,"41a73",1,2.51708260087187e-05,2.6366470794157e-05
4.4511390476439e-05,1,5500,"41a73",2,4.25564993033792e-05,3.07359815359953e-05
6.56416957959547e-05,1,5500,"41a73",3,6.12580941727657e-05,4.33290528018163e-05
0.000108215661694256,1,5500,"41a73",4,0.000101828786847346,7.17300378684873e-05
0.000249910016838177,1,5500,"41a73",5,5.27680541636985e-05,7.99382184548385e-05
NaN,1,5500,"41a73",6,NaN,0
NaN,1,5500,"41a73",7,NaN,0
NaN,1,5500,"41a73",8,0,2.98079340780337e-05
2.61920227960344e-05,1,5500,"41a73",1,1.25049847085181e-05,1.22387994300786e-05
