PPvec,blockVec,stimLevelVec,sidVec,chanVec,PPfromAvgVec,rmsVec
2.1449726365893e-05,1,5500,"41a73",1,1.04902444114203e-05,1.23080196344252e-05
2.84856382686361e-05,1,5500,"41a73",2,2.74091208053898e-05,1.70089227273936e-05
4.732584442977e-05,1,5500,"41a73",3,4.59182006728763e-05,2.4861074038828e-05
8.82759988787037e-05,1,5500,"41a73",4,8.80539324107492e-05,2.6806450012269e-05
8.70407340206219e-05,1,5500,"41a73",5,6.66781165143002e-05,4.16604170058785e-05
NaN,1,5500,"41a73",6,NaN,NaN
NaN,1,5500,"41a73",7,NaN,NaN
NaN,1,5500,"41a73",8,0,2.39335967305179e-05
3.06535328718631e-05,1,5500,"41a73",1,2.02476693075404e-05,1.05270924585761e-05
3.42841448694309e-05,1,5500,"41a73",2,3.293476169881e-05,1.18276172875574e-05
4.58460769209384e-05,1,5500,"41a73",3,4.3141498442779e-05,1.74569641382993e-05
6.63520881761637e-05,1,5500,"41a73",4,6.57313185826944e-05,2.52820292462437e-05
5.99997330632432e-05,1,5500,"41a73",5,5.13680078926749e-05,3.58554612054437e-05
NaN,1,5500,"41a73",6,NaN,0
NaN,1,5500,"41a73",7,NaN,0
NaN,1,5500,"41a73",8,0,1.64147849333173e-05
2.95320410140622e-05,1,5500,"41a73",1,1.81375858598047e-05,1.29109518700462e-05
3.28464407458106e-05,1,5500,"41a73",2,3.01127388205724e-05,1.3097226527945e-05
4.78642049209455e-05,1,5500,"41a73",3,4.24726562170384e-05,1.66779488836505e-05
8.05909681638978e-05,1,5500,"41a73",4,7.85457595485212e-05,2.85069761757902e-05
0.000121994874753516,1,5500,"41a73",5,5.81639386812381e-05,4.75244733276607e-05
NaN,1,5500,"41a73",6,NaN,0
NaN,1,5500,"41a73",7,NaN,0
NaN,1,5500,"41a73",8,0,2.07950937940816e-05
4.50314960756785e-05,1,5500,"41a73",1,9.45360508350199e-06,1.63723576926412e-05
5.14962397501661e-05,1,5500,"41a73",2,1.1876207026955e-05,1.76863452486577e-05
5.53448592292981e-05,1,5500,"41a73",3,2.32083374646288e-05,1.906557783201e-05
6.78288058004056e-05,1,5500,"41a73",4,4.12765941269382e-05,2.15196719386712e-05
4.26008886070167e-05,1,5500,"41a73",5,3.86930568179003e-05,1.62546422317555e-05
NaN,1,5500,"41a73",6,NaN,0
NaN,1,5500,"41a73",7,NaN,0
2.09847395197231e-05,1,5500,"41a73",8,0,9.75657812581954e-06
1.57584857701134e-05,1,5500,"41a73",1,1.18773650682867e-05,6.25817448170143e-06
2.34860334790665e-05,1,5500,"41a73",2,2.08653309259684e-05,7.87243026446701e-06
3.42765576255039e-05,1,5500,"41a73",3,3.36871693886324e-05,1.09900435045925e-05
6.15274980075027e-05,1,5500,"41a73",4,6.14205782795456e-05,1.66259313465384e-05
5.71300810796651e-05,1,5500,"41a73",5,5.34824931995121e-05,2.65577829213177e-05
NaN,1,5500,"41a73",6,NaN,0
NaN,1,5500,"41a73",7,NaN,0
NaN,1,5500,"41a73",8,0,2.91483340486323e-05
2.26958523310446e-05,1,5500,"41a73",1,2.17436039373925e-05,8.95913120526598e-06
4.41632894274457e-05,1,5500,"41a73",2,3.73911379742047e-05,1.43011800601054e-05
5.07678432538689e-05,1,5500,"41a73",3,4.78916203060748e-05,1.77361255579458e-05
8.23604897834308e-05,1,5500,"41a73",4,7.66667499854612e-05,3.34097577825513e-05
0.000147331578991183,1,5500,"41a73",5,4.20126021626802e-05,5.42849657042283e-05
NaN,1,5500,"41a73",6,NaN,0
NaN,1,5500,"41a73",7,NaN,0
1.87453837455404e-05,1,5500,"41a73",8,0,1.21784328747367e-05
3.20499955994796e-05,1,5500,"41a73",1,1.61911238877561e-05,1.05966188104986e-05
2.91412670522763e-05,1,5500,"41a73",2,2.88296385212885e-05,1.27714226732217e-05
4.301459626267e-05,1,5500,"41a73",3,4.18317623926889e-05,1.93911607453938e-05
7.43279776710773e-05,1,5500,"41a73",4,7.41779140383728e-05,2.20851736541536e-05
8.3269526551963e-05,1,5500,"41a73",5,7.63158402292841e-05,4.88123313066947e-05
NaN,1,5500,"41a73",6,NaN,0
NaN,1,5500,"41a73",7,NaN,0
NaN,1,5500,"41a73",8,0,2.75650283434987e-05
2.71608510649521e-05,1,5500,"41a73",1,9.22171971182616e-06,1.3447745700718e-05
2.971298265636e-05,1,5500,"41a73",2,2.01208190680517e-05,1.24444485679778e-05
3.10508963547452e-05,1,5500,"41a73",3,2.66747844001605e-05,1.33034412840415e-05
5.47603482735443e-05,1,5500,"41a73",4,5.21382450401249e-05,2.15327119183563e-05
9.23706495468866e-05,1,5500,"41a73",5,4.36380863288609e-05,4.16758847215619e-05
NaN,1,5500,"41a73",6,NaN,0
NaN,1,5500,"41a73",7,NaN,0
NaN,1,5500,"41a73",8,0,7.71323093046519e-06
3.43460988491033e-05,1,5500,"41a73",1,5.94616623959461e-06,9.98408659344244e-06
3.8840303442849e-05,1,5500,"41a73",2,2.78399628129504e-05,1.22830846034629e-05
5.51900495335029e-05,1,5500,"41a73",3,3.7130105491827e-05,1.67804789712349e-05
0.000121542791083913,1,5500,"41a73",4,0.000106070787479609,4.0782117866482e-05
0.000106094941673097,1,5500,"41a73",5,9.36753760946577e-05,5.46130229827245e-05
NaN,1,5500,"41a73",6,NaN,0
NaN,1,5500,"41a73",7,NaN,0
NaN,1,5500,"41a73",8,0,1.06337165864872e-05
2.35461715555412e-05,1,5500,"41a73",1,1.8216708247057e-05,6.47361679286197e-06
2.23439927157301e-05,1,5500,"41a73",2,1.67624595033269e-05,7.32222022014195e-06
3.30244914268684e-05,1,5500,"41a73",3,2.97445045998532e-05,1.02059764800089e-05
6.08525771850988e-05,1,5500,"41a73",4,5.92054577760132e-05,2.05013313728947e-05
