PPvec,blockVec,stimLevelVec,sidVec,chanVec
1.44009298597525e-05,1,500,"46c2a",1
8.28132619546165e-06,1,500,"46c2a",2
9.20183664236256e-06,1,500,"46c2a",3
1.29191982315079e-05,1,500,"46c2a",4
4.00878477593638e-06,1,500,"46c2a",5
4.70594391934617e-06,1,500,"46c2a",6
NaN,1,500,"46c2a",7
NaN,1,500,"46c2a",8
NaN,1,500,"46c2a",1
NaN,1,500,"46c2a",2
NaN,1,500,"46c2a",3
NaN,1,500,"46c2a",4
3.60895451303146e-06,1,500,"46c2a",5
6.28606001598935e-06,1,500,"46c2a",6
NaN,1,500,"46c2a",7
NaN,1,500,"46c2a",8
NaN,1,500,"46c2a",1
NaN,1,500,"46c2a",2
2.07901634650779e-05,1,500,"46c2a",3
2.89847025892388e-05,1,500,"46c2a",4
2.37559680352431e-06,1,500,"46c2a",5
3.94921524671879e-06,1,500,"46c2a",6
NaN,1,500,"46c2a",7
NaN,1,500,"46c2a",8
NaN,1,500,"46c2a",1
NaN,1,500,"46c2a",2
0.000205387113088955,1,500,"46c2a",3
0.000101990002384043,1,500,"46c2a",4
NaN,1,500,"46c2a",5
1.1002921614373e-05,1,500,"46c2a",6
NaN,1,500,"46c2a",7
NaN,1,500,"46c2a",8
1.29598231430064e-05,1,500,"46c2a",1
8.38018571648404e-06,1,500,"46c2a",2
1.30258440770038e-05,1,500,"46c2a",3
1.46286260273203e-05,1,500,"46c2a",4
1.02567947084225e-05,1,500,"46c2a",5
1.08718822378937e-05,1,500,"46c2a",6
NaN,1,500,"46c2a",7
NaN,1,500,"46c2a",8
1.22278818290316e-05,1,500,"46c2a",1
5.25261242982404e-06,1,500,"46c2a",2
1.05461313246151e-05,1,500,"46c2a",3
8.4261083903217e-06,1,500,"46c2a",4
6.69945770995232e-06,1,500,"46c2a",5
1.25517341520401e-05,1,500,"46c2a",6
NaN,1,500,"46c2a",7
NaN,1,500,"46c2a",8
NaN,1,500,"46c2a",1
6.06691592331395e-06,1,500,"46c2a",2
8.91337520911258e-06,1,500,"46c2a",3
1.27934824850602e-05,1,500,"46c2a",4
5.16629773288394e-06,1,500,"46c2a",5
5.403602841422e-06,1,500,"46c2a",6
NaN,1,500,"46c2a",7
NaN,1,500,"46c2a",8
NaN,1,500,"46c2a",1
9.23378490642632e-06,1,500,"46c2a",2
6.8687603178948e-06,1,500,"46c2a",3
1.15028728845277e-05,1,500,"46c2a",4
4.85922684875555e-06,1,500,"46c2a",5
2.82102759374626e-06,1,500,"46c2a",6
NaN,1,500,"46c2a",7
NaN,1,500,"46c2a",8
1.32543352508979e-05,1,500,"46c2a",1
9.25709524232035e-06,1,500,"46c2a",2
1.08290699828183e-05,1,500,"46c2a",3
9.98174021023385e-06,1,500,"46c2a",4
1.34770964417872e-05,1,500,"46c2a",5
7.68421099643927e-06,1,500,"46c2a",6
NaN,1,500,"46c2a",7
NaN,1,500,"46c2a",8
2.13981777550627e-05,1,500,"46c2a",1
2.08504596493276e-05,1,500,"46c2a",2
NaN,1,500,"46c2a",3
4.9838300093819e-05,1,500,"46c2a",4
1.46178015401954e-05,1,500,"46c2a",5
8.66931302333204e-06,1,500,"46c2a",6
NaN,1,500,"46c2a",7
NaN,1,500,"46c2a",8
1.30672600232512e-05,1,500,"46c2a",1
6.82404693703713e-06,1,500,"46c2a",2
6.11873587070799e-06,1,500,"46c2a",3
1.07059801514178e-05,1,500,"46c2a",4
6.46881142124678e-06,1,500,"46c2a",5
5.84319651708386e-06,1,500,"46c2a",6
NaN,1,500,"46c2a",7
NaN,1,500,"46c2a",8
1.65909159164606e-05,1,500,"46c2a",1
1.10487752146349e-05,1,500,"46c2a",2
8.99271622754985e-06,1,500,"46c2a",3
1.31117833662531e-05,1,500,"46c2a",4
7.62263469704659e-06,1,500,"46c2a",5
4.55694951712975e-06,1,500,"46c2a",6
NaN,1,500,"46c2a",7
NaN,1,500,"46c2a",8
1.70089930447455e-05,1,500,"46c2a",1
1.10925591279783e-05,1,500,"46c2a",2
1.01766204414577e-05,1,500,"46c2a",3
1.1513784731804e-05,1,500,"46c2a",4
1.03833334050896e-05,1,500,"46c2a",5
8.03997818935531e-06,1,500,"46c2a",6
NaN,1,500,"46c2a",7
NaN,1,500,"46c2a",8
1.06696779622429e-05,1,500,"46c2a",1
6.86513113205641e-06,1,500,"46c2a",2
7.07144751549442e-06,1,500,"46c2a",3
9.32612406262546e-06,1,500,"46c2a",4
4.91539393981508e-06,1,500,"46c2a",5
5.53063173645846e-06,1,500,"46c2a",6
NaN,1,500,"46c2a",7
NaN,1,500,"46c2a",8
1.10355381725676e-05,1,500,"46c2a",1
8.39348543504947e-06,1,500,"46c2a",2
1.28709778928622e-05,1,500,"46c2a",3
1.26152125675072e-05,1,500,"46c2a",4
NaN,1,500,"46c2a",5
6.66575169787732e-06,1,500,"46c2a",6
NaN,1,500,"46c2a",7
NaN,1,500,"46c2a",8
NaN,1,500,"46c2a",1
7.63111695930908e-05,1,500,"46c2a",2
NaN,1,500,"46c2a",3
7.63409277552323e-06,1,500,"46c2a",4
NaN,1,500,"46c2a",5
1.50210937745137e-05,1,500,"46c2a",6
NaN,1,500,"46c2a",7
NaN,1,500,"46c2a",8
2.80588167340071e-05,1,500,"46c2a",1
2.32110421406188e-05,1,500,"46c2a",2
2.16007740965373e-05,1,500,"46c2a",3
2.73340536401022e-05,1,500,"46c2a",4
1.77309959689964e-05,1,500,"46c2a",5
6.95900821103539e-06,1,500,"46c2a",6
NaN,1,500,"46c2a",7
NaN,1,500,"46c2a",8
1.68344943821358e-05,1,500,"46c2a",1
