PPvec,blockVec,stimLevelVec,sidVec,chanVec
1.39054802712506e-05,1,500,"46c2a",1
8.22120003810234e-06,1,500,"46c2a",2
9.73008284708836e-06,1,500,"46c2a",3
1.32478129677546e-05,1,500,"46c2a",4
1.42661884266597e-05,1,500,"46c2a",5
1.0510980334389e-05,1,500,"46c2a",6
NaN,1,500,"46c2a",7
NaN,1,500,"46c2a",8
NaN,1,500,"46c2a",1
NaN,1,500,"46c2a",2
NaN,1,500,"46c2a",3
NaN,1,500,"46c2a",4
4.14609434225522e-06,1,500,"46c2a",5
8.10130896662083e-06,1,500,"46c2a",6
NaN,1,500,"46c2a",7
NaN,1,500,"46c2a",8
NaN,1,500,"46c2a",1
NaN,1,500,"46c2a",2
6.89375079073455e-06,1,500,"46c2a",3
9.51147568653102e-06,1,500,"46c2a",4
3.12643875038716e-06,1,500,"46c2a",5
2.44955462818563e-06,1,500,"46c2a",6
NaN,1,500,"46c2a",7
NaN,1,500,"46c2a",8
NaN,1,500,"46c2a",1
NaN,1,500,"46c2a",2
1.51673727684667e-05,1,500,"46c2a",3
2.00208976710551e-05,1,500,"46c2a",4
3.16481301385966e-06,1,500,"46c2a",5
3.37893820525642e-06,1,500,"46c2a",6
NaN,1,500,"46c2a",7
NaN,1,500,"46c2a",8
1.27201878305304e-05,1,500,"46c2a",1
8.28016757772224e-06,1,500,"46c2a",2
8.11892468728331e-06,1,500,"46c2a",3
1.03964498760631e-05,1,500,"46c2a",4
1.25880684225397e-05,1,500,"46c2a",5
5.44011737740393e-06,1,500,"46c2a",6
NaN,1,500,"46c2a",7
NaN,1,500,"46c2a",8
NaN,1,500,"46c2a",1
3.18203953269928e-05,1,500,"46c2a",2
1.39594025398181e-05,1,500,"46c2a",3
1.12283743787434e-05,1,500,"46c2a",4
2.28001124485667e-06,1,500,"46c2a",5
4.63220022126955e-06,1,500,"46c2a",6
NaN,1,500,"46c2a",7
NaN,1,500,"46c2a",8
NaN,1,500,"46c2a",1
6.47926769300079e-05,1,500,"46c2a",2
1.87567198734996e-05,1,500,"46c2a",3
1.35766480387354e-05,1,500,"46c2a",4
4.66998355595085e-06,1,500,"46c2a",5
4.17088436309317e-06,1,500,"46c2a",6
NaN,1,500,"46c2a",7
NaN,1,500,"46c2a",8
NaN,1,500,"46c2a",1
7.11519915456018e-06,1,500,"46c2a",2
7.71377602474508e-06,1,500,"46c2a",3
1.04806617010872e-05,1,500,"46c2a",4
1.20884897463803e-06,1,500,"46c2a",5
1.38107155085126e-05,1,500,"46c2a",6
NaN,1,500,"46c2a",7
NaN,1,500,"46c2a",8
2.85993047489969e-05,1,500,"46c2a",1
2.51295274280501e-05,1,500,"46c2a",2
5.9381049889273e-06,1,500,"46c2a",3
7.96249476787137e-06,1,500,"46c2a",4
3.91217915707929e-06,1,500,"46c2a",5
6.84829459263165e-06,1,500,"46c2a",6
NaN,1,500,"46c2a",7
NaN,1,500,"46c2a",8
1.42951293905445e-05,1,500,"46c2a",1
4.37825525785583e-06,1,500,"46c2a",2
2.91631745578951e-06,1,500,"46c2a",3
4.81258378042568e-06,1,500,"46c2a",4
1.02833574565444e-05,1,500,"46c2a",5
1.25625743808477e-05,1,500,"46c2a",6
NaN,1,500,"46c2a",7
NaN,1,500,"46c2a",8
1.36095447373853e-05,1,500,"46c2a",1
4.66822470591532e-06,1,500,"46c2a",2
5.53376110944132e-06,1,500,"46c2a",3
8.01242892176558e-06,1,500,"46c2a",4
1.41633392844202e-05,1,500,"46c2a",5
5.107116077507e-06,1,500,"46c2a",6
NaN,1,500,"46c2a",7
NaN,1,500,"46c2a",8
1.7474279858976e-05,1,1000,"46c2a",1
1.13554936903083e-05,1,1000,"46c2a",2
8.64049034303756e-06,1,1000,"46c2a",3
1.11024052381337e-05,1,1000,"46c2a",4
2.7625710464344e-06,1,1000,"46c2a",5
4.74876070004283e-06,1,1000,"46c2a",6
NaN,1,1000,"46c2a",7
NaN,1,1000,"46c2a",8
NaN,1,1000,"46c2a",1
NaN,1,1000,"46c2a",2
NaN,1,1000,"46c2a",3
NaN,1,1000,"46c2a",4
2.57047326527132e-06,1,1000,"46c2a",5
8.51327672846495e-06,1,1000,"46c2a",6
NaN,1,1000,"46c2a",7
NaN,1,1000,"46c2a",8
NaN,1,1000,"46c2a",1
NaN,1,1000,"46c2a",2
7.75121220024346e-06,1,1000,"46c2a",3
9.52514705648367e-06,1,1000,"46c2a",4
2.86750448992263e-06,1,1000,"46c2a",5
7.14183900162264e-06,1,1000,"46c2a",6
NaN,1,1000,"46c2a",7
NaN,1,1000,"46c2a",8
NaN,1,1000,"46c2a",1
NaN,1,1000,"46c2a",2
NaN,1,1000,"46c2a",3
1.24679400249363e-05,1,1000,"46c2a",4
3.99464468043854e-06,1,1000,"46c2a",5
1.49115197061097e-05,1,1000,"46c2a",6
NaN,1,1000,"46c2a",7
NaN,1,1000,"46c2a",8
1.37479895419813e-05,1,1000,"46c2a",1
5.53931702465834e-06,1,1000,"46c2a",2
8.02771119360598e-06,1,1000,"46c2a",3
9.35445181971187e-06,1,1000,"46c2a",4
3.76056146096118e-06,1,1000,"46c2a",5
3.51099259047877e-06,1,1000,"46c2a",6
NaN,1,1000,"46c2a",7
NaN,1,1000,"46c2a",8
2.50296973262722e-05,1,1000,"46c2a",1
2.6538232674632e-05,1,1000,"46c2a",2
2.34771145292601e-05,1,1000,"46c2a",3
1.97391480453322e-05,1,1000,"46c2a",4
5.40998014690587e-06,1,1000,"46c2a",5
NaN,1,1000,"46c2a",6
NaN,1,1000,"46c2a",7
NaN,1,1000,"46c2a",8
NaN,1,1000,"46c2a",1
2.37764862641671e-05,1,1000,"46c2a",2
1.85509141769119e-05,1,1000,"46c2a",3
1.9290936979486e-05,1,1000,"46c2a",4
6.23259876756061e-06,1,1000,"46c2a",5
8.11432974739046e-06,1,1000,"46c2a",6
NaN,1,1000,"46c2a",7
NaN,1,1000,"46c2a",8
NaN,1,1000,"46c2a",1
1.38857459080768e-05,1,1000,"46c2a",2
1.21356045465444e-05,1,1000,"46c2a",3
1.71761683021635e-05,1,1000,"46c2a",4
7.86747398638965e-06,1,1000,"46c2a",5
5.0268565565249e-06,1,1000,"46c2a",6
NaN,1,1000,"46c2a",7
NaN,1,1000,"46c2a",8
1.55531474171272e-05,1,1000,"46c2a",1
9.18637441342217e-06,1,1000,"46c2a",2
1.14900760736654e-05,1,1000,"46c2a",3
1.35490891510648e-05,1,1000,"46c2a",4
NaN,1,1000,"46c2a",5
NaN,1,1000,"46c2a",6
NaN,1,1000,"46c2a",7
NaN,1,1000,"46c2a",8
9.28403362853743e-06,1,1000,"46c2a",1
1.07463551574664e-06,1,1000,"46c2a",2
4.56508653536726e-06,1,1000,"46c2a",3
NaN,1,1000,"46c2a",4
NaN,1,1000,"46c2a",5
2.64051385743524e-05,1,1000,"46c2a",6
NaN,1,1000,"46c2a",7
NaN,1,1000,"46c2a",8
1.92302220690045e-05,1,2000,"46c2a",1
8.28216896421947e-06,1,2000,"46c2a",2
1.00402222282454e-05,1,2000,"46c2a",3
1.31689107772085e-05,1,2000,"46c2a",4
7.19867023332189e-06,1,2000,"46c2a",5
2.50484799740326e-05,1,2000,"46c2a",6
NaN,1,2000,"46c2a",7
NaN,1,2000,"46c2a",8
NaN,1,2000,"46c2a",1
NaN,1,2000,"46c2a",2
NaN,1,2000,"46c2a",3
NaN,1,2000,"46c2a",4
8.98706445716504e-06,1,2000,"46c2a",5
2.4051488170027e-05,1,2000,"46c2a",6
NaN,1,2000,"46c2a",7
NaN,1,2000,"46c2a",8
NaN,1,2000,"46c2a",1
NaN,1,2000,"46c2a",2
9.56363248800725e-06,1,2000,"46c2a",3
1.47927896641834e-05,1,2000,"46c2a",4
3.47532856726931e-06,1,2000,"46c2a",5
3.78573474863494e-05,1,2000,"46c2a",6
NaN,1,2000,"46c2a",7
NaN,1,2000,"46c2a",8
NaN,1,2000,"46c2a",1
NaN,1,2000,"46c2a",2
1.13450751165046e-05,1,2000,"46c2a",3
1.92227042502986e-05,1,2000,"46c2a",4
1.56478720924352e-06,1,2000,"46c2a",5
1.87730726188891e-05,1,2000,"46c2a",6
NaN,1,2000,"46c2a",7
NaN,1,2000,"46c2a",8
1.62701066080227e-05,1,2000,"46c2a",1
7.14815262600116e-06,1,2000,"46c2a",2
3.256978516716e-05,1,2000,"46c2a",3
4.07347055216397e-05,1,2000,"46c2a",4
1.11358240058441e-05,1,2000,"46c2a",5
3.58117201829429e-05,1,2000,"46c2a",6
NaN,1,2000,"46c2a",7
NaN,1,2000,"46c2a",8
1.39554563512995e-05,1,2000,"46c2a",1
6.39026585821125e-06,1,2000,"46c2a",2
1.13500701150338e-05,1,2000,"46c2a",3
1.82978669888654e-05,1,2000,"46c2a",4
1.08069721128082e-05,1,2000,"46c2a",5
3.14167624192518e-05,1,2000,"46c2a",6
NaN,1,2000,"46c2a",7
NaN,1,2000,"46c2a",8
NaN,1,2000,"46c2a",1
1.6437426089525e-05,1,2000,"46c2a",2
9.64382668040464e-06,1,2000,"46c2a",3
1.08202273431851e-05,1,2000,"46c2a",4
