PPvec,blockVec,stimLevelVec,sidVec,chanVec,PPfromAvgVec,rmsVec
NaN,1,500,"46c2a",1,0,8.20195137962039e-06
NaN,1,500,"46c2a",2,0,4.59429851534927e-06
NaN,1,500,"46c2a",3,0,4.86288921265857e-06
NaN,1,500,"46c2a",4,0,5.40950509898425e-06
NaN,1,500,"46c2a",5,0,4.10495755080784e-06
NaN,1,500,"46c2a",6,0,6.23081879520622e-06
NaN,1,500,"46c2a",7,NaN,NaN
NaN,1,500,"46c2a",8,NaN,NaN
NaN,1,500,"46c2a",1,0,5.73729279619974e-06
NaN,1,500,"46c2a",2,0,6.62438952219805e-06
NaN,1,500,"46c2a",3,0,4.43739621941265e-06
NaN,1,500,"46c2a",4,0,6.1302458767717e-06
NaN,1,500,"46c2a",5,0,5.18828584211073e-06
NaN,1,500,"46c2a",6,0,6.34809256833917e-06
NaN,1,500,"46c2a",7,NaN,0
NaN,1,500,"46c2a",8,NaN,0
NaN,1,500,"46c2a",1,0,1.01672732664236e-05
NaN,1,500,"46c2a",2,0,8.67226347308257e-06
NaN,1,500,"46c2a",3,0,1.50815927217221e-05
NaN,1,500,"46c2a",4,0,2.00701199384143e-05
NaN,1,500,"46c2a",5,0,2.70245258399971e-05
NaN,1,500,"46c2a",6,0,1.69942141560932e-05
NaN,1,500,"46c2a",7,NaN,0
NaN,1,500,"46c2a",8,NaN,0
NaN,1,500,"46c2a",1,0,4.79264216894642e-05
NaN,1,500,"46c2a",2,0,6.55639986373509e-05
NaN,1,500,"46c2a",3,0,8.86547782401773e-05
0.000101705263951654,1,500,"46c2a",4,0,4.96649171083181e-05
NaN,1,500,"46c2a",5,0,5.7830675284207e-05
9.71752416080643e-05,1,500,"46c2a",6,0,4.04388028211859e-05
NaN,1,500,"46c2a",7,NaN,0
NaN,1,500,"46c2a",8,NaN,0
1.20569575604606e-05,1,500,"46c2a",1,0,4.85266572766106e-06
NaN,1,500,"46c2a",2,0,8.99416610859061e-06
NaN,1,500,"46c2a",3,0,5.0432835347434e-06
NaN,1,500,"46c2a",4,0,5.72805391790286e-06
NaN,1,500,"46c2a",5,0,7.29821745840452e-06
NaN,1,500,"46c2a",6,0,7.88515538677133e-06
NaN,1,500,"46c2a",7,NaN,0
NaN,1,500,"46c2a",8,NaN,0
NaN,1,500,"46c2a",1,0,4.80976813531367e-06
NaN,1,500,"46c2a",2,0,4.12277524548301e-06
NaN,1,500,"46c2a",3,0,3.96798833520173e-06
NaN,1,500,"46c2a",4,0,4.45347712508415e-06
NaN,1,500,"46c2a",5,0,5.06854409302985e-06
NaN,1,500,"46c2a",6,0,2.25162537210383e-05
NaN,1,500,"46c2a",7,NaN,0
NaN,1,500,"46c2a",8,NaN,0
NaN,1,500,"46c2a",1,0,7.22065101817968e-06
NaN,1,500,"46c2a",2,0,6.13968716443657e-06
NaN,1,500,"46c2a",3,0,7.05657137641012e-06
NaN,1,500,"46c2a",4,0,7.31691902901512e-06
NaN,1,500,"46c2a",5,0,7.41016640316685e-06
NaN,1,500,"46c2a",6,0,6.10244679177185e-06
NaN,1,500,"46c2a",7,NaN,0
NaN,1,500,"46c2a",8,NaN,0
4.93534576767763e-05,1,500,"46c2a",1,0,5.38032969674409e-06
NaN,1,500,"46c2a",2,0,4.84635234766913e-06
NaN,1,500,"46c2a",3,0,4.56821356582822e-06
NaN,1,500,"46c2a",4,0,5.05288695174447e-06
NaN,1,500,"46c2a",5,0,4.17713238345967e-06
NaN,1,500,"46c2a",6,0,5.25554962171023e-06
NaN,1,500,"46c2a",7,NaN,0
NaN,1,500,"46c2a",8,NaN,0
NaN,1,500,"46c2a",1,0,5.87755724488113e-06
NaN,1,500,"46c2a",2,0,5.51224750753465e-06
NaN,1,500,"46c2a",3,0,6.0161581753848e-06
NaN,1,500,"46c2a",4,0,5.41931569217217e-06
NaN,1,500,"46c2a",5,0,7.69952804799094e-06
NaN,1,500,"46c2a",6,0,7.72424616598032e-06
NaN,1,500,"46c2a",7,NaN,0
NaN,1,500,"46c2a",8,NaN,0
NaN,1,500,"46c2a",1,0,1.48489219844145e-05
NaN,1,500,"46c2a",2,0,2.63926696428874e-05
NaN,1,500,"46c2a",3,0,4.15090062335452e-05
NaN,1,500,"46c2a",4,0,3.4789123516726e-05
NaN,1,500,"46c2a",5,0,1.46583157363274e-05
NaN,1,500,"46c2a",6,0,3.62573443297803e-05
NaN,1,500,"46c2a",7,NaN,0
NaN,1,500,"46c2a",8,NaN,0
NaN,1,500,"46c2a",1,0,1.70382204022536e-05
NaN,1,500,"46c2a",2,0,1.50211482453373e-05
NaN,1,500,"46c2a",3,0,1.00158678216397e-05
NaN,1,500,"46c2a",4,0,5.93452250485196e-06
NaN,1,500,"46c2a",5,0,4.36625065706125e-06
NaN,1,500,"46c2a",6,0,6.04071195770769e-06
NaN,1,500,"46c2a",7,NaN,0
NaN,1,500,"46c2a",8,NaN,0
2.56840448277546e-05,1,500,"46c2a",1,0,1.78081063932458e-05
NaN,1,500,"46c2a",2,0,1.83126555871209e-05
NaN,1,500,"46c2a",3,0,1.66668408526697e-05
NaN,1,500,"46c2a",4,0,1.71428093519025e-05
NaN,1,500,"46c2a",5,0,1.86691600492134e-05
NaN,1,500,"46c2a",6,0,1.52082325447035e-05
NaN,1,500,"46c2a",7,NaN,0
NaN,1,500,"46c2a",8,NaN,0
NaN,1,500,"46c2a",1,0,1.46129249724033e-05
NaN,1,500,"46c2a",2,0,1.43195749423756e-05
NaN,1,500,"46c2a",3,0,1.24159819555524e-05
NaN,1,500,"46c2a",4,0,1.23800497857936e-05
NaN,1,500,"46c2a",5,0,1.02999907912099e-05
NaN,1,500,"46c2a",6,0,1.4995473789315e-05
NaN,1,500,"46c2a",7,NaN,0
NaN,1,500,"46c2a",8,NaN,0
NaN,1,500,"46c2a",1,0,4.94360972814293e-06
NaN,1,500,"46c2a",2,0,4.26660114878578e-06
NaN,1,500,"46c2a",3,0,3.83499735937962e-06
NaN,1,500,"46c2a",4,0,4.41523161300473e-06
NaN,1,500,"46c2a",5,0,3.88369214528336e-06
NaN,1,500,"46c2a",6,0,6.26842171538283e-06
NaN,1,500,"46c2a",7,NaN,0
NaN,1,500,"46c2a",8,NaN,0
NaN,1,500,"46c2a",1,0,4.93843941758865e-06
NaN,1,500,"46c2a",2,0,4.33024708705933e-06
NaN,1,500,"46c2a",3,0,6.76592225500116e-06
NaN,1,500,"46c2a",4,0,8.49368462244578e-06
NaN,1,500,"46c2a",5,0,1.10937621652734e-05
NaN,1,500,"46c2a",6,0,9.0701958346283e-06
NaN,1,500,"46c2a",7,NaN,0
NaN,1,500,"46c2a",8,NaN,0
NaN,1,500,"46c2a",1,0,8.94947456758992e-05
NaN,1,500,"46c2a",2,0,2.98319443592833e-05
NaN,1,500,"46c2a",3,0,1.2622172612298e-05
NaN,1,500,"46c2a",4,0,1.77969727898071e-05
NaN,1,500,"46c2a",5,0,2.84866319949161e-05
NaN,1,500,"46c2a",6,0,1.94520571396583e-05
NaN,1,500,"46c2a",7,NaN,0
NaN,1,500,"46c2a",8,NaN,0
NaN,1,500,"46c2a",1,0,4.99190491514181e-05
NaN,1,500,"46c2a",2,0,2.44569399450135e-05
NaN,1,500,"46c2a",3,0,3.26717853295386e-05
NaN,1,500,"46c2a",4,0,3.42336589592559e-05
