PPvec,blockVec,stimLevelVec,sidVec,chanVec,PPfromAvgVec,rmsVec
NaN,1,500,"46c2a",1,0,4.64320767440856e-06
NaN,1,500,"46c2a",2,0,3.84924546243622e-06
NaN,1,500,"46c2a",3,0,5.95847383317891e-06
NaN,1,500,"46c2a",4,0,7.75468883426893e-06
NaN,1,500,"46c2a",5,0,9.04532073279573e-06
NaN,1,500,"46c2a",6,0,7.83647585794676e-06
NaN,1,500,"46c2a",7,NaN,NaN
NaN,1,500,"46c2a",8,NaN,NaN
NaN,1,500,"46c2a",1,0,1.63063848791533e-05
NaN,1,500,"46c2a",2,0,2.12088406517435e-05
NaN,1,500,"46c2a",3,0,3.04915520871311e-05
NaN,1,500,"46c2a",4,0,1.7586106114503e-05
NaN,1,500,"46c2a",5,0,1.9962389329629e-05
NaN,1,500,"46c2a",6,0,6.52769593881516e-06
NaN,1,500,"46c2a",7,NaN,0
NaN,1,500,"46c2a",8,NaN,0
NaN,1,500,"46c2a",1,0,4.86198143302469e-06
NaN,1,500,"46c2a",2,0,2.93992867001109e-06
NaN,1,500,"46c2a",3,0,3.19271660585738e-06
NaN,1,500,"46c2a",4,0,3.70675134141765e-06
NaN,1,500,"46c2a",5,0,2.66553807723357e-06
NaN,1,500,"46c2a",6,0,3.91949045201974e-06
NaN,1,500,"46c2a",7,NaN,0
NaN,1,500,"46c2a",8,NaN,0
NaN,1,500,"46c2a",1,0,5.62820090254825e-06
NaN,1,500,"46c2a",2,0,9.20736889500714e-06
NaN,1,500,"46c2a",3,0,1.46347740822959e-05
NaN,1,500,"46c2a",4,0,8.1103525649029e-06
NaN,1,500,"46c2a",5,0,3.2434489154208e-06
NaN,1,500,"46c2a",6,0,1.7786513455593e-05
NaN,1,500,"46c2a",7,NaN,0
NaN,1,500,"46c2a",8,NaN,0
NaN,1,500,"46c2a",1,0,6.9429800256814e-06
NaN,1,500,"46c2a",2,0,6.6075897111652e-06
NaN,1,500,"46c2a",3,0,6.19173364233578e-06
NaN,1,500,"46c2a",4,0,6.16082460537491e-06
NaN,1,500,"46c2a",5,0,6.48984496119083e-06
NaN,1,500,"46c2a",6,0,8.69278199313309e-06
NaN,1,500,"46c2a",7,NaN,0
NaN,1,500,"46c2a",8,NaN,0
NaN,1,500,"46c2a",1,0,4.54161310367437e-05
NaN,1,500,"46c2a",2,0,1.47769585570426e-05
NaN,1,500,"46c2a",3,0,1.4558206261765e-05
NaN,1,500,"46c2a",4,0,1.38075938503158e-05
NaN,1,500,"46c2a",5,0,2.3133291562025e-05
NaN,1,500,"46c2a",6,0,2.24671563335059e-05
NaN,1,500,"46c2a",7,NaN,0
NaN,1,500,"46c2a",8,NaN,0
NaN,1,500,"46c2a",1,0,2.89132752039023e-05
NaN,1,500,"46c2a",2,0,2.69268214980367e-05
NaN,1,500,"46c2a",3,0,1.97121444156152e-05
NaN,1,500,"46c2a",4,0,2.22781727380718e-05
NaN,1,500,"46c2a",5,0,2.27299116171205e-05
NaN,1,500,"46c2a",6,0,2.02208990110728e-05
