PPvec,blockVec,stimLevelVec,sidVec,chanVec
4.32548344077217e-05,1,5500,"68574",1
2.37108102312157e-05,1,5500,"68574",2
1.04473430558131e-05,1,5500,"68574",3
7.80334669782521e-05,1,5500,"68574",4
NaN,1,5500,"68574",5
NaN,1,5500,"68574",6
7.44653843166031e-06,1,5500,"68574",7
0.000139420586648126,1,5500,"68574",8
NaN,1,5500,"68574",1
NaN,1,5500,"68574",2
NaN,1,5500,"68574",3
0.00010208770778156,1,5500,"68574",4
NaN,1,5500,"68574",5
NaN,1,5500,"68574",6
4.74811752513048e-05,1,5500,"68574",7
5.1679866922846e-05,1,5500,"68574",8
NaN,1,5500,"68574",1
NaN,1,5500,"68574",2
4.04746459530464e-05,1,5500,"68574",3
7.2248393819009e-05,1,5500,"68574",4
NaN,1,5500,"68574",5
NaN,1,5500,"68574",6
6.09917286109702e-06,1,5500,"68574",7
3.33983498732377e-05,1,5500,"68574",8
1.83923419052873e-05,1,5500,"68574",1
2.22196332796415e-05,1,5500,"68574",2
2.56116789013494e-05,1,5500,"68574",3
7.04506994419633e-05,1,5500,"68574",4
NaN,1,5500,"68574",5
NaN,1,5500,"68574",6
4.4946145016233e-05,1,5500,"68574",7
4.40644420208287e-05,1,5500,"68574",8
NaN,1,5500,"68574",1
4.36014429178884e-05,1,5500,"68574",2
5.96575635480727e-05,1,5500,"68574",3
0.000123829185699779,1,5500,"68574",4
NaN,1,5500,"68574",5
NaN,1,5500,"68574",6
1.32970331948031e-05,1,5500,"68574",7
1.05194346795981e-05,1,5500,"68574",8
NaN,1,5500,"68574",1
6.33884294575668e-05,1,5500,"68574",2
6.91238264034486e-05,1,5500,"68574",3
0.000242000969335923,1,5500,"68574",4
NaN,1,5500,"68574",5
NaN,1,5500,"68574",6
0.00013890156418554,1,5500,"68574",7
3.82136509644615e-05,1,5500,"68574",8
3.53774594571889e-05,1,5500,"68574",1
2.86375166772046e-05,1,5500,"68574",2
2.4050696507654e-05,1,5500,"68574",3
6.52703338482998e-05,1,5500,"68574",4
NaN,1,5500,"68574",5
NaN,1,5500,"68574",6
8.50268807460941e-05,1,5500,"68574",7
6.607270969425e-05,1,5500,"68574",8
2.31400902548845e-05,1,5500,"68574",1
3.7741156078244e-05,1,5500,"68574",2
5.10233487109942e-05,1,5500,"68574",3
0.000105405076926421,1,5500,"68574",4
NaN,1,5500,"68574",5
NaN,1,5500,"68574",6
3.7426320292448e-05,1,5500,"68574",7
1.81957027548981e-05,1,5500,"68574",8
2.7902705212501e-05,1,5500,"68574",1
3.53121778248737e-05,1,5500,"68574",2
5.17591761642853e-05,1,5500,"68574",3
0.000108517651523336,1,5500,"68574",4
NaN,1,5500,"68574",5
NaN,1,5500,"68574",6
5.07554567660035e-05,1,5500,"68574",7
2.23231549966256e-05,1,5500,"68574",8
3.17216855116841e-05,1,5500,"68574",1
3.85236433050995e-05,1,5500,"68574",2
4.72181169868687e-05,1,5500,"68574",3
0.000104324747485738,1,5500,"68574",4
NaN,1,5500,"68574",5
NaN,1,5500,"68574",6
1.53081574373347e-05,1,5500,"68574",7
1.51197778946941e-05,1,5500,"68574",8
1.8627537709433e-05,1,5500,"68574",1
2.25582657922409e-05,1,5500,"68574",2
4.10960736260575e-05,1,5500,"68574",3
8.78800297359896e-05,1,5500,"68574",4
NaN,1,5500,"68574",5
NaN,1,5500,"68574",6
6.68410025690482e-05,1,5500,"68574",7
2.8640777930588e-05,1,5500,"68574",8
3.25699546209164e-05,1,5500,"68574",1
3.09912286099108e-05,1,5500,"68574",2
3.17770272179026e-05,1,5500,"68574",3
6.5723860419304e-05,1,5500,"68574",4
NaN,1,5500,"68574",5
NaN,1,5500,"68574",6
1.18725813912126e-05,1,5500,"68574",7
0.000102235908502866,1,5500,"68574",8
1.08019184052621e-05,1,5500,"68574",1
1.58565398891811e-05,1,5500,"68574",2
2.3567865954147e-05,1,5500,"68574",3
7.0074378479764e-05,1,5500,"68574",4
NaN,1,5500,"68574",5
NaN,1,5500,"68574",6
8.71373822962864e-06,1,5500,"68574",7
7.40281773856514e-06,1,5500,"68574",8
1.18057675701466e-05,1,5500,"68574",1
1.3141784162252e-05,1,5500,"68574",2
1.74433842221839e-05,1,5500,"68574",3
6.33381049615661e-05,1,5500,"68574",4
NaN,1,5500,"68574",5
NaN,1,5500,"68574",6
2.73118485808307e-05,1,5500,"68574",7
9.903252109298e-06,1,5500,"68574",8
2.80845105201399e-05,1,5500,"68574",1
4.3684555657172e-05,1,5500,"68574",2
6.23259474594715e-05,1,5500,"68574",3
9.68251972502195e-05,1,5500,"68574",4
NaN,1,5500,"68574",5
NaN,1,5500,"68574",6
2.12994181869161e-05,1,5500,"68574",7
4.1177134184744e-05,1,5500,"68574",8
1.34449267538059e-05,1,5500,"68574",1
1.85187529395529e-05,1,5500,"68574",2
3.20459708363638e-05,1,5500,"68574",3
0.000106836154710038,1,5500,"68574",4
NaN,1,5500,"68574",5
NaN,1,5500,"68574",6
1.03375333685219e-05,1,5500,"68574",7
9.54892429382627e-06,1,5500,"68574",8
1.11474099826385e-05,1,5500,"68574",1
1.4238148393653e-05,1,5500,"68574",2
3.0194010977912e-05,1,5500,"68574",3
0.00010337305283661,1,5500,"68574",4
NaN,1,5500,"68574",5
NaN,1,5500,"68574",6
5.43132810667836e-06,1,5500,"68574",7
5.79951674995138e-06,1,5500,"68574",8
1.17643138742924e-05,1,5500,"68574",1
1.10516174828975e-05,1,5500,"68574",2
2.6651862144467e-05,1,5500,"68574",3
6.56029401030451e-05,1,5500,"68574",4
NaN,1,5500,"68574",5
NaN,1,5500,"68574",6
1.90606169398962e-05,1,5500,"68574",7
1.47897324299471e-05,1,5500,"68574",8
2.63301085471099e-05,1,5500,"68574",1
5.55354811662044e-05,1,5500,"68574",2
6.06254939235018e-05,1,5500,"68574",3
4.84993988062517e-05,1,5500,"68574",4
NaN,1,5500,"68574",5
NaN,1,5500,"68574",6
3.30185601381499e-05,1,5500,"68574",7
0.000144738362217641,1,5500,"68574",8
1.25757132454612e-05,1,5500,"68574",1
1.58362574829125e-05,1,5500,"68574",2
2.36066012463719e-05,1,5500,"68574",3
8.69189069527315e-05,1,5500,"68574",4
NaN,1,5500,"68574",5
NaN,1,5500,"68574",6
1.72105807358096e-05,1,5500,"68574",7
6.90527142960177e-05,1,5500,"68574",8
7.00900098822038e-06,1,5500,"68574",1
3.9385091834345e-05,1,5500,"68574",2
5.04386470130271e-05,1,5500,"68574",3
0.00010334077450553,1,5500,"68574",4
NaN,1,5500,"68574",5
NaN,1,5500,"68574",6
9.92744853633219e-06,1,5500,"68574",7
8.98592371733557e-06,1,5500,"68574",8
4.38282375308566e-05,1,5500,"68574",1
6.58237279603537e-05,1,5500,"68574",2
0.000107998367588087,1,5500,"68574",3
0.000216737299302321,1,5500,"68574",4
NaN,1,5500,"68574",5
NaN,1,5500,"68574",6
1.88308116059656e-05,1,5500,"68574",7
2.09919422435787e-05,1,5500,"68574",8
2.96654348867392e-05,1,5500,"68574",1
3.05006472282603e-05,1,5500,"68574",2
4.78336939695722e-05,1,5500,"68574",3
0.000101048210702808,1,5500,"68574",4
NaN,1,5500,"68574",5
NaN,1,5500,"68574",6
1.26305264521334e-05,1,5500,"68574",7
0.000153576172473674,1,5500,"68574",8
9.31074967477115e-06,1,5500,"68574",1
2.05525459656764e-05,1,5500,"68574",2
1.68909463157183e-05,1,5500,"68574",3
6.31728574063527e-05,1,5500,"68574",4
NaN,1,5500,"68574",5
NaN,1,5500,"68574",6
1.68245335487833e-05,1,5500,"68574",7
8.17960448162706e-06,1,5500,"68574",8
