PPvec,blockVec,stimLevelVec,sidVec,chanVec
2.0143356141184e-05,1,5500,"68574",1
1.49209093178235e-05,1,5500,"68574",2
1.75054509546225e-05,1,5500,"68574",3
8.02210180998191e-05,1,5500,"68574",4
NaN,1,5500,"68574",5
NaN,1,5500,"68574",6
7.89440874008074e-06,1,5500,"68574",7
5.62268243957422e-05,1,5500,"68574",8
NaN,1,5500,"68574",1
NaN,1,5500,"68574",2
NaN,1,5500,"68574",3
1.10090724044638e-05,1,5500,"68574",4
NaN,1,5500,"68574",5
NaN,1,5500,"68574",6
5.99349255903077e-05,1,5500,"68574",7
1.76059446550169e-05,1,5500,"68574",8
NaN,1,5500,"68574",1
NaN,1,5500,"68574",2
3.36352712467195e-05,1,5500,"68574",3
9.74348538804339e-05,1,5500,"68574",4
NaN,1,5500,"68574",5
NaN,1,5500,"68574",6
5.92580627272919e-05,1,5500,"68574",7
1.57927968456956e-05,1,5500,"68574",8
1.86578864638359e-05,1,5500,"68574",1
2.48948107117348e-05,1,5500,"68574",2
3.61082741623961e-05,1,5500,"68574",3
7.68410925568164e-05,1,5500,"68574",4
NaN,1,5500,"68574",5
NaN,1,5500,"68574",6
2.59957849358789e-05,1,5500,"68574",7
8.72951450932813e-06,1,5500,"68574",8
NaN,1,5500,"68574",1
2.02551128655365e-05,1,5500,"68574",2
3.37028743483956e-05,1,5500,"68574",3
7.62057194502603e-05,1,5500,"68574",4
NaN,1,5500,"68574",5
NaN,1,5500,"68574",6
1.05754465388702e-05,1,5500,"68574",7
1.63808344938365e-05,1,5500,"68574",8
NaN,1,5500,"68574",1
1.42296143097793e-05,1,5500,"68574",2
2.43626169209202e-05,1,5500,"68574",3
9.63631159386439e-05,1,5500,"68574",4
NaN,1,5500,"68574",5
NaN,1,5500,"68574",6
9.86846446719439e-06,1,5500,"68574",7
6.15191110878987e-06,1,5500,"68574",8
1.27688164062716e-05,1,5500,"68574",1
2.61565326708091e-05,1,5500,"68574",2
2.83498340684606e-05,1,5500,"68574",3
8.68059441578555e-05,1,5500,"68574",4
NaN,1,5500,"68574",5
NaN,1,5500,"68574",6
1.25492150568947e-05,1,5500,"68574",7
7.43544044070584e-05,1,5500,"68574",8
2.17257135363763e-05,1,5500,"68574",1
2.57054828923029e-05,1,5500,"68574",2
4.58251206307482e-05,1,5500,"68574",3
0.00010689724331372,1,5500,"68574",4
NaN,1,5500,"68574",5
NaN,1,5500,"68574",6
1.08413788571967e-05,1,5500,"68574",7
3.22937906730153e-05,1,5500,"68574",8
