PPvec,blockVec,stimLevelVec,sidVec,chanVec,PPfromAvgVec,rmsVec
1.44195813740017e-05,1,5500,"68574",1,0,8.64360718386342e-06
NaN,1,5500,"68574",2,0,6.69371488817744e-06
2.23209406030143e-05,1,5500,"68574",3,0,6.63996170065514e-06
8.02210180998191e-05,1,5500,"68574",4,6.53625259279599e-05,2.28137034693979e-05
NaN,1,5500,"68574",5,NaN,NaN
NaN,1,5500,"68574",6,NaN,NaN
NaN,1,5500,"68574",7,0,4.43603020509706e-06
5.62268243957422e-05,1,5500,"68574",8,0,1.79122799725066e-05
2.30997481881663e-05,1,5500,"68574",1,0,1.31426685411146e-05
3.09602431030641e-05,1,5500,"68574",2,0,1.59508158329206e-05
3.75422629949321e-05,1,5500,"68574",3,0,1.7944714440491e-05
0.00010660130552344,1,5500,"68574",4,9.86038692741223e-05,4.51408946148801e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
3.81081048912432e-05,1,5500,"68574",7,0,1.96638766850043e-05
NaN,1,5500,"68574",8,0,1.20753972131898e-05
NaN,1,5500,"68574",1,0,2.35031433550899e-05
NaN,1,5500,"68574",2,0,2.34241803259269e-05
0.000161729331634529,1,5500,"68574",3,0,2.35514023475298e-05
NaN,1,5500,"68574",4,7.8085781535978e-05,3.08178297225094e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
NaN,1,5500,"68574",7,0,1.98293610943447e-05
NaN,1,5500,"68574",8,0,1.23886872705958e-05
NaN,1,5500,"68574",1,0,6.27533054846281e-06
NaN,1,5500,"68574",2,0,9.99644082937087e-06
3.61082741623961e-05,1,5500,"68574",3,0,1.56065703193618e-05
8.03084578419718e-05,1,5500,"68574",4,7.35103526597707e-05,3.2154124966951e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
NaN,1,5500,"68574",7,0,1.33830982036923e-05
2.81557119475931e-05,1,5500,"68574",8,0,1.06514285395872e-05
NaN,1,5500,"68574",1,0,1.15382622448771e-05
NaN,1,5500,"68574",2,0,1.06692177593883e-05
3.37028743483956e-05,1,5500,"68574",3,0,9.23773586930917e-06
7.62057194502603e-05,1,5500,"68574",4,7.10144393210167e-05,2.05025002748559e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
NaN,1,5500,"68574",7,0,9.51548667988452e-06
1.63808344938365e-05,1,5500,"68574",8,0,5.07966253374415e-06
NaN,1,5500,"68574",1,0,1.52351433554591e-05
NaN,1,5500,"68574",2,0,1.76423355050341e-05
2.70774433372379e-05,1,5500,"68574",3,0,1.88603347250562e-05
9.63631159386439e-05,1,5500,"68574",4,7.64588453596521e-05,3.21721655890058e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
NaN,1,5500,"68574",7,0,7.59262745444111e-06
NaN,1,5500,"68574",8,0,4.39152681396754e-06
1.32409896733486e-05,1,5500,"68574",1,0,9.66519518852385e-06
2.61565326708092e-05,1,5500,"68574",2,0,1.1369535624791e-05
3.40571080375006e-05,1,5500,"68574",3,0,1.12392584431417e-05
8.68059441578555e-05,1,5500,"68574",4,5.67978489008179e-05,2.04872596674654e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
NaN,1,5500,"68574",7,0,1.33475485449989e-05
8.2945186171731e-05,1,5500,"68574",8,0,2.69455188101225e-05
NaN,1,5500,"68574",1,0,1.39609142386467e-05
NaN,1,5500,"68574",2,0,1.56991397937177e-05
4.8384573897119e-05,1,5500,"68574",3,0,1.35199983577353e-05
6.43822461152535e-05,1,5500,"68574",4,9.78626306569727e-05,4.30102264287369e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
NaN,1,5500,"68574",7,0,2.12104840780278e-05
NaN,1,5500,"68574",8,0,2.04503381303088e-05
NaN,1,5500,"68574",1,0,9.22108131651222e-06
NaN,1,5500,"68574",2,0,7.85021035483852e-06
NaN,1,5500,"68574",3,0,9.34268207505577e-06
NaN,1,5500,"68574",4,6.29359293096478e-05,2.2610987410671e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
NaN,1,5500,"68574",7,0,1.08288486019534e-05
NaN,1,5500,"68574",8,0,8.99812144028473e-06
NaN,1,5500,"68574",1,0,1.11932236531176e-05
3.42348610337832e-05,1,5500,"68574",2,0,1.07498925098206e-05
3.89939562799261e-05,1,5500,"68574",3,0,1.39749231547988e-05
6.18914043149457e-05,1,5500,"68574",4,4.96103861267399e-05,4.36165041563152e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
NaN,1,5500,"68574",7,0,2.18158061583212e-05
NaN,1,5500,"68574",8,0,1.1799277937186e-05
NaN,1,5500,"68574",1,0,7.70799556435286e-06
NaN,1,5500,"68574",2,0,6.72397742706728e-06
NaN,1,5500,"68574",3,0,7.99795957354131e-06
NaN,1,5500,"68574",4,6.92476622876392e-05,2.26997872279923e-05
NaN,1,5500,"68574",5,NaN,0
NaN,1,5500,"68574",6,NaN,0
