PPvec,blockVec,stimLevelVec,sidVec,chanVec
NaN,1,3000,"8e907",1
NaN,1,3000,"8e907",2
1.39513604084681e-06,1,3000,"8e907",3
1.7466507383336e-05,1,3000,"8e907",4
0.00017571851201954,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
NaN,1,3000,"8e907",8
NaN,1,3000,"8e907",1
NaN,1,3000,"8e907",2
NaN,1,3000,"8e907",3
1.67322414512732e-05,1,3000,"8e907",4
7.16976708349932e-05,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
NaN,1,3000,"8e907",8
NaN,1,3000,"8e907",1
NaN,1,3000,"8e907",2
2.01358102568749e-05,1,3000,"8e907",3
2.07077862126897e-05,1,3000,"8e907",4
9.36310526325939e-05,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
7.90406804766232e-06,1,3000,"8e907",8
NaN,1,3000,"8e907",1
0.00011657686304532,1,3000,"8e907",2
0.000127620131446316,1,3000,"8e907",3
0.000119340786508826,1,3000,"8e907",4
7.64733095751287e-05,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
8.68766232364311e-05,1,3000,"8e907",8
3.65286593421239e-06,1,3000,"8e907",1
4.73511133337966e-06,1,3000,"8e907",2
4.99532245788326e-06,1,3000,"8e907",3
8.38002381647163e-06,1,3000,"8e907",4
4.97223914655226e-05,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
1.34913839196033e-05,1,3000,"8e907",8
NaN,1,3000,"8e907",1
7.45990159240246e-06,1,3000,"8e907",2
8.81679847758101e-06,1,3000,"8e907",3
6.25118642184994e-06,1,3000,"8e907",4
6.09121291901465e-05,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
5.17242584502928e-06,1,3000,"8e907",8
NaN,1,3000,"8e907",1
NaN,1,3000,"8e907",2
1.21162718565602e-05,1,3000,"8e907",3
8.79817505371075e-06,1,3000,"8e907",4
9.62385375095175e-05,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
NaN,1,3000,"8e907",8
NaN,1,3000,"8e907",1
NaN,1,3000,"8e907",2
1.70834872171793e-05,1,3000,"8e907",3
2.0879262328864e-05,1,3000,"8e907",4
0.000161805222416853,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
1.14642845640357e-05,1,3000,"8e907",8
5.87148798625151e-06,1,3000,"8e907",1
7.05261093207968e-06,1,3000,"8e907",2
5.48457344559788e-06,1,3000,"8e907",3
NaN,1,3000,"8e907",4
5.28634473757791e-05,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
1.25860194360879e-05,1,3000,"8e907",8
6.47240521151032e-06,1,3000,"8e907",1
7.76759493541464e-06,1,3000,"8e907",2
2.00190182987302e-05,1,3000,"8e907",3
NaN,1,3000,"8e907",4
3.00668295684423e-05,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
1.02843924013652e-05,1,3000,"8e907",8
5.77335614179737e-05,1,3000,"8e907",1
NaN,1,3000,"8e907",2
4.47042161574936e-05,1,3000,"8e907",3
4.12426957476241e-05,1,3000,"8e907",4
0.000138756118953914,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
1.20834696032588e-05,1,3000,"8e907",8
9.69505506346622e-06,1,3000,"8e907",1
5.79820346164715e-06,1,3000,"8e907",2
1.06184090190375e-05,1,3000,"8e907",3
9.35168371651671e-06,1,3000,"8e907",4
4.90803034982708e-05,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
3.13079242318929e-06,1,3000,"8e907",8
NaN,1,3000,"8e907",1
NaN,1,3000,"8e907",2
1.40990097903625e-05,1,3000,"8e907",3
7.28331965278788e-05,1,3000,"8e907",4
0.000189169686766136,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
3.72265671725935e-06,1,3000,"8e907",8
1.27577394715455e-05,1,3000,"8e907",1
1.46008492170286e-05,1,3000,"8e907",2
1.4024479702924e-05,1,3000,"8e907",3
8.18915509433627e-06,1,3000,"8e907",4
0.000161442443739932,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
NaN,1,3000,"8e907",8
1.31755402304787e-05,1,3000,"8e907",1
3.15459884788517e-06,1,3000,"8e907",2
NaN,1,3000,"8e907",3
NaN,1,3000,"8e907",4
5.08128457839562e-05,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
NaN,1,3000,"8e907",8
5.07564685380963e-06,1,3000,"8e907",1
6.70017516440023e-06,1,3000,"8e907",2
4.68756787977642e-05,1,3000,"8e907",3
1.3229915555138e-05,1,3000,"8e907",4
0.00012425618218971,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
7.33716435797207e-06,1,3000,"8e907",8
7.29561289519363e-06,1,3000,"8e907",1
1.92599901432693e-05,1,3000,"8e907",2
2.24402282265639e-05,1,3000,"8e907",3
1.03117415121581e-05,1,3000,"8e907",4
4.68162900823059e-05,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
NaN,1,3000,"8e907",8
1.61007068143074e-05,1,3000,"8e907",1
3.43496643406612e-05,1,3000,"8e907",2
2.89531764222238e-05,1,3000,"8e907",3
5.72563654130212e-05,1,3000,"8e907",4
0.000163625577819673,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
5.9305560901106e-06,1,3000,"8e907",8
7.63390394447655e-06,1,3000,"8e907",1
1.58349928903229e-05,1,3000,"8e907",2
1.87018035677444e-05,1,3000,"8e907",3
5.11487603429737e-05,1,3000,"8e907",4
0.000139428144019459,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
1.69729213783382e-06,1,3000,"8e907",8
2.12081303041338e-05,1,3000,"8e907",1
3.28952427816587e-05,1,3000,"8e907",2
1.85932204660018e-05,1,3000,"8e907",3
1.26086936889431e-05,1,3000,"8e907",4
0.000132140824549715,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
1.7121730896545e-05,1,3000,"8e907",8
1.33723927938898e-05,1,3000,"8e907",1
1.61766316040498e-05,1,3000,"8e907",2
1.44626303350891e-05,1,3000,"8e907",3
1.75581841262676e-05,1,3000,"8e907",4
5.9792081290329e-05,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
NaN,1,3000,"8e907",8
NaN,1,3000,"8e907",1
2.62397888392711e-05,1,3000,"8e907",2
3.22291292165297e-05,1,3000,"8e907",3
NaN,1,3000,"8e907",4
2.6482864440967e-05,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
NaN,1,3000,"8e907",8
1.59893986171589e-05,1,3000,"8e907",1
2.38474938066244e-05,1,3000,"8e907",2
2.30408924440693e-05,1,3000,"8e907",3
2.38513903179885e-05,1,3000,"8e907",4
0.000141268043097314,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
1.56110176414154e-05,1,3000,"8e907",8
1.29565476003557e-05,1,3000,"8e907",1
NaN,1,3000,"8e907",2
3.54608368996414e-05,1,3000,"8e907",3
4.0217723930516e-05,1,3000,"8e907",4
7.00993816533071e-05,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
5.1023845483616e-05,1,3000,"8e907",8
NaN,1,3000,"8e907",1
2.58539183506314e-05,1,3000,"8e907",2
1.9804579299042e-05,1,3000,"8e907",3
2.09854554649992e-05,1,3000,"8e907",4
7.51202877142272e-05,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
1.73120945449316e-05,1,3000,"8e907",8
9.82234098219494e-06,1,3000,"8e907",1
3.79130631920053e-05,1,3000,"8e907",2
1.9329495369544e-05,1,3000,"8e907",3
1.87178760999489e-05,1,3000,"8e907",4
8.49942125411209e-05,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
4.70537807091458e-05,1,3000,"8e907",8
NaN,1,3000,"8e907",1
1.42194526845581e-05,1,3000,"8e907",2
3.03569571572651e-05,1,3000,"8e907",3
NaN,1,3000,"8e907",4
9.29893383988139e-05,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
3.86865683011037e-05,1,3000,"8e907",8
NaN,1,3000,"8e907",1
NaN,1,3000,"8e907",2
NaN,1,3000,"8e907",3
NaN,1,3000,"8e907",4
0.000135830134922155,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
NaN,1,3000,"8e907",8
NaN,1,3000,"8e907",1
NaN,1,3000,"8e907",2
2.14162151052144e-06,1,3000,"8e907",3
1.09254404290951e-06,1,3000,"8e907",4
7.04411373995556e-05,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
NaN,1,3000,"8e907",8
NaN,1,3000,"8e907",1
NaN,1,3000,"8e907",2
1.998164368272e-05,1,3000,"8e907",3
3.43145414189985e-06,1,3000,"8e907",4
7.03382752791695e-05,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
NaN,1,3000,"8e907",8
7.22946064613673e-06,1,3000,"8e907",1
8.12282042713859e-06,1,3000,"8e907",2
1.84393498175616e-05,1,3000,"8e907",3
2.02876894418344e-05,1,3000,"8e907",4
7.72963004722567e-05,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
6.19642328464289e-06,1,3000,"8e907",8
1.39035786473999e-06,1,3000,"8e907",1
2.30878897091091e-05,1,3000,"8e907",2
2.03287115424486e-05,1,3000,"8e907",3
2.78005727530019e-05,1,3000,"8e907",4
8.25774245811412e-05,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
NaN,1,3000,"8e907",8
NaN,1,3000,"8e907",1
5.8582238448018e-06,1,3000,"8e907",2
2.39571122518841e-05,1,3000,"8e907",3
1.91963309164489e-05,1,3000,"8e907",4
6.47215619671119e-05,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
NaN,1,3000,"8e907",8
3.34065627296054e-06,1,3000,"8e907",1
1.18654221848314e-05,1,3000,"8e907",2
1.36444716587455e-05,1,3000,"8e907",3
1.62810247151534e-05,1,3000,"8e907",4
1.04397492593196e-05,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
1.19865560967453e-05,1,3000,"8e907",8
5.94004306914952e-06,1,3000,"8e907",1
NaN,1,3000,"8e907",2
3.09818799551139e-06,1,3000,"8e907",3
4.9536614029529e-06,1,3000,"8e907",4
0.000113258755477112,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
3.47511306601907e-05,1,3000,"8e907",8
2.21800334078889e-05,1,3000,"8e907",1
1.75427842948711e-05,1,3000,"8e907",2
1.30981837144635e-05,1,3000,"8e907",3
2.5654846906857e-05,1,3000,"8e907",4
0.00013920163122582,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
6.41375501204164e-06,1,3000,"8e907",8
NaN,1,3000,"8e907",1
NaN,1,3000,"8e907",2
6.66963374011581e-06,1,3000,"8e907",3
3.30001701571607e-06,1,3000,"8e907",4
0.000125540995973154,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
NaN,1,3000,"8e907",8
1.25499084288963e-05,1,3000,"8e907",1
NaN,1,3000,"8e907",2
1.972683361105e-05,1,3000,"8e907",3
1.29532407036536e-05,1,3000,"8e907",4
7.20783125107039e-05,1,3000,"8e907",5
NaN,1,3000,"8e907",6
NaN,1,3000,"8e907",7
NaN,1,3000,"8e907",8
NaN,1,3000,"8e907",1
1.18191366462523e-05,1,3000,"8e907",2
1.86983664957769e-05,1,3000,"8e907",3
3.31399359267425e-05,1,3000,"8e907",4
