PPvec,blockVec,stimLevelVec,sidVec,chanVec,PPfromAvgVec,rmsVec
NaN,1,3000,"8e907",1,0,2.36888233334748e-05
NaN,1,3000,"8e907",2,0,2.45987956792517e-05
NaN,1,3000,"8e907",3,0,1.62327255620475e-05
1.7466507383336e-05,1,3000,"8e907",4,0,1.09067991592211e-05
0.000175718512019539,1,3000,"8e907",5,0.000172980774947532,9.5822417740277e-05
NaN,1,3000,"8e907",6,NaN,NaN
NaN,1,3000,"8e907",7,NaN,NaN
NaN,1,3000,"8e907",8,0,1.51131299529963e-05
NaN,1,3000,"8e907",1,0,8.55240374929281e-05
NaN,1,3000,"8e907",2,0,5.78560434196318e-05
NaN,1,3000,"8e907",3,0,6.14306337631574e-05
0.000121151132667249,1,3000,"8e907",4,0,4.7668181802616e-05
0.00027764493750952,1,3000,"8e907",5,7.08005097881868e-05,0.000132955592608741
NaN,1,3000,"8e907",6,NaN,0
NaN,1,3000,"8e907",7,NaN,0
NaN,1,3000,"8e907",8,0,2.24545640438727e-05
NaN,1,3000,"8e907",1,0,5.25066397374945e-05
NaN,1,3000,"8e907",2,0,7.76155620855204e-06
NaN,1,3000,"8e907",3,0,5.18224915264996e-05
5.09931462927274e-05,1,3000,"8e907",4,0,6.22625170583307e-05
0.000123593129997084,1,3000,"8e907",5,7.78399964206747e-05,9.8155974550262e-05
NaN,1,3000,"8e907",6,NaN,0
NaN,1,3000,"8e907",7,NaN,0
NaN,1,3000,"8e907",8,0,3.01781722221651e-05
0.000128107731878887,1,3000,"8e907",1,0,5.1828801393414e-05
0.00011657686304532,1,3000,"8e907",2,0,4.86178366739343e-05
0.000127620131446316,1,3000,"8e907",3,0,4.89036250644164e-05
NaN,1,3000,"8e907",4,0,4.90907181690956e-05
7.64733095751286e-05,1,3000,"8e907",5,5.88524235554143e-05,3.54674499910483e-05
NaN,1,3000,"8e907",6,NaN,0
NaN,1,3000,"8e907",7,NaN,0
0.000116693516205317,1,3000,"8e907",8,0,4.92265134461578e-05
NaN,1,3000,"8e907",1,0,3.55041239887619e-05
NaN,1,3000,"8e907",2,0,4.41240475386984e-05
NaN,1,3000,"8e907",3,0,5.34913792542696e-05
NaN,1,3000,"8e907",4,0,6.11224047663668e-05
0.000169775656941407,1,3000,"8e907",5,4.87355835316726e-05,8.08412561268211e-05
NaN,1,3000,"8e907",6,NaN,0
NaN,1,3000,"8e907",7,NaN,0
NaN,1,3000,"8e907",8,0,2.53472899583093e-05
NaN,1,3000,"8e907",1,0,1.66970106652864e-05
NaN,1,3000,"8e907",2,0,3.80192004656169e-05
NaN,1,3000,"8e907",3,0,4.08557611908184e-05
NaN,1,3000,"8e907",4,0,6.65461799182402e-05
0.000146238630908236,1,3000,"8e907",5,5.93846767714253e-05,9.63850214140896e-05
NaN,1,3000,"8e907",6,NaN,0
NaN,1,3000,"8e907",7,NaN,0
NaN,1,3000,"8e907",8,0,7.04106236894629e-05
NaN,1,3000,"8e907",1,0,2.75770974393682e-05
NaN,1,3000,"8e907",2,0,1.51020293025003e-05
NaN,1,3000,"8e907",3,0,7.7995988774463e-06
NaN,1,3000,"8e907",4,0,2.04200773733754e-05
9.62385375095174e-05,1,3000,"8e907",5,9.5040592865674e-05,4.49410158837727e-05
NaN,1,3000,"8e907",6,NaN,0
NaN,1,3000,"8e907",7,NaN,0
NaN,1,3000,"8e907",8,0,4.16783418850451e-05
NaN,1,3000,"8e907",1,0,5.05140355398935e-05
NaN,1,3000,"8e907",2,0,4.74209224950341e-05
NaN,1,3000,"8e907",3,0,9.94212165021462e-06
4.21178593555358e-05,1,3000,"8e907",4,0,2.26177530606601e-05
0.000249775941689842,1,3000,"8e907",5,0.000152844616487386,0.000134248233554657
NaN,1,3000,"8e907",6,NaN,0
NaN,1,3000,"8e907",7,NaN,0
NaN,1,3000,"8e907",8,0,9.43100448585979e-06
NaN,1,3000,"8e907",1,0,7.19099724806657e-06
NaN,1,3000,"8e907",2,0,5.99336135927472e-06
NaN,1,3000,"8e907",3,0,1.78731334624103e-05
NaN,1,3000,"8e907",4,0,6.71411307272553e-05
0.00016942739489806,1,3000,"8e907",5,5.0715747286993e-05,6.64869493468153e-05
NaN,1,3000,"8e907",6,NaN,0
NaN,1,3000,"8e907",7,NaN,0
NaN,1,3000,"8e907",8,0,2.07370316909807e-05
NaN,1,3000,"8e907",1,0,1.73660979718731e-05
NaN,1,3000,"8e907",2,0,1.05062572613007e-05
NaN,1,3000,"8e907",3,0,2.28948966165104e-05
NaN,1,3000,"8e907",4,0,4.62813611368265e-05
0.000275382177927048,1,3000,"8e907",5,2.6647291864237e-05,0.000156495752753484
NaN,1,3000,"8e907",6,NaN,0
NaN,1,3000,"8e907",7,NaN,0
NaN,1,3000,"8e907",8,0,1.2949782825899e-05
NaN,1,3000,"8e907",1,0,2.97001228060814e-05
NaN,1,3000,"8e907",2,0,5.84265884897126e-05
NaN,1,3000,"8e907",3,0,7.49920092997431e-05
0.000164272360321677,1,3000,"8e907",4,0,7.68350033012555e-05
0.000206580609269964,1,3000,"8e907",5,0.000135395436126496,0.000105735087408017
NaN,1,3000,"8e907",6,NaN,0
NaN,1,3000,"8e907",7,NaN,0
NaN,1,3000,"8e907",8,0,1.52522850138947e-05
NaN,1,3000,"8e907",1,0,8.39832993181462e-06
NaN,1,3000,"8e907",2,0,3.34872854829569e-05
9.66308716598368e-05,1,3000,"8e907",3,0,3.25318517449321e-05
NaN,1,3000,"8e907",4,0,7.32999286304531e-05
0.000122477465555191,1,3000,"8e907",5,4.00334160592144e-05,7.32583154583705e-05
NaN,1,3000,"8e907",6,NaN,0
NaN,1,3000,"8e907",7,NaN,0
NaN,1,3000,"8e907",8,0,3.10842035994688e-05
NaN,1,3000,"8e907",1,0,1.6582353551479e-05
NaN,1,3000,"8e907",2,0,1.37987462054946e-05
NaN,1,3000,"8e907",3,0,1.50377409069377e-05
7.28331965278788e-05,1,3000,"8e907",4,0,5.71284672973878e-05
0.000189169686766136,1,3000,"8e907",5,0.000178557901471507,0.000134678065490479
NaN,1,3000,"8e907",6,NaN,0
NaN,1,3000,"8e907",7,NaN,0
NaN,1,3000,"8e907",8,0,4.52952595558927e-05
NaN,1,3000,"8e907",1,0,3.29242678877715e-05
NaN,1,3000,"8e907",2,0,2.34144932906581e-05
NaN,1,3000,"8e907",3,0,3.5837572260209e-05
NaN,1,3000,"8e907",4,0,1.99136438820257e-05
0.000203925125034301,1,3000,"8e907",5,0.000160376427655169,0.000120378184277829
NaN,1,3000,"8e907",6,NaN,0
NaN,1,3000,"8e907",7,NaN,0
NaN,1,3000,"8e907",8,0,7.97027968049931e-05
NaN,1,3000,"8e907",1,0,1.03613088418001e-05
NaN,1,3000,"8e907",2,0,6.26023114541277e-05
NaN,1,3000,"8e907",3,0,4.43176420714534e-05
NaN,1,3000,"8e907",4,0,3.89685699972902e-05
NaN,1,3000,"8e907",5,2.04668185213268e-05,2.7890720964651e-05
NaN,1,3000,"8e907",6,NaN,0
NaN,1,3000,"8e907",7,NaN,0
NaN,1,3000,"8e907",8,0,6.77581051093298e-05
NaN,1,3000,"8e907",1,0,3.43548356945362e-05
NaN,1,3000,"8e907",2,0,3.61471023521906e-05
NaN,1,3000,"8e907",3,0,2.79016907884059e-05
0.000149498019487272,1,3000,"8e907",4,0,5.12789691041228e-05
0.000266759543739388,1,3000,"8e907",5,0.00011548478738056,0.00011774906567451
NaN,1,3000,"8e907",6,NaN,0
NaN,1,3000,"8e907",7,NaN,0
NaN,1,3000,"8e907",8,0,1.86952970433235e-05
NaN,1,3000,"8e907",1,0,3.78135028666495e-05
NaN,1,3000,"8e907",2,0,6.00545332096919e-05
NaN,1,3000,"8e907",3,0,8.15612851260429e-05
0.000248268791045928,1,3000,"8e907",4,0,9.63258025803538e-05
0.000257795061228221,1,3000,"8e907",5,3.91467170837108e-05,0.000125642965193305
NaN,1,3000,"8e907",6,NaN,0
NaN,1,3000,"8e907",7,NaN,0
NaN,1,3000,"8e907",8,0,2.3481413229045e-05
NaN,1,3000,"8e907",1,0,3.79415657163376e-05
NaN,1,3000,"8e907",2,0,5.8586465796456e-05
NaN,1,3000,"8e907",3,0,3.9886241184111e-05
0.000236144896283181,1,3000,"8e907",4,0,8.76719703894915e-05
0.000294602993640712,1,3000,"8e907",5,0.000160001004121435,0.000125877745237466
NaN,1,3000,"8e907",6,NaN,0
NaN,1,3000,"8e907",7,NaN,0
NaN,1,3000,"8e907",8,0,2.59872034731118e-05
NaN,1,3000,"8e907",1,0,1.96311817028609e-05
7.20046137199343e-05,1,3000,"8e907",2,0,1.68529661807707e-05
NaN,1,3000,"8e907",3,0,1.01788141850154e-05
NaN,1,3000,"8e907",4,0,6.06270879999965e-05
0.000150822830599118,1,3000,"8e907",5,0.000131191923928177,9.34343441435391e-05
NaN,1,3000,"8e907",6,NaN,0
NaN,1,3000,"8e907",7,NaN,0
NaN,1,3000,"8e907",8,0,2.71605395179379e-05
NaN,1,3000,"8e907",1,0,2.83379688312857e-05
0.000104589609611877,1,3000,"8e907",2,0,4.7196187420762e-05
0.000150023575054951,1,3000,"8e907",3,0,7.24360992664912e-05
0.000113542897161776,1,3000,"8e907",4,0,5.10573228794567e-05
0.000206662442589458,1,3000,"8e907",5,0.000124182648931901,0.000104318190033196
NaN,1,3000,"8e907",6,NaN,0
NaN,1,3000,"8e907",7,NaN,0
1.71217308965451e-05,1,3000,"8e907",8,0,3.16926163898213e-05
NaN,1,3000,"8e907",1,0,4.99439482799547e-05
NaN,1,3000,"8e907",2,0,1.06913784754271e-05
NaN,1,3000,"8e907",3,0,3.72052540944925e-05
NaN,1,3000,"8e907",4,0,3.10870218193958e-05
5.9792081290329e-05,1,3000,"8e907",5,5.02588941883769e-05,2.21664841109406e-05
NaN,1,3000,"8e907",6,NaN,0
NaN,1,3000,"8e907",7,NaN,0
NaN,1,3000,"8e907",8,0,5.12766194925162e-05
NaN,1,3000,"8e907",1,0,0.000100452215683897
0.000104062908114145,1,3000,"8e907",2,0,9.44915865448346e-05
NaN,1,3000,"8e907",3,0,6.43190510572763e-05
NaN,1,3000,"8e907",4,0,6.32078650627454e-05
NaN,1,3000,"8e907",5,3.44805016317209e-05,9.15326511969821e-05
NaN,1,3000,"8e907",6,NaN,0
NaN,1,3000,"8e907",7,NaN,0
NaN,1,3000,"8e907",8,0,3.01679333595817e-05
0.000201541209827981,1,3000,"8e907",1,0,8.27553656455799e-05
6.9223607924214e-05,1,3000,"8e907",2,0,4.21189438694234e-05
7.80554846511813e-05,1,3000,"8e907",3,0,4.01967749287278e-05
NaN,1,3000,"8e907",4,0,1.80303657654713e-05
0.000141268043097314,1,3000,"8e907",5,0.000137264021414277,8.04361822408802e-05
NaN,1,3000,"8e907",6,NaN,0
NaN,1,3000,"8e907",7,NaN,0
NaN,1,3000,"8e907",8,0,8.54956508230632e-06
NaN,1,3000,"8e907",1,0,1.26459650760221e-05
NaN,1,3000,"8e907",2,0,5.86784971706554e-05
NaN,1,3000,"8e907",3,0,5.76741072048132e-05
NaN,1,3000,"8e907",4,0,4.77666085531154e-05
0.00022701320645709,1,3000,"8e907",5,6.82957717715431e-05,9.64546091482477e-05
NaN,1,3000,"8e907",6,NaN,0
NaN,1,3000,"8e907",7,NaN,0
NaN,1,3000,"8e907",8,0,2.64913855628496e-05
NaN,1,3000,"8e907",1,0,5.41736062480538e-05
0.000180973794850365,1,3000,"8e907",2,0,5.46135143076065e-05
0.00011203322015949,1,3000,"8e907",3,0,2.25942964101058e-05
0.000154147499211181,1,3000,"8e907",4,0,3.13011323067101e-05
7.51202877142271e-05,1,3000,"8e907",5,4.73880162304821e-05,4.59607388860722e-05
NaN,1,3000,"8e907",6,NaN,0
NaN,1,3000,"8e907",7,NaN,0
0.000101981663036328,1,3000,"8e907",8,0,3.66779517910792e-05
NaN,1,3000,"8e907",1,0,5.49571682432185e-05
NaN,1,3000,"8e907",2,0,1.85211451721921e-05
1.9329495369544e-05,1,3000,"8e907",3,0,7.68397889859718e-06
2.91876963958142e-05,1,3000,"8e907",4,0,1.21035945367778e-05
0.000137032626440581,1,3000,"8e907",5,7.59360481798944e-05,8.41052473046252e-05
NaN,1,3000,"8e907",6,NaN,0
NaN,1,3000,"8e907",7,NaN,0
NaN,1,3000,"8e907",8,0,1.95156434050267e-05
NaN,1,3000,"8e907",1,0,2.13014340764802e-05
2.44460501982017e-05,1,3000,"8e907",2,0,1.54482509411067e-05
1.15544233698557e-05,1,3000,"8e907",3,0,1.19860895331958e-05
NaN,1,3000,"8e907",4,0,2.42073101563327e-05
0.000217775530239377,1,3000,"8e907",5,8.96667568802076e-05,0.00013314377786608
NaN,1,3000,"8e907",6,NaN,0
NaN,1,3000,"8e907",7,NaN,0
NaN,1,3000,"8e907",8,0,3.01186849152939e-05
NaN,1,3000,"8e907",1,0,3.65293593153567e-05
NaN,1,3000,"8e907",2,0,3.41983954564083e-05
NaN,1,3000,"8e907",3,0,4.36420144756078e-05
NaN,1,3000,"8e907",4,0,5.40670665735209e-05
0.000135830134922155,1,3000,"8e907",5,0.00013461600910944,7.2301884980709e-05
NaN,1,3000,"8e907",6,NaN,0
NaN,1,3000,"8e907",7,NaN,0
NaN,1,3000,"8e907",8,0,1.57996046483049e-05
NaN,1,3000,"8e907",1,0,3.06501198912474e-05
NaN,1,3000,"8e907",2,0,2.74287581254894e-05
NaN,1,3000,"8e907",3,0,3.53401518597403e-05
NaN,1,3000,"8e907",4,0,4.3150528842896e-05
7.04411373995556e-05,1,3000,"8e907",5,6.1802221018141e-05,2.49922230458346e-05
NaN,1,3000,"8e907",6,NaN,0
NaN,1,3000,"8e907",7,NaN,0
NaN,1,3000,"8e907",8,0,3.82168611978406e-05
NaN,1,3000,"8e907",1,0,2.0520464317268e-05
NaN,1,3000,"8e907",2,0,2.30496375142501e-05
3.33721112003654e-05,1,3000,"8e907",3,0,2.03310753487672e-05
NaN,1,3000,"8e907",4,0,3.04528241402252e-05
0.000203947859692415,1,3000,"8e907",5,6.31060642548503e-05,9.11138543188361e-05
NaN,1,3000,"8e907",6,NaN,0
NaN,1,3000,"8e907",7,NaN,0
NaN,1,3000,"8e907",8,0,1.93344664830094e-05
NaN,1,3000,"8e907",1,0,6.62588244787259e-05
NaN,1,3000,"8e907",2,0,0.000102613891746343
5.43226738971946e-05,1,3000,"8e907",3,0,3.46492137910518e-05
9.08245661277836e-05,1,3000,"8e907",4,0,5.01433621895112e-05
