PPvec,blockVec,stimLevelVec,sidVec,chanVec
6.98485144308884e-05,2,3000,"9f852",1
6.62341385633624e-05,2,3000,"9f852",2
8.81859730816582e-05,2,3000,"9f852",3
9.92452309989431e-05,2,3000,"9f852",4
NaN,2,3000,"9f852",5
NaN,2,3000,"9f852",6
0.00010144790145619,2,3000,"9f852",7
5.27924076631176e-05,2,3000,"9f852",8
NaN,2,3000,"9f852",1
NaN,2,3000,"9f852",2
NaN,2,3000,"9f852",3
4.82358388447875e-05,2,3000,"9f852",4
NaN,2,3000,"9f852",5
NaN,2,3000,"9f852",6
2.44941552524452e-05,2,3000,"9f852",7
6.71377277508001e-05,2,3000,"9f852",8
NaN,2,3000,"9f852",1
NaN,2,3000,"9f852",2
3.20772460141086e-05,2,3000,"9f852",3
4.4993300790006e-05,2,3000,"9f852",4
NaN,2,3000,"9f852",5
NaN,2,3000,"9f852",6
3.27278716694735e-05,2,3000,"9f852",7
3.4117676873373e-05,2,3000,"9f852",8
6.22091421601145e-05,2,3000,"9f852",1
5.24791611575251e-05,2,3000,"9f852",2
5.94358712750291e-05,2,3000,"9f852",3
6.43372508750029e-05,2,3000,"9f852",4
NaN,2,3000,"9f852",5
NaN,2,3000,"9f852",6
6.30078708700652e-05,2,3000,"9f852",7
6.35968500064121e-05,2,3000,"9f852",8
NaN,2,3000,"9f852",1
4.96400490643248e-05,2,3000,"9f852",2
5.32387494664118e-05,2,3000,"9f852",3
5.34980102898706e-05,2,3000,"9f852",4
NaN,2,3000,"9f852",5
NaN,2,3000,"9f852",6
4.61418972532175e-05,2,3000,"9f852",7
3.48752175289965e-05,2,3000,"9f852",8
NaN,2,3000,"9f852",1
4.25601530827817e-05,2,3000,"9f852",2
4.75987772049108e-05,2,3000,"9f852",3
5.4712811159812e-05,2,3000,"9f852",4
NaN,2,3000,"9f852",5
NaN,2,3000,"9f852",6
5.58763034955199e-05,2,3000,"9f852",7
0.000180946152921498,2,3000,"9f852",8
4.62869440233279e-05,2,3000,"9f852",1
5.68656433740781e-05,2,3000,"9f852",2
6.04627255473829e-05,2,3000,"9f852",3
6.4027319762797e-05,2,3000,"9f852",4
NaN,2,3000,"9f852",5
NaN,2,3000,"9f852",6
2.70874232330998e-05,2,3000,"9f852",7
2.60645927773608e-05,2,3000,"9f852",8
3.93014298988186e-05,2,3000,"9f852",1
3.41572037251659e-05,2,3000,"9f852",2
4.04647201069218e-05,2,3000,"9f852",3
5.54640166415959e-05,2,3000,"9f852",4
NaN,2,3000,"9f852",5
NaN,2,3000,"9f852",6
2.86946683727e-05,2,3000,"9f852",7
3.12883221199766e-05,2,3000,"9f852",8
2.91905026626189e-05,2,3000,"9f852",1
2.44403048126574e-05,2,3000,"9f852",2
2.74009203054843e-05,2,3000,"9f852",3
3.13212532790588e-05,2,3000,"9f852",4
NaN,2,3000,"9f852",5
NaN,2,3000,"9f852",6
3.67860158130386e-05,2,3000,"9f852",7
2.68793985192816e-05,2,3000,"9f852",8
2.65434378389738e-05,2,3000,"9f852",1
2.54177160903991e-05,2,3000,"9f852",2
2.92858033937125e-05,2,3000,"9f852",3
3.46127717849536e-05,2,3000,"9f852",4
NaN,2,3000,"9f852",5
NaN,2,3000,"9f852",6
3.52238299988717e-05,2,3000,"9f852",7
2.93573249353692e-05,2,3000,"9f852",8
2.73508601226289e-05,2,3000,"9f852",1
2.39309367340575e-05,2,3000,"9f852",2
2.7714298016166e-05,2,3000,"9f852",3
3.12649319716308e-05,2,3000,"9f852",4
NaN,2,3000,"9f852",5
NaN,2,3000,"9f852",6
3.01353613717267e-05,2,3000,"9f852",7
2.61826055793107e-05,2,3000,"9f852",8
6.45737415682606e-05,2,3000,"9f852",1
0.000106462051442711,2,3000,"9f852",2
7.04377970140825e-05,2,3000,"9f852",3
7.91793145007757e-05,2,3000,"9f852",4
NaN,2,3000,"9f852",5
