PPvec,blockVec,stimLevelVec,sidVec,chanVec
2.7733268866362e-05,2,3000,"9f852",1
2.68359992203546e-05,2,3000,"9f852",2
3.4261649350246e-05,2,3000,"9f852",3
6.78906140663902e-05,2,3000,"9f852",4
NaN,2,3000,"9f852",5
NaN,2,3000,"9f852",6
4.19602425710264e-05,2,3000,"9f852",7
3.21990975595381e-05,2,3000,"9f852",8
NaN,2,3000,"9f852",1
NaN,2,3000,"9f852",2
NaN,2,3000,"9f852",3
5.47151908323529e-05,2,3000,"9f852",4
NaN,2,3000,"9f852",5
NaN,2,3000,"9f852",6
5.22771007893819e-05,2,3000,"9f852",7
5.17534571677012e-05,2,3000,"9f852",8
NaN,2,3000,"9f852",1
NaN,2,3000,"9f852",2
4.21870378862032e-05,2,3000,"9f852",3
3.48504240204527e-05,2,3000,"9f852",4
NaN,2,3000,"9f852",5
NaN,2,3000,"9f852",6
2.42180704013392e-05,2,3000,"9f852",7
2.22071141190036e-05,2,3000,"9f852",8
3.76622980904836e-05,2,3000,"9f852",1
3.26161108051967e-05,2,3000,"9f852",2
3.85054247556779e-05,2,3000,"9f852",3
4.24159207910073e-05,2,3000,"9f852",4
NaN,2,3000,"9f852",5
NaN,2,3000,"9f852",6
3.42530561999486e-05,2,3000,"9f852",7
4.81990859221251e-05,2,3000,"9f852",8
NaN,2,3000,"9f852",1
2.13616673089728e-05,2,3000,"9f852",2
2.68946541132141e-05,2,3000,"9f852",3
3.57919532793732e-05,2,3000,"9f852",4
NaN,2,3000,"9f852",5
NaN,2,3000,"9f852",6
4.68253070724772e-05,2,3000,"9f852",7
4.38828238091985e-05,2,3000,"9f852",8
NaN,2,3000,"9f852",1
3.0971604599701e-05,2,3000,"9f852",2
3.51746420637468e-05,2,3000,"9f852",3
3.4787916902645e-05,2,3000,"9f852",4
NaN,2,3000,"9f852",5
NaN,2,3000,"9f852",6
3.75312625231186e-05,2,3000,"9f852",7
4.04970926125992e-05,2,3000,"9f852",8
2.67112592949188e-05,2,3000,"9f852",1
2.3770719005162e-05,2,3000,"9f852",2
2.68794336915839e-05,2,3000,"9f852",3
3.29740499634012e-05,2,3000,"9f852",4
NaN,2,3000,"9f852",5
NaN,2,3000,"9f852",6
2.4264677521706e-05,2,3000,"9f852",7
2.72600876088576e-05,2,3000,"9f852",8
3.30348388136519e-05,2,3000,"9f852",1
2.43840838811158e-05,2,3000,"9f852",2
3.09201219184311e-05,2,3000,"9f852",3
3.80265361654267e-05,2,3000,"9f852",4
NaN,2,3000,"9f852",5
NaN,2,3000,"9f852",6
3.66733176988907e-05,2,3000,"9f852",7
3.37602750402519e-05,2,3000,"9f852",8
2.83489469396895e-05,2,3000,"9f852",1
2.38945957688092e-05,2,3000,"9f852",2
2.99904716902814e-05,2,3000,"9f852",3
3.24413914973771e-05,2,3000,"9f852",4
NaN,2,3000,"9f852",5
NaN,2,3000,"9f852",6
2.86394180701186e-05,2,3000,"9f852",7
2.38004817676815e-05,2,3000,"9f852",8
2.39531184394824e-05,2,3000,"9f852",1
2.34892990737718e-05,2,3000,"9f852",2
2.93916000988749e-05,2,3000,"9f852",3
2.96709145632375e-05,2,3000,"9f852",4
NaN,2,3000,"9f852",5
NaN,2,3000,"9f852",6
3.81601602966771e-05,2,3000,"9f852",7
3.35238517352397e-05,2,3000,"9f852",8
2.96880460720726e-05,2,3000,"9f852",1
2.53619022880393e-05,2,3000,"9f852",2
2.66583181001289e-05,2,3000,"9f852",3
3.02697425029236e-05,2,3000,"9f852",4
NaN,2,3000,"9f852",5
NaN,2,3000,"9f852",6
4.53193663411067e-05,2,3000,"9f852",7
2.06336018142689e-05,2,3000,"9f852",8
2.87112950806572e-05,2,3000,"9f852",1
2.63700720848113e-05,2,3000,"9f852",2
2.78850272871106e-05,2,3000,"9f852",3
3.9208006874068e-05,2,3000,"9f852",4
NaN,2,3000,"9f852",5
NaN,2,3000,"9f852",6
2.31654669740498e-05,2,3000,"9f852",7
3.9186962788934e-05,2,3000,"9f852",8
3.71912072902048e-05,2,3000,"9f852",1
3.20410173246334e-05,2,3000,"9f852",2
2.95443681096849e-05,2,3000,"9f852",3
5.48216501563744e-05,2,3000,"9f852",4
NaN,2,3000,"9f852",5
NaN,2,3000,"9f852",6
2.70566482083775e-05,2,3000,"9f852",7
