PPvec,blockVec,stimLevelVec,sidVec,chanVec,PPfromAvgVec,rmsVec
7.4714283678992e-05,2,3000,"9f852",1,0,3.36056495970953e-05
6.80562273584819e-05,2,3000,"9f852",2,0,2.88544012557967e-05
9.7520506104147e-05,2,3000,"9f852",3,0,4.99557255816272e-05
9.92452309989431e-05,2,3000,"9f852",4,0,6.30114332918617e-05
NaN,2,3000,"9f852",5,NaN,NaN
NaN,2,3000,"9f852",6,NaN,NaN
8.74522869567552e-05,2,3000,"9f852",7,0,3.48209838540261e-05
6.87544046174004e-05,2,3000,"9f852",8,0,2.43971336488565e-05
3.0520404647713e-05,2,3000,"9f852",1,0,1.49941781385743e-05
2.90825133828321e-05,2,3000,"9f852",2,0,2.02489691898556e-05
2.67916293491651e-05,2,3000,"9f852",3,0,1.50004379691956e-05
8.02586500304298e-05,2,3000,"9f852",4,0,2.12205770791912e-05
NaN,2,3000,"9f852",5,NaN,0
NaN,2,3000,"9f852",6,NaN,0
3.43956675060706e-05,2,3000,"9f852",7,0,1.71243202869048e-05
8.24949673129057e-05,2,3000,"9f852",8,0,2.82065282316298e-05
4.41593895326775e-05,2,3000,"9f852",1,0,1.64945883205485e-05
4.61581227056771e-05,2,3000,"9f852",2,0,1.60795633981339e-05
5.42981724477289e-05,2,3000,"9f852",3,0,1.99619102018091e-05
7.51128221295307e-05,2,3000,"9f852",4,0,2.18665492682527e-05
NaN,2,3000,"9f852",5,NaN,0
NaN,2,3000,"9f852",6,NaN,0
4.33671709440522e-05,2,3000,"9f852",7,0,1.76854803884761e-05
3.4117676873373e-05,2,3000,"9f852",8,0,1.70949917548881e-05
0.000103381808651258,2,3000,"9f852",1,0,6.03999590358325e-05
8.74974276156626e-05,2,3000,"9f852",2,0,5.53629978303578e-05
0.000101108024462985,2,3000,"9f852",3,0,6.31765155696256e-05
0.000105962273715877,2,3000,"9f852",4,0,6.88329954568198e-05
NaN,2,3000,"9f852",5,NaN,0
NaN,2,3000,"9f852",6,NaN,0
0.000106027221663491,2,3000,"9f852",7,0,6.32613146064879e-05
0.000107324753976864,2,3000,"9f852",8,0,6.25349641716806e-05
7.98540214922097e-05,2,3000,"9f852",1,0,8.20183089490119e-05
7.93411820000088e-05,2,3000,"9f852",2,0,8.24704829532583e-05
