PPvec,blockVec,stimLevelVec,sidVec,chanVec,PPfromAvgVec,rmsVec
2.52660376789678e-05,2,3000,"9f852",1,0,1.28480951811579e-05
2.85339914765653e-05,2,3000,"9f852",2,0,9.80394547156271e-06
4.60036556708968e-05,2,3000,"9f852",3,0,1.95111381863831e-05
6.09742200687895e-05,2,3000,"9f852",4,0,3.3391902754529e-05
NaN,2,3000,"9f852",5,NaN,NaN
NaN,2,3000,"9f852",6,NaN,NaN
5.28811297839819e-05,2,3000,"9f852",7,0,1.75529881319661e-05
4.92127055976537e-05,2,3000,"9f852",8,0,1.29363216975813e-05
7.86347848341418e-05,2,3000,"9f852",1,0,2.83238369164968e-05
8.31649089211186e-05,2,3000,"9f852",2,0,2.46797666933522e-05
7.89261376995524e-05,2,3000,"9f852",3,0,2.95376394455924e-05
7.74482583553324e-05,2,3000,"9f852",4,0,3.20612386052184e-05
NaN,2,3000,"9f852",5,NaN,0
NaN,2,3000,"9f852",6,NaN,0
0.000100741843168054,2,3000,"9f852",7,0,3.27422894872065e-05
0.000106960535592525,2,3000,"9f852",8,0,3.2532688484715e-05
3.94613223917249e-05,2,3000,"9f852",1,0,1.4710965564836e-05
3.733861227455e-05,2,3000,"9f852",2,0,1.48810327221173e-05
4.49664721951752e-05,2,3000,"9f852",3,0,1.23981525840567e-05
6.30682005372285e-05,2,3000,"9f852",4,0,2.04687438550403e-05
NaN,2,3000,"9f852",5,NaN,0
NaN,2,3000,"9f852",6,NaN,0
2.60652966430016e-05,2,3000,"9f852",7,0,8.85193414776646e-06
2.45066731996082e-05,2,3000,"9f852",8,0,8.15804852223853e-06
5.31625863103439e-05,2,3000,"9f852",1,0,1.3458445853881e-05
5.05365239694067e-05,2,3000,"9f852",2,0,1.39582009423935e-05
6.49044059982402e-05,2,3000,"9f852",3,0,1.94945774474818e-05
8.02510948967101e-05,2,3000,"9f852",4,0,2.35711499309814e-05
NaN,2,3000,"9f852",5,NaN,0
NaN,2,3000,"9f852",6,NaN,0
5.24273437078385e-05,2,3000,"9f852",7,0,1.56837607133965e-05
6.82751504840138e-05,2,3000,"9f852",8,0,2.27940060225503e-05
2.71286092795023e-05,2,3000,"9f852",1,0,8.0900786422589e-06
2.81383749732849e-05,2,3000,"9f852",2,0,7.95862388201072e-06
3.46369811930222e-05,2,3000,"9f852",3,0,8.87096302274825e-06
4.62667590444318e-05,2,3000,"9f852",4,0,1.52479202185699e-05
NaN,2,3000,"9f852",5,NaN,0
NaN,2,3000,"9f852",6,NaN,0
5.28647161545474e-05,2,3000,"9f852",7,0,2.61881941732561e-05
6.32384194833364e-05,2,3000,"9f852",8,0,2.57494817924164e-05
3.54040797427618e-05,2,3000,"9f852",1,0,9.58564555474162e-06
3.74829808825509e-05,2,3000,"9f852",2,0,1.04092655122404e-05
5.38399435266692e-05,2,3000,"9f852",3,0,1.44089164539032e-05
3.4787916902645e-05,2,3000,"9f852",4,0,1.95467749772856e-05
NaN,2,3000,"9f852",5,NaN,0
NaN,2,3000,"9f852",6,NaN,0
3.75312625231186e-05,2,3000,"9f852",7,0,1.15030539855848e-05
5.11649397039649e-05,2,3000,"9f852",8,0,1.46709947487864e-05
6.15733181377708e-05,2,3000,"9f852",1,0,1.59934146562528e-05
6.20851315283045e-05,2,3000,"9f852",2,0,1.57062827290857e-05
6.12644316208999e-05,2,3000,"9f852",3,0,1.59168812295635e-05
7.05912848922004e-05,2,3000,"9f852",4,0,1.79341327028079e-05
NaN,2,3000,"9f852",5,NaN,0
NaN,2,3000,"9f852",6,NaN,0
7.82029643160254e-05,2,3000,"9f852",7,0,2.27243208581256e-05
7.31039630932214e-05,2,3000,"9f852",8,0,1.17008815406341e-05
3.84750036230052e-05,2,3000,"9f852",1,0,1.2764282884373e-05
2.94452833393423e-05,2,3000,"9f852",2,0,1.78723021472424e-05
3.10211341682392e-05,2,3000,"9f852",3,0,1.50261556291287e-05
5.55331450399197e-05,2,3000,"9f852",4,0,2.23992079620988e-05
NaN,2,3000,"9f852",5,NaN,0
NaN,2,3000,"9f852",6,NaN,0
4.28620151835762e-05,2,3000,"9f852",7,0,1.24732382993398e-05
5.79387592530696e-05,2,3000,"9f852",8,0,2.34392324465119e-05
3.61075005318038e-05,2,3000,"9f852",1,0,1.00236215600111e-05
3.12559840081306e-05,2,3000,"9f852",2,0,9.35464533653663e-06
3.67152100931489e-05,2,3000,"9f852",3,0,1.09987915958462e-05
4.28335587562521e-05,2,3000,"9f852",4,0,1.67805480279235e-05
NaN,2,3000,"9f852",5,NaN,0
NaN,2,3000,"9f852",6,NaN,0
4.1232299510279e-05,2,3000,"9f852",7,0,1.20678966926827e-05
2.79517953950697e-05,2,3000,"9f852",8,0,8.57001833305209e-06
3.82064525438402e-05,2,3000,"9f852",1,0,9.46359566093041e-06
3.53972610733026e-05,2,3000,"9f852",2,0,9.366383981844e-06
4.90586700822867e-05,2,3000,"9f852",3,0,1.29730102858982e-05
5.81674361862056e-05,2,3000,"9f852",4,0,1.65712334416877e-05
NaN,2,3000,"9f852",5,NaN,0
NaN,2,3000,"9f852",6,NaN,0
6.16612178342089e-05,2,3000,"9f852",7,0,1.76716505763755e-05
4.42907265529637e-05,2,3000,"9f852",8,0,1.24086010206596e-05
6.46574192600061e-05,2,3000,"9f852",1,0,4.3208479926714e-05
6.95420301132608e-05,2,3000,"9f852",2,0,4.54091131890643e-05
5.83281331940465e-05,2,3000,"9f852",3,0,4.27420991905383e-05
5.98784125230316e-05,2,3000,"9f852",4,0,4.25502774178823e-05
NaN,2,3000,"9f852",5,NaN,0
NaN,2,3000,"9f852",6,NaN,0
0.00010073509219259,2,3000,"9f852",7,0,6.91303025228117e-05
9.74277889498385e-05,2,3000,"9f852",8,0,6.63508752452616e-05
3.99080115438435e-05,2,3000,"9f852",1,0,1.93436692501243e-05
4.80683939471872e-05,2,3000,"9f852",2,0,1.75341522556253e-05
3.47422695136608e-05,2,3000,"9f852",3,0,1.61321217816976e-05
5.57867973635784e-05,2,3000,"9f852",4,0,1.756421902166e-05
NaN,2,3000,"9f852",5,NaN,0
NaN,2,3000,"9f852",6,NaN,0
4.81552138051169e-05,2,3000,"9f852",7,0,1.60052093289743e-05
4.84118361622293e-05,2,3000,"9f852",8,0,2.5303288414519e-05
4.63961987930997e-05,2,3000,"9f852",1,0,1.77920903341531e-05
3.20410173246334e-05,2,3000,"9f852",2,0,1.43551607908286e-05
2.95443681096849e-05,2,3000,"9f852",3,0,1.94596339705175e-05
2.98319646415026e-05,2,3000,"9f852",4,0,2.68875307960713e-05
NaN,2,3000,"9f852",5,NaN,0
NaN,2,3000,"9f852",6,NaN,0
5.78214573911148e-05,2,3000,"9f852",7,0,3.18983747926182e-05
0.000118581498812215,2,3000,"9f852",8,0,4.42649191171487e-05
2.61445307116173e-05,2,3000,"9f852",1,0,9.82790813031496e-06
1.99269754676378e-05,2,3000,"9f852",2,0,8.67198237033718e-06
2.20963893051898e-05,2,3000,"9f852",3,0,1.00663911922295e-05
2.23776862958861e-05,2,3000,"9f852",4,0,1.40801309024345e-05
NaN,2,3000,"9f852",5,NaN,0
NaN,2,3000,"9f852",6,NaN,0
4.08591269220834e-05,2,3000,"9f852",7,0,1.09915156039782e-05
4.14316785989769e-05,2,3000,"9f852",8,0,1.616320909336e-05
4.9986350863386e-05,2,3000,"9f852",1,0,1.75833256406978e-05
2.90808210421909e-05,2,3000,"9f852",2,0,1.17425077366049e-05
3.32521789128283e-05,2,3000,"9f852",3,0,1.35531415934698e-05
2.37252502658213e-05,2,3000,"9f852",4,0,2.16645420687063e-05
NaN,2,3000,"9f852",5,NaN,0
NaN,2,3000,"9f852",6,NaN,0
6.44414923064449e-05,2,3000,"9f852",7,0,2.22146125947332e-05
5.94731659055747e-05,2,3000,"9f852",8,0,2.50170965509233e-05
3.93437149877757e-05,2,3000,"9f852",1,0,1.41587353753478e-05
2.92609472856821e-05,2,3000,"9f852",2,0,1.34708619689382e-05
3.18946220750597e-05,2,3000,"9f852",3,0,1.58585172092908e-05
3.00333891836865e-05,2,3000,"9f852",4,0,2.26235078673775e-05
NaN,2,3000,"9f852",5,NaN,0
NaN,2,3000,"9f852",6,NaN,0
3.61285971070076e-05,2,3000,"9f852",7,0,1.40559390681531e-05
5.01916604582565e-05,2,3000,"9f852",8,0,2.37226678324041e-05
3.92248887527818e-05,2,3000,"9f852",1,0,2.20934533041205e-05
3.2030781741137e-05,2,3000,"9f852",2,0,2.13418364356347e-05
3.9491046162452e-05,2,3000,"9f852",3,0,2.22091001323613e-05
3.98978960464497e-05,2,3000,"9f852",4,0,2.40276777996197e-05
NaN,2,3000,"9f852",5,NaN,0
NaN,2,3000,"9f852",6,NaN,0
3.10687170935165e-05,2,3000,"9f852",7,0,2.83834605312353e-05
5.07949930412508e-05,2,3000,"9f852",8,0,2.64827895772172e-05
3.36350010113188e-05,2,3000,"9f852",1,0,1.30714368607333e-05
3.86749270882118e-05,2,3000,"9f852",2,0,1.05318881896563e-05
3.91206117583224e-05,2,3000,"9f852",3,0,1.2529441263857e-05
5.81978128846232e-05,2,3000,"9f852",4,0,2.40846873565426e-05
NaN,2,3000,"9f852",5,NaN,0
NaN,2,3000,"9f852",6,NaN,0
3.64196628940832e-05,2,3000,"9f852",7,0,1.58242236770143e-05
3.41394586870633e-05,2,3000,"9f852",8,0,1.63523941720617e-05
0.000113086979928353,2,3000,"9f852",1,0,5.83297024155723e-05
0.0001232616782479,2,3000,"9f852",2,0,5.35817655448965e-05
0.000136440600913994,2,3000,"9f852",3,0,5.92702536716041e-05
0.000138862058885343,2,3000,"9f852",4,0,5.7519634060161e-05
NaN,2,3000,"9f852",5,NaN,0
NaN,2,3000,"9f852",6,NaN,0
0.000156522488872498,2,3000,"9f852",7,0,8.20903444071216e-05
0.000128990928331095,2,3000,"9f852",8,0,5.89817397752464e-05
2.24584636707804e-05,2,3000,"9f852",1,0,1.32714346078179e-05
2.31336792130027e-05,2,3000,"9f852",2,0,8.85198544843001e-06
3.15843924330337e-05,2,3000,"9f852",3,0,8.84254077924309e-06
3.88382219150211e-05,2,3000,"9f852",4,0,1.58480200818438e-05
NaN,2,3000,"9f852",5,NaN,0
NaN,2,3000,"9f852",6,NaN,0
4.01135127195275e-05,2,3000,"9f852",7,0,1.38472265567127e-05
3.03206729132171e-05,2,3000,"9f852",8,0,1.47225507075007e-05
4.72880067795198e-05,2,3500,"9f852",1,0,1.25132026873412e-05
3.56901583107923e-05,2,3500,"9f852",2,0,1.05587912935963e-05
4.97898836832435e-05,2,3500,"9f852",3,0,1.4034705508826e-05
9.10629825893638e-05,2,3500,"9f852",4,0,2.45639782537449e-05
NaN,2,3500,"9f852",5,NaN,NaN
NaN,2,3500,"9f852",6,NaN,NaN
3.25055763151508e-05,2,3500,"9f852",7,0,1.64336202745386e-05
6.3653361432596e-05,2,3500,"9f852",8,0,4.06300914062139e-05
3.31389764696501e-05,2,3500,"9f852",1,0,2.45537223040855e-05
3.28744978124513e-05,2,3500,"9f852",2,0,2.12596560458741e-05
3.80043111546492e-05,2,3500,"9f852",3,0,2.59877116501533e-05
6.1301452487377e-05,2,3500,"9f852",4,0,2.63562381297261e-05
NaN,2,3500,"9f852",5,NaN,0
NaN,2,3500,"9f852",6,NaN,0
4.06821787961782e-05,2,3500,"9f852",7,0,3.09869352437538e-05
5.16420360633104e-05,2,3500,"9f852",8,0,3.21490326975249e-05
4.94022969824568e-05,2,3500,"9f852",1,0,1.53284794767728e-05
3.9521867358292e-05,2,3500,"9f852",2,0,1.07355885253001e-05
4.19181021916758e-05,2,3500,"9f852",3,0,1.09887623137125e-05
0.000101974694579266,2,3500,"9f852",4,0,3.1106610355922e-05
NaN,2,3500,"9f852",5,NaN,0
NaN,2,3500,"9f852",6,NaN,0
3.97035011449729e-05,2,3500,"9f852",7,0,1.86928946414727e-05
4.92215962890714e-05,2,3500,"9f852",8,0,2.82658909215407e-05
