PPvec,blockVec,stimLevelVec,sidVec,chanVec
NaN,1,5500,"a23ed",1
NaN,1,5500,"a23ed",2
NaN,1,5500,"a23ed",3
NaN,1,5500,"a23ed",4
NaN,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
4.99175958067521e-05,1,5500,"a23ed",8
NaN,1,5500,"a23ed",1
NaN,1,5500,"a23ed",2
NaN,1,5500,"a23ed",3
7.69942366534568e-06,1,5500,"a23ed",4
1.66717034860265e-05,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
6.66011610993123e-05,1,5500,"a23ed",8
NaN,1,5500,"a23ed",1
NaN,1,5500,"a23ed",2
NaN,1,5500,"a23ed",3
1.70051451825997e-06,1,5500,"a23ed",4
3.39979405639243e-05,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
1.62732931741672e-05,1,5500,"a23ed",8
NaN,1,5500,"a23ed",1
NaN,1,5500,"a23ed",2
NaN,1,5500,"a23ed",3
NaN,1,5500,"a23ed",4
NaN,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
8.3334360853168e-06,1,5500,"a23ed",8
NaN,1,5500,"a23ed",1
NaN,1,5500,"a23ed",2
NaN,1,5500,"a23ed",3
NaN,1,5500,"a23ed",4
0.0001074748249104,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
NaN,1,5500,"a23ed",8
NaN,1,5500,"a23ed",1
NaN,1,5500,"a23ed",2
NaN,1,5500,"a23ed",3
NaN,1,5500,"a23ed",4
2.23674441142459e-05,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
1.89233977315789e-05,1,5500,"a23ed",8
NaN,1,5500,"a23ed",1
7.03853187417314e-06,1,5500,"a23ed",2
NaN,1,5500,"a23ed",3
2.73114165359007e-06,1,5500,"a23ed",4
4.29086238646207e-06,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
2.87103139929021e-05,1,5500,"a23ed",8
NaN,1,5500,"a23ed",1
NaN,1,5500,"a23ed",2
NaN,1,5500,"a23ed",3
NaN,1,5500,"a23ed",4
6.98663073130509e-05,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
NaN,1,5500,"a23ed",8
NaN,1,5500,"a23ed",1
2.35774038888853e-05,1,5500,"a23ed",2
2.33034066289632e-05,1,5500,"a23ed",3
9.08722834678874e-06,1,5500,"a23ed",4
NaN,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
4.60840870725381e-05,1,5500,"a23ed",8
1.59331395936899e-05,1,5500,"a23ed",1
1.2707326083248e-05,1,5500,"a23ed",2
1.53684659542644e-05,1,5500,"a23ed",3
NaN,1,5500,"a23ed",4
NaN,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
NaN,1,5500,"a23ed",8
NaN,1,5500,"a23ed",1
NaN,1,5500,"a23ed",2
NaN,1,5500,"a23ed",3
NaN,1,5500,"a23ed",4
NaN,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
1.49981126928669e-05,1,5500,"a23ed",8
4.3750727580811e-05,1,5500,"a23ed",1
1.80742480668241e-05,1,5500,"a23ed",2
4.27868978472614e-05,1,5500,"a23ed",3
5.71548824695324e-05,1,5500,"a23ed",4
0.000102966690487,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
6.09402058146825e-06,1,5500,"a23ed",8
9.00575704220615e-06,1,5500,"a23ed",1
1.70143197750019e-05,1,5500,"a23ed",2
2.52415679961854e-05,1,5500,"a23ed",3
3.64254516708167e-05,1,5500,"a23ed",4
0.000115556637653884,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
4.92054381060831e-06,1,5500,"a23ed",8
1.38065216094309e-05,1,5500,"a23ed",1
1.80834034103517e-05,1,5500,"a23ed",2
3.07551612455666e-05,1,5500,"a23ed",3
3.90472489806845e-05,1,5500,"a23ed",4
5.66169325005952e-05,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
1.09883598686808e-05,1,5500,"a23ed",8
2.84606360888493e-05,1,5500,"a23ed",1
NaN,1,5500,"a23ed",2
NaN,1,5500,"a23ed",3
5.88388654936627e-05,1,5500,"a23ed",4
0.000109062567290562,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
2.34866229468023e-05,1,5500,"a23ed",8
1.15523592296894e-05,1,5500,"a23ed",1
1.30892568033826e-05,1,5500,"a23ed",2
5.62429993514466e-06,1,5500,"a23ed",3
1.29159565828801e-05,1,5500,"a23ed",4
1.76385362068219e-05,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
6.68022724564075e-05,1,5500,"a23ed",8
1.80005395481812e-05,1,5500,"a23ed",1
1.91637886708836e-05,1,5500,"a23ed",2
2.06874296193009e-05,1,5500,"a23ed",3
1.64119913075404e-05,1,5500,"a23ed",4
NaN,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
4.41873389815713e-05,1,5500,"a23ed",8
1.1738177996735e-05,1,5500,"a23ed",1
NaN,1,5500,"a23ed",2
2.31884492292356e-05,1,5500,"a23ed",3
1.55074589556953e-05,1,5500,"a23ed",4
9.55119986275714e-05,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
2.40402711432645e-05,1,5500,"a23ed",8
1.7949535312351e-05,1,5500,"a23ed",1
2.58089546429797e-05,1,5500,"a23ed",2
