PPvec,blockVec,stimLevelVec,sidVec,chanVec
4.14108789996659e-05,1,5500,"a23ed",1
6.29527265854859e-05,1,5500,"a23ed",2
7.73956909941984e-05,1,5500,"a23ed",3
0.000101305664564717,1,5500,"a23ed",4
NaN,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
6.2108226985148e-05,1,5500,"a23ed",8
NaN,1,5500,"a23ed",1
NaN,1,5500,"a23ed",2
NaN,1,5500,"a23ed",3
1.67105277036931e-05,1,5500,"a23ed",4
1.89607678941669e-05,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
7.84819862063619e-05,1,5500,"a23ed",8
NaN,1,5500,"a23ed",1
NaN,1,5500,"a23ed",2
5.53415738810002e-05,1,5500,"a23ed",3
1.50712222404556e-05,1,5500,"a23ed",4
0.000108443272330501,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
2.9788003702548e-05,1,5500,"a23ed",8
NaN,1,5500,"a23ed",1
6.7332217784279e-05,1,5500,"a23ed",2
1.73326553161007e-05,1,5500,"a23ed",3
2.60023819341758e-05,1,5500,"a23ed",4
0.000100384638043859,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
5.33442939098447e-05,1,5500,"a23ed",8
3.70635044467263e-06,1,5500,"a23ed",1
6.0459220011762e-06,1,5500,"a23ed",2
8.6560665848325e-06,1,5500,"a23ed",3
1.17290618945556e-05,1,5500,"a23ed",4
1.86332841095373e-05,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
2.0593740966701e-05,1,5500,"a23ed",8
NaN,1,5500,"a23ed",1
3.37155047387931e-05,1,5500,"a23ed",2
2.52268243039274e-05,1,5500,"a23ed",3
2.67819099199456e-05,1,5500,"a23ed",4
2.05906141833397e-05,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
1.88907562187423e-05,1,5500,"a23ed",8
NaN,1,5500,"a23ed",1
2.11664736281085e-05,1,5500,"a23ed",2
3.75834139093159e-05,1,5500,"a23ed",3
4.9243686824243e-05,1,5500,"a23ed",4
1.90494562748183e-05,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
1.77747466740705e-05,1,5500,"a23ed",8
0.000107142682305056,1,5500,"a23ed",1
9.71888474120813e-05,1,5500,"a23ed",2
9.38074718602935e-05,1,5500,"a23ed",3
9.51468490528766e-05,1,5500,"a23ed",4
5.53392659361331e-05,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
0.000154186917046345,1,5500,"a23ed",8
5.21468086674849e-06,1,5500,"a23ed",1
2.35774038888853e-05,1,5500,"a23ed",2
2.33034066289632e-05,1,5500,"a23ed",3
1.25057684643694e-05,1,5500,"a23ed",4
1.62660210222277e-05,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
2.12334566795554e-05,1,5500,"a23ed",8
2.21319217932447e-05,1,5500,"a23ed",1
1.81211683729347e-05,1,5500,"a23ed",2
8.24892525966105e-06,1,5500,"a23ed",3
3.64169647936216e-05,1,5500,"a23ed",4
1.36471008816705e-05,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
5.72947857269796e-05,1,5500,"a23ed",8
2.499104725602e-05,1,5500,"a23ed",1
2.81617045200468e-05,1,5500,"a23ed",2
2.56071527087755e-05,1,5500,"a23ed",3
2.19599817280849e-05,1,5500,"a23ed",4
0.000108851497649442,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
2.43113543676951e-05,1,5500,"a23ed",8
2.13052469060878e-05,1,5500,"a23ed",1
1.80742480668241e-05,1,5500,"a23ed",2
1.19049414421456e-05,1,5500,"a23ed",3
1.41071166379271e-05,1,5500,"a23ed",4
1.8893560467657e-05,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
1.94758869761432e-05,1,5500,"a23ed",8
2.39787913168679e-05,1,5500,"a23ed",1
2.03085727616868e-05,1,5500,"a23ed",2
2.52415679961854e-05,1,5500,"a23ed",3
3.64254516708167e-05,1,5500,"a23ed",4
0.000115556637653884,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
6.73347508979139e-05,1,5500,"a23ed",8
1.38065216094309e-05,1,5500,"a23ed",1
1.80834034103517e-05,1,5500,"a23ed",2
2.21499919317859e-05,1,5500,"a23ed",3
3.91916830251715e-05,1,5500,"a23ed",4
0.000146748840811022,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
4.16817901173085e-05,1,5500,"a23ed",8
2.87345188588859e-05,1,5500,"a23ed",1
5.3879942691311e-05,1,5500,"a23ed",2
6.15011030220695e-05,1,5500,"a23ed",3
5.88253033156707e-05,1,5500,"a23ed",4
0.000108921041412202,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
3.6241282498975e-05,1,5500,"a23ed",8
1.51845087066537e-05,1,5500,"a23ed",1
1.84391954855224e-05,1,5500,"a23ed",2
2.20139742910002e-05,1,5500,"a23ed",3
2.0857280153106e-05,1,5500,"a23ed",4
1.37883232376208e-05,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
1.15539267493375e-05,1,5500,"a23ed",8
2.14985774104613e-05,1,5500,"a23ed",1
2.44135563006649e-05,1,5500,"a23ed",2
2.65066834074203e-05,1,5500,"a23ed",3
2.39780002751949e-05,1,5500,"a23ed",4
1.55544881536708e-05,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
4.01761267834278e-05,1,5500,"a23ed",8
1.1738177996735e-05,1,5500,"a23ed",1
1.40924727283097e-05,1,5500,"a23ed",2
2.31884492292356e-05,1,5500,"a23ed",3
4.6604552575548e-05,1,5500,"a23ed",4
0.000173077858801846,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
2.40402711432645e-05,1,5500,"a23ed",8
1.7949535312351e-05,1,5500,"a23ed",1
2.58089546429797e-05,1,5500,"a23ed",2
2.60057683562879e-05,1,5500,"a23ed",3
2.04154734917444e-05,1,5500,"a23ed",4
2.74771761756946e-05,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
1.16375111669995e-05,1,5500,"a23ed",8
4.78700689789915e-05,1,5500,"a23ed",1
4.86779833155506e-05,1,5500,"a23ed",2
3.21992989205621e-05,1,5500,"a23ed",3
2.35654020860757e-05,1,5500,"a23ed",4
6.17309731219333e-05,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
1.16504128871737e-05,1,5500,"a23ed",8
3.20719400227318e-05,1,5500,"a23ed",1
4.13563772102389e-05,1,5500,"a23ed",2
6.33003714916305e-06,1,5500,"a23ed",3
9.62616322518315e-06,1,5500,"a23ed",4
7.06406718898028e-05,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
2.52651836737211e-05,1,5500,"a23ed",8
4.31700589889931e-06,1,5500,"a23ed",1
7.2106053419211e-06,1,5500,"a23ed",2
8.30926897913274e-06,1,5500,"a23ed",3
1.49316673814188e-05,1,5500,"a23ed",4
4.59682642202926e-05,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
7.03428434380112e-05,1,5500,"a23ed",8
4.65428982069624e-06,1,5500,"a23ed",1
6.6481716032633e-06,1,5500,"a23ed",2
8.89480820499625e-06,1,5500,"a23ed",3
8.78402780255912e-05,1,5500,"a23ed",4
0.000235986574037199,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
2.91979267687549e-05,1,5500,"a23ed",8
1.73102371277611e-05,1,5500,"a23ed",1
1.91288313333722e-05,1,5500,"a23ed",2
2.53543944588635e-05,1,5500,"a23ed",3
2.94615009663874e-05,1,5500,"a23ed",4
7.16181462326798e-05,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
4.43686336310471e-05,1,5500,"a23ed",8
4.73589650180696e-05,1,5500,"a23ed",1
6.54216432726861e-05,1,5500,"a23ed",2
5.64086477337275e-05,1,5500,"a23ed",3
4.19732784305836e-05,1,5500,"a23ed",4
7.13764986526056e-05,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
2.8755851208315e-05,1,5500,"a23ed",8
1.1845189287921e-05,1,5500,"a23ed",1
1.247147561486e-05,1,5500,"a23ed",2
2.96289812450108e-05,1,5500,"a23ed",3
1.7696208940807e-05,1,5500,"a23ed",4
2.60708860154297e-05,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
1.14975318305744e-05,1,5500,"a23ed",8
1.30480324843059e-05,1,5500,"a23ed",1
