PPvec,blockVec,stimLevelVec,sidVec,chanVec
NaN,1,5500,"a23ed",1
NaN,1,5500,"a23ed",2
NaN,1,5500,"a23ed",3
NaN,1,5500,"a23ed",4
4.47136988114002e-06,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
4.55787437520072e-05,1,5500,"a23ed",8
NaN,1,5500,"a23ed",1
NaN,1,5500,"a23ed",2
NaN,1,5500,"a23ed",3
1.79136646311627e-06,1,5500,"a23ed",4
1.92409984415047e-05,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
2.19211768258192e-06,1,5500,"a23ed",8
NaN,1,5500,"a23ed",1
NaN,1,5500,"a23ed",2
7.44011439812641e-06,1,5500,"a23ed",3
8.8419662433835e-06,1,5500,"a23ed",4
2.50380121451488e-05,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
NaN,1,5500,"a23ed",8
NaN,1,5500,"a23ed",1
NaN,1,5500,"a23ed",2
NaN,1,5500,"a23ed",3
NaN,1,5500,"a23ed",4
7.23480101121204e-05,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
2.35983182515874e-05,1,5500,"a23ed",8
1.49862142120235e-05,1,5500,"a23ed",1
2.20563981104248e-05,1,5500,"a23ed",2
3.41917586063988e-05,1,5500,"a23ed",3
4.347060130094e-05,1,5500,"a23ed",4
0.000120876800748887,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
6.13609598250215e-06,1,5500,"a23ed",8
NaN,1,5500,"a23ed",1
1.3429841858681e-05,1,5500,"a23ed",2
2.53216013752345e-06,1,5500,"a23ed",3
NaN,1,5500,"a23ed",4
3.34379350675177e-05,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
NaN,1,5500,"a23ed",8
NaN,1,5500,"a23ed",1
NaN,1,5500,"a23ed",2
NaN,1,5500,"a23ed",3
NaN,1,5500,"a23ed",4
NaN,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
5.68147244600084e-05,1,5500,"a23ed",8
NaN,1,5500,"a23ed",1
6.32214142324301e-06,1,5500,"a23ed",2
1.0407479901198e-05,1,5500,"a23ed",3
1.93558787287221e-05,1,5500,"a23ed",4
7.24493152151398e-05,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
1.91803166239413e-05,1,5500,"a23ed",8
1.51748348864448e-05,1,5500,"a23ed",1
2.01424231030182e-05,1,5500,"a23ed",2
7.14555947506198e-06,1,5500,"a23ed",3
2.5052074779283e-05,1,5500,"a23ed",4
2.7142622007039e-05,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
3.08124889915711e-05,1,5500,"a23ed",8
9.88383772540814e-06,1,5500,"a23ed",1
9.4592410752002e-06,1,5500,"a23ed",2
8.25260193367402e-06,1,5500,"a23ed",3
1.53958947110271e-05,1,5500,"a23ed",4
NaN,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
3.58674410075861e-05,1,5500,"a23ed",8
1.83983141657415e-05,1,5500,"a23ed",1
8.21845033361591e-06,1,5500,"a23ed",2
NaN,1,5500,"a23ed",3
NaN,1,5500,"a23ed",4
5.14767022002301e-06,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
1.56215382653771e-05,1,5500,"a23ed",8
NaN,1,5500,"a23ed",1
NaN,1,5500,"a23ed",2
1.26836825923948e-05,1,5500,"a23ed",3
1.63883989225755e-05,1,5500,"a23ed",4
4.89879984715114e-05,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
NaN,1,5500,"a23ed",8
NaN,1,5500,"a23ed",1
1.50039188450192e-06,1,5500,"a23ed",2
2.01993966987611e-06,1,5500,"a23ed",3
6.47298826322128e-06,1,5500,"a23ed",4
4.33162886780229e-05,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
1.07275514084192e-05,1,5500,"a23ed",8
3.74713144708656e-06,1,5500,"a23ed",1
6.61218189636617e-06,1,5500,"a23ed",2
1.66947264298391e-05,1,5500,"a23ed",3
2.3529115046404e-05,1,5500,"a23ed",4
4.86252731639732e-05,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
6.21601756568202e-06,1,5500,"a23ed",8
2.44978234745915e-05,1,5500,"a23ed",1
5.12662774836169e-06,1,5500,"a23ed",2
9.42175850530262e-06,1,5500,"a23ed",3
5.07406190548279e-05,1,5500,"a23ed",4
0.000114087964591187,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
1.1951647850545e-05,1,5500,"a23ed",8
NaN,1,5500,"a23ed",1
1.11799249624053e-05,1,5500,"a23ed",2
1.03646563215285e-05,1,5500,"a23ed",3
1.79125628737337e-05,1,5500,"a23ed",4
0.000112160202693133,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
9.56493148720821e-06,1,5500,"a23ed",8
6.30288851171945e-06,1,5500,"a23ed",1
NaN,1,5500,"a23ed",2
2.1482016552894e-05,1,5500,"a23ed",3
3.72525900505759e-05,1,5500,"a23ed",4
0.000121746976981595,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
5.30618697352368e-06,1,5500,"a23ed",8
1.66472408061775e-05,1,5500,"a23ed",1
1.98894784732009e-05,1,5500,"a23ed",2
1.96362628057389e-05,1,5500,"a23ed",3
3.01759060813276e-05,1,5500,"a23ed",4
2.1004082915651e-05,1,5500,"a23ed",5
