PPvec,blockVec,stimLevelVec,sidVec,chanVec
2.29578483669524e-05,1,5500,"a23ed",1
2.88768679513962e-05,1,5500,"a23ed",2
3.72185802741422e-05,1,5500,"a23ed",3
5.03667572245771e-05,1,5500,"a23ed",4
1.76901746507976e-05,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
5.44830660569552e-05,1,5500,"a23ed",8
NaN,1,5500,"a23ed",1
NaN,1,5500,"a23ed",2
NaN,1,5500,"a23ed",3
1.62192043608431e-05,1,5500,"a23ed",4
1.66084513545898e-05,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
1.13430364388563e-05,1,5500,"a23ed",8
NaN,1,5500,"a23ed",1
NaN,1,5500,"a23ed",2
1.65982522586364e-05,1,5500,"a23ed",3
1.33076066175195e-05,1,5500,"a23ed",4
1.74510270195946e-05,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
1.13381579380447e-05,1,5500,"a23ed",8
NaN,1,5500,"a23ed",1
7.00470347139068e-06,1,5500,"a23ed",2
6.44399739842042e-06,1,5500,"a23ed",3
5.40828321400328e-05,1,5500,"a23ed",4
1.93171182754937e-05,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
2.36311299402245e-05,1,5500,"a23ed",8
1.84399045249436e-05,1,5500,"a23ed",1
2.20563981104248e-05,1,5500,"a23ed",2
1.39726569009565e-05,1,5500,"a23ed",3
4.347060130094e-05,1,5500,"a23ed",4
0.000120927517314005,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
4.7799917098356e-05,1,5500,"a23ed",8
NaN,1,5500,"a23ed",1
1.88466129544458e-05,1,5500,"a23ed",2
1.82720906234335e-05,1,5500,"a23ed",3
2.84678278512644e-05,1,5500,"a23ed",4
7.95708380498551e-05,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
5.07301846877613e-05,1,5500,"a23ed",8
NaN,1,5500,"a23ed",1
4.15107596911167e-05,1,5500,"a23ed",2
3.31826942102251e-05,1,5500,"a23ed",3
3.21193580923558e-05,1,5500,"a23ed",4
6.05288362762664e-05,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
1.15721705206983e-05,1,5500,"a23ed",8
5.00873629759666e-06,1,5500,"a23ed",1
6.43548371574993e-06,1,5500,"a23ed",2
1.0468923082557e-05,1,5500,"a23ed",3
1.93397297967257e-05,1,5500,"a23ed",4
0.000157998840254917,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
2.19865055682668e-05,1,5500,"a23ed",8
1.51748348864448e-05,1,5500,"a23ed",1
2.01424231030182e-05,1,5500,"a23ed",2
8.8115316988019e-06,1,5500,"a23ed",3
2.5052074779283e-05,1,5500,"a23ed",4
2.19665046603181e-05,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
1.22454288034752e-05,1,5500,"a23ed",8
9.88383772540814e-06,1,5500,"a23ed",1
9.4592410752002e-06,1,5500,"a23ed",2
9.72307138996356e-06,1,5500,"a23ed",3
1.53958947110271e-05,1,5500,"a23ed",4
1.54077306492933e-05,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
1.10402588860617e-05,1,5500,"a23ed",8
2.00341334406618e-05,1,5500,"a23ed",1
2.42390468448559e-05,1,5500,"a23ed",2
3.95986074355085e-05,1,5500,"a23ed",3
5.31292644322575e-05,1,5500,"a23ed",4
1.77287200008278e-05,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
1.50165225754156e-05,1,5500,"a23ed",8
8.87649039647659e-06,1,5500,"a23ed",1
6.80700405108767e-06,1,5500,"a23ed",2
1.22220738098109e-05,1,5500,"a23ed",3
3.18040408702872e-05,1,5500,"a23ed",4
9.51393531882957e-05,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
1.19976761562251e-05,1,5500,"a23ed",8
2.90053480482823e-05,1,5500,"a23ed",1
4.40241357413895e-06,1,5500,"a23ed",2
2.40087721970751e-05,1,5500,"a23ed",3
2.86019576524647e-05,1,5500,"a23ed",4
0.000103857712322647,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
2.45354724539158e-05,1,5500,"a23ed",8
1.63603918131016e-05,1,5500,"a23ed",1
1.45344321600597e-05,1,5500,"a23ed",2
1.66947264298391e-05,1,5500,"a23ed",3
2.3529115046404e-05,1,5500,"a23ed",4
6.48292501327785e-05,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
1.75119042172444e-05,1,5500,"a23ed",8
2.42239539431272e-05,1,5500,"a23ed",1
2.59283651397749e-05,1,5500,"a23ed",2
3.19156652288523e-05,1,5500,"a23ed",3
5.06174102204143e-05,1,5500,"a23ed",4
0.000115191197489706,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
2.55978407336119e-05,1,5500,"a23ed",8
1.87798999308584e-05,1,5500,"a23ed",1
1.7218161655773e-05,1,5500,"a23ed",2
2.35649221124123e-05,1,5500,"a23ed",3
4.02750463368287e-05,1,5500,"a23ed",4
0.00011290048291039,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
4.48984139024539e-05,1,5500,"a23ed",8
6.59374656342718e-06,1,5500,"a23ed",1
2.21069288624702e-05,1,5500,"a23ed",2
1.00332891115628e-05,1,5500,"a23ed",3
3.72674772781817e-05,1,5500,"a23ed",4
0.000123993251991721,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
2.65593620920251e-05,1,5500,"a23ed",8
1.66472408061775e-05,1,5500,"a23ed",1
1.98894784732009e-05,1,5500,"a23ed",2
1.96362628057389e-05,1,5500,"a23ed",3
3.01759060813276e-05,1,5500,"a23ed",4
1.55688960425856e-05,1,5500,"a23ed",5
NaN,1,5500,"a23ed",6
NaN,1,5500,"a23ed",7
1.299451322929e-05,1,5500,"a23ed",8
2.92038976465335e-05,1,6500,"a23ed",1
1.09045546997759e-05,1,6500,"a23ed",2
1.29904856857967e-05,1,6500,"a23ed",3
5.15898411841626e-05,1,6500,"a23ed",4
0.000159563478887407,1,6500,"a23ed",5
NaN,1,6500,"a23ed",6
NaN,1,6500,"a23ed",7
5.21751589669358e-05,1,6500,"a23ed",8
NaN,1,6500,"a23ed",1
NaN,1,6500,"a23ed",2
NaN,1,6500,"a23ed",3
3.8948471054145e-05,1,6500,"a23ed",4
0.000122126994646565,1,6500,"a23ed",5
NaN,1,6500,"a23ed",6
NaN,1,6500,"a23ed",7
3.63689921503771e-05,1,6500,"a23ed",8
NaN,1,6500,"a23ed",1
NaN,1,6500,"a23ed",2
5.19471580709465e-05,1,6500,"a23ed",3
6.66258015326279e-05,1,6500,"a23ed",4
6.60091606619596e-05,1,6500,"a23ed",5
NaN,1,6500,"a23ed",6
NaN,1,6500,"a23ed",7
4.32073380063138e-05,1,6500,"a23ed",8
NaN,1,6500,"a23ed",1
1.69621067937051e-05,1,6500,"a23ed",2
2.0888358273575e-05,1,6500,"a23ed",3
3.2690198465319e-05,1,6500,"a23ed",4
9.48203707705691e-05,1,6500,"a23ed",5
NaN,1,6500,"a23ed",6
NaN,1,6500,"a23ed",7
3.81256889691755e-05,1,6500,"a23ed",8
1.7139493404701e-05,1,6500,"a23ed",1
2.31115606238775e-05,1,6500,"a23ed",2
2.36962691688383e-05,1,6500,"a23ed",3
4.76581720532781e-05,1,6500,"a23ed",4
6.04049412555811e-05,1,6500,"a23ed",5
NaN,1,6500,"a23ed",6
NaN,1,6500,"a23ed",7
3.75241448179428e-05,1,6500,"a23ed",8
NaN,1,6500,"a23ed",1
3.11573659517124e-05,1,6500,"a23ed",2
3.40257304928631e-05,1,6500,"a23ed",3
5.05326518011967e-05,1,6500,"a23ed",4
0.000117432467545672,1,6500,"a23ed",5
NaN,1,6500,"a23ed",6
NaN,1,6500,"a23ed",7
1.73124920112777e-05,1,6500,"a23ed",8
NaN,1,6500,"a23ed",1
1.99835342663447e-05,1,6500,"a23ed",2
1.73076718103754e-05,1,6500,"a23ed",3
3.23220117431375e-05,1,6500,"a23ed",4
0.000152603101642046,1,6500,"a23ed",5
NaN,1,6500,"a23ed",6
NaN,1,6500,"a23ed",7
5.38720437066383e-05,1,6500,"a23ed",8
1.74750265522794e-05,1,6500,"a23ed",1
1.86402328297601e-05,1,6500,"a23ed",2
2.33272733684884e-05,1,6500,"a23ed",3
3.9066421285419e-05,1,6500,"a23ed",4
0.00016004261118001,1,6500,"a23ed",5
NaN,1,6500,"a23ed",6
NaN,1,6500,"a23ed",7
4.38792137233803e-05,1,6500,"a23ed",8
6.10194409644404e-06,1,6500,"a23ed",1
1.26426038635314e-05,1,6500,"a23ed",2
NaN,1,6500,"a23ed",3
2.0290546799019e-05,1,6500,"a23ed",4
