PPvec,blockVec,stimLevelVec,sidVec,chanVec,PPfromAvgVec,rmsVec
NaN,1,5500,"a23ed",1,0,1.49337003422964e-05
NaN,1,5500,"a23ed",2,0,1.73720483657076e-05
NaN,1,5500,"a23ed",3,0,2.07727976352238e-05
NaN,1,5500,"a23ed",4,0,2.76291386695783e-05
NaN,1,5500,"a23ed",5,6.46294600447163e-05,3.75191886521756e-05
NaN,1,5500,"a23ed",6,NaN,NaN
NaN,1,5500,"a23ed",7,NaN,NaN
NaN,1,5500,"a23ed",8,0,3.40166619120306e-05
NaN,1,5500,"a23ed",1,0,4.79892628643828e-05
NaN,1,5500,"a23ed",2,0,4.35919371503925e-05
NaN,1,5500,"a23ed",3,0,2.70148403146856e-05
NaN,1,5500,"a23ed",4,0,8.10191871160569e-06
0.000117353363755039,1,5500,"a23ed",5,8.5618380332696e-06,6.1607413771659e-06
NaN,1,5500,"a23ed",6,NaN,0
NaN,1,5500,"a23ed",7,NaN,0
NaN,1,5500,"a23ed",8,0,3.40489883046906e-05
NaN,1,5500,"a23ed",1,0,1.21749622553894e-05
NaN,1,5500,"a23ed",2,0,1.41771634869592e-05
NaN,1,5500,"a23ed",3,0,1.84466216341748e-05
NaN,1,5500,"a23ed",4,0,2.16426806413407e-05
0.000108443272330501,1,5500,"a23ed",5,0.00010792724815424,4.02385343151048e-05
NaN,1,5500,"a23ed",6,NaN,0
NaN,1,5500,"a23ed",7,NaN,0
NaN,1,5500,"a23ed",8,0,5.78592103237241e-05
NaN,1,5500,"a23ed",1,0,0.000133072063553589
NaN,1,5500,"a23ed",2,0,0.000140035262229958
NaN,1,5500,"a23ed",3,0,0.000146352061531341
NaN,1,5500,"a23ed",4,0,0.000159885214804019
0.00025623180589386,1,5500,"a23ed",5,9.97358310282361e-05,0.000151598116437186
NaN,1,5500,"a23ed",6,NaN,0
NaN,1,5500,"a23ed",7,NaN,0
NaN,1,5500,"a23ed",8,0,6.31886955757742e-05
NaN,1,5500,"a23ed",1,0,9.7891145931658e-05
NaN,1,5500,"a23ed",2,0,9.56227050120939e-05
NaN,1,5500,"a23ed",3,0,0.00010436055404323
NaN,1,5500,"a23ed",4,0,0.000109908753843436
0.000159056097675622,1,5500,"a23ed",5,0.0001003412973722,0.000104837646555908
NaN,1,5500,"a23ed",6,NaN,0
NaN,1,5500,"a23ed",7,NaN,0
NaN,1,5500,"a23ed",8,0,0.000114371720069731
NaN,1,5500,"a23ed",1,0,2.18123941987524e-05
NaN,1,5500,"a23ed",2,0,2.31798197387291e-05
NaN,1,5500,"a23ed",3,0,2.00154142220666e-05
NaN,1,5500,"a23ed",4,0,2.24911779495344e-05
NaN,1,5500,"a23ed",5,2.82499014095299e-05,3.02809924902942e-05
NaN,1,5500,"a23ed",6,NaN,0
NaN,1,5500,"a23ed",7,NaN,0
NaN,1,5500,"a23ed",8,0,1.86998150779033e-05
NaN,1,5500,"a23ed",1,0,2.46471427139644e-05
NaN,1,5500,"a23ed",2,0,1.93612454276173e-05
NaN,1,5500,"a23ed",3,0,1.81297175453523e-05
NaN,1,5500,"a23ed",4,0,1.8437866959202e-05
NaN,1,5500,"a23ed",5,6.97118669495439e-05,3.3161485339771e-05
NaN,1,5500,"a23ed",6,NaN,0
NaN,1,5500,"a23ed",7,NaN,0
NaN,1,5500,"a23ed",8,0,2.74780179717173e-05
NaN,1,5500,"a23ed",1,0,3.79517191461471e-05
NaN,1,5500,"a23ed",2,0,3.32760546566403e-05
NaN,1,5500,"a23ed",3,0,2.85073860596611e-05
NaN,1,5500,"a23ed",4,0,2.80278548800942e-05
NaN,1,5500,"a23ed",5,1.64207331859706e-05,2.42063724631875e-05
NaN,1,5500,"a23ed",6,NaN,0
NaN,1,5500,"a23ed",7,NaN,0
NaN,1,5500,"a23ed",8,0,3.97941279044844e-05
NaN,1,5500,"a23ed",1,0,2.83260318874015e-05
NaN,1,5500,"a23ed",2,0,2.75514650740153e-05
NaN,1,5500,"a23ed",3,0,2.85483370569533e-05
NaN,1,5500,"a23ed",4,0,3.97199927588474e-05
NaN,1,5500,"a23ed",5,4.86602783917702e-05,5.71936943911946e-05
NaN,1,5500,"a23ed",6,NaN,0
NaN,1,5500,"a23ed",7,NaN,0
NaN,1,5500,"a23ed",8,0,3.15928534735278e-05
NaN,1,5500,"a23ed",1,0,1.74133248562188e-05
NaN,1,5500,"a23ed",2,0,1.65629225357716e-05
NaN,1,5500,"a23ed",3,0,1.84931325259626e-05
NaN,1,5500,"a23ed",4,0,1.98192557691942e-05
NaN,1,5500,"a23ed",5,3.12387602953383e-05,2.83243570085555e-05
NaN,1,5500,"a23ed",6,NaN,0
NaN,1,5500,"a23ed",7,NaN,0
5.86700529164284e-05,1,5500,"a23ed",8,0,2.01711563202899e-05
NaN,1,5500,"a23ed",1,0,1.36942249705901e-05
NaN,1,5500,"a23ed",2,0,1.43965418366259e-05
NaN,1,5500,"a23ed",3,0,1.40074949165852e-05
NaN,1,5500,"a23ed",4,0,1.38228392970345e-05
NaN,1,5500,"a23ed",5,5.42141778246299e-05,3.10590628620888e-05
NaN,1,5500,"a23ed",6,NaN,0
NaN,1,5500,"a23ed",7,NaN,0
2.43113543676951e-05,1,5500,"a23ed",8,0,1.5376882375265e-05
NaN,1,5500,"a23ed",1,0,4.39492966191424e-05
NaN,1,5500,"a23ed",2,0,3.41637038640823e-05
2.22316881257142e-05,1,5500,"a23ed",3,0,3.68190620812315e-05
NaN,1,5500,"a23ed",4,0,3.56987669240699e-05
NaN,1,5500,"a23ed",5,0.00010413684361594,4.76015128932381e-05
NaN,1,5500,"a23ed",6,NaN,0
NaN,1,5500,"a23ed",7,NaN,0
0.00011493723662328,1,5500,"a23ed",8,0,5.74845765312304e-05
2.9903567859439e-05,1,5500,"a23ed",1,0,9.05130098757768e-06
2.93893835617649e-05,1,5500,"a23ed",2,0,1.07103591924624e-05
2.52415679961854e-05,1,5500,"a23ed",3,0,1.89829570716365e-05
3.64254516708167e-05,1,5500,"a23ed",4,0,2.19661319424564e-05
0.000115556637653884,1,5500,"a23ed",5,9.47220344194499e-05,4.35076403050089e-05
NaN,1,5500,"a23ed",6,NaN,0
NaN,1,5500,"a23ed",7,NaN,0
NaN,1,5500,"a23ed",8,0,2.8835250528884e-05
NaN,1,5500,"a23ed",1,0,3.11953379888864e-05
NaN,1,5500,"a23ed",2,0,3.07206549957707e-05
4.06635053582294e-05,1,5500,"a23ed",3,0,2.46964546022284e-05
3.91916830251715e-05,1,5500,"a23ed",4,0,1.49510233899459e-05
0.000146748840811022,1,5500,"a23ed",5,0.00014432139027311,4.97535631224307e-05
NaN,1,5500,"a23ed",6,NaN,0
NaN,1,5500,"a23ed",7,NaN,0
4.72423165200811e-05,1,5500,"a23ed",8,0,2.44132064318643e-05
NaN,1,5500,"a23ed",1,0,7.40554804949451e-05
NaN,1,5500,"a23ed",2,0,6.68585793738789e-05
NaN,1,5500,"a23ed",3,0,6.92887356522386e-05
0.000110467856669791,1,5500,"a23ed",4,0,6.62858335182607e-05
0.000112167168708588,1,5500,"a23ed",5,9.05539759981553e-05,6.11310266251656e-05
NaN,1,5500,"a23ed",6,NaN,0
NaN,1,5500,"a23ed",7,NaN,0
NaN,1,5500,"a23ed",8,0,0.000103259450826774
3.27029201295612e-05,1,5500,"a23ed",1,0,1.48417487751662e-05
NaN,1,5500,"a23ed",2,0,1.32052773760271e-05
NaN,1,5500,"a23ed",3,0,1.20823495281825e-05
NaN,1,5500,"a23ed",4,0,1.25427145183582e-05
2.42569593277247e-05,1,5500,"a23ed",5,1.26548923594807e-05,2.35619219790597e-05
NaN,1,5500,"a23ed",6,NaN,0
NaN,1,5500,"a23ed",7,NaN,0
NaN,1,5500,"a23ed",8,0,2.59305857808669e-05
1.50326114097922e-05,1,5500,"a23ed",1,0,1.91139033226342e-05
1.57848048160251e-05,1,5500,"a23ed",2,0,1.84698481967906e-05
1.95296925426271e-05,1,5500,"a23ed",3,0,1.40882474619708e-05
4.79895219402433e-05,1,5500,"a23ed",4,0,9.47362453476282e-06
NaN,1,5500,"a23ed",5,4.97845948217099e-05,2.2624056725e-05
NaN,1,5500,"a23ed",6,NaN,0
NaN,1,5500,"a23ed",7,NaN,0
8.43161801834041e-05,1,5500,"a23ed",8,0,5.36058292215527e-05
NaN,1,5500,"a23ed",1,0,1.14267765022973e-05
NaN,1,5500,"a23ed",2,0,7.51095929375375e-06
2.59898870779238e-05,1,5500,"a23ed",3,0,8.1902413509072e-06
4.6604552575548e-05,1,5500,"a23ed",4,0,1.47647794714878e-05
0.000173077858801846,1,5500,"a23ed",5,0.000172126524639256,5.25210466601131e-05
NaN,1,5500,"a23ed",6,NaN,0
NaN,1,5500,"a23ed",7,NaN,0
5.74838572048313e-05,1,5500,"a23ed",8,0,3.18553720162922e-05
NaN,1,5500,"a23ed",1,0,2.5209556105623e-05
NaN,1,5500,"a23ed",2,0,2.84320795917881e-05
NaN,1,5500,"a23ed",3,0,2.21668694028936e-05
NaN,1,5500,"a23ed",4,0,3.69662601130872e-05
NaN,1,5500,"a23ed",5,3.25606717947309e-05,3.19998037247716e-05
NaN,1,5500,"a23ed",6,NaN,0
NaN,1,5500,"a23ed",7,NaN,0
NaN,1,5500,"a23ed",8,0,2.00130909525765e-05
NaN,1,5500,"a23ed",1,0,6.75207855323847e-05
NaN,1,5500,"a23ed",2,0,7.63395426327898e-05
NaN,1,5500,"a23ed",3,0,7.28652698104604e-05
NaN,1,5500,"a23ed",4,0,6.62741564184376e-05
9.21801404971932e-05,1,5500,"a23ed",5,7.242942466139e-05,7.42519664959639e-05
NaN,1,5500,"a23ed",6,NaN,0
NaN,1,5500,"a23ed",7,NaN,0
1.07127562969625e-05,1,5500,"a23ed",8,0,2.67244958437092e-05
3.82741668139877e-05,1,5500,"a23ed",1,0,2.71079898364468e-05
5.21905614782537e-05,1,5500,"a23ed",2,0,2.20379157610307e-05
4.66762283140996e-05,1,5500,"a23ed",3,0,1.71687755132847e-05
4.86934571270602e-05,1,5500,"a23ed",4,0,1.76902347815999e-05
7.06406718898028e-05,1,5500,"a23ed",5,6.76769661956973e-05,3.06746854470589e-05
NaN,1,5500,"a23ed",6,NaN,0
NaN,1,5500,"a23ed",7,NaN,0
9.51685967847022e-05,1,5500,"a23ed",8,0,2.10609550607869e-05
NaN,1,5500,"a23ed",1,0,4.88934048667689e-05
NaN,1,5500,"a23ed",2,0,4.57162135808514e-05
NaN,1,5500,"a23ed",3,0,4.69805281540635e-05
