PPvec,blockVec,stimLevelVec,sidVec,chanVec,PPfromAvgVec,rmsVec
NaN,1,5500,"a23ed",1,0,1.75489548462879e-05
NaN,1,5500,"a23ed",2,0,1.29777282738138e-05
NaN,1,5500,"a23ed",3,0,9.16303420272997e-06
NaN,1,5500,"a23ed",4,0,1.47601849820663e-05
NaN,1,5500,"a23ed",5,6.03728487440752e-05,2.45523314430396e-05
NaN,1,5500,"a23ed",6,NaN,NaN
NaN,1,5500,"a23ed",7,NaN,NaN
NaN,1,5500,"a23ed",8,0,2.41749017894553e-05
NaN,1,5500,"a23ed",1,0,1.89513943790582e-05
NaN,1,5500,"a23ed",2,0,2.1616621424094e-05
NaN,1,5500,"a23ed",3,0,2.02984257524331e-05
NaN,1,5500,"a23ed",4,0,2.37734147245191e-05
7.65248176970295e-05,1,5500,"a23ed",5,7.61090099366554e-05,3.60192549259247e-05
NaN,1,5500,"a23ed",6,NaN,0
NaN,1,5500,"a23ed",7,NaN,0
NaN,1,5500,"a23ed",8,0,2.26706470278579e-05
NaN,1,5500,"a23ed",1,0,2.3002977562221e-05
NaN,1,5500,"a23ed",2,0,1.93530400394575e-05
NaN,1,5500,"a23ed",3,0,1.63150004420063e-05
NaN,1,5500,"a23ed",4,0,1.82670697111091e-05
NaN,1,5500,"a23ed",5,3.39838040517812e-05,3.23769145534965e-05
NaN,1,5500,"a23ed",6,NaN,0
NaN,1,5500,"a23ed",7,NaN,0
NaN,1,5500,"a23ed",8,0,2.25653990373312e-05
NaN,1,5500,"a23ed",1,0,1.14082608717216e-05
NaN,1,5500,"a23ed",2,0,9.5924813948185e-06
NaN,1,5500,"a23ed",3,0,1.1512520504018e-05
NaN,1,5500,"a23ed",4,0,1.20690064242903e-05
NaN,1,5500,"a23ed",5,6.31965939119695e-05,2.61204653470157e-05
NaN,1,5500,"a23ed",6,NaN,0
NaN,1,5500,"a23ed",7,NaN,0
4.3639794712368e-05,1,5500,"a23ed",8,0,1.89801409976135e-05
NaN,1,5500,"a23ed",1,0,1.38315655349267e-05
4.49252309773042e-05,1,5500,"a23ed",2,0,1.20497590985889e-05
4.6857926014867e-05,1,5500,"a23ed",3,0,1.52745732832398e-05
4.44645477343587e-05,1,5500,"a23ed",4,0,1.8028837489975e-05
0.000120927517314005,1,5500,"a23ed",5,0.000109865800230239,4.12952384368747e-05
NaN,1,5500,"a23ed",6,NaN,0
NaN,1,5500,"a23ed",7,NaN,0
NaN,1,5500,"a23ed",8,0,3.90366961519626e-05
1.75531886539871e-05,1,5500,"a23ed",1,0,8.14355702680485e-06
1.58491546930205e-05,1,5500,"a23ed",2,0,7.33753949106201e-06
NaN,1,5500,"a23ed",3,0,5.19498193926672e-06
1.26991594793358e-05,1,5500,"a23ed",4,0,6.55642847870346e-06
7.95708380498551e-05,1,5500,"a23ed",5,7.81886706068156e-05,2.76683151237093e-05
NaN,1,5500,"a23ed",6,NaN,0
NaN,1,5500,"a23ed",7,NaN,0
2.50935681907796e-05,1,5500,"a23ed",8,0,2.40820383216994e-05
NaN,1,5500,"a23ed",1,0,2.42277520517478e-05
NaN,1,5500,"a23ed",2,0,2.55445542201265e-05
NaN,1,5500,"a23ed",3,0,2.46387425008872e-05
NaN,1,5500,"a23ed",4,0,1.74935753639277e-05
NaN,1,5500,"a23ed",5,5.75556875506061e-05,2.9485830912487e-05
NaN,1,5500,"a23ed",6,NaN,0
NaN,1,5500,"a23ed",7,NaN,0
NaN,1,5500,"a23ed",8,0,2.02109341070013e-05
NaN,1,5500,"a23ed",1,0,2.25980253752809e-05
NaN,1,5500,"a23ed",2,0,2.2923432992072e-05
NaN,1,5500,"a23ed",3,0,2.48139347053336e-05
NaN,1,5500,"a23ed",4,0,3.05449546285422e-05
0.000157998840254917,1,5500,"a23ed",5,0.000153814083829897,5.71996861262485e-05
NaN,1,5500,"a23ed",6,NaN,0
NaN,1,5500,"a23ed",7,NaN,0
NaN,1,5500,"a23ed",8,0,4.6343141292775e-05
NaN,1,5500,"a23ed",1,0,8.57437541761694e-06
NaN,1,5500,"a23ed",2,0,1.0367932419929e-05
NaN,1,5500,"a23ed",3,0,1.25032946980539e-05
NaN,1,5500,"a23ed",4,0,1.1164062109073e-05
NaN,1,5500,"a23ed",5,4.87560851392111e-05,2.6930202835644e-05
NaN,1,5500,"a23ed",6,NaN,0
NaN,1,5500,"a23ed",7,NaN,0
NaN,1,5500,"a23ed",8,0,1.50520853821171e-05
NaN,1,5500,"a23ed",1,0,1.57026477195364e-05
NaN,1,5500,"a23ed",2,0,1.15694672426009e-05
NaN,1,5500,"a23ed",3,0,1.39525455417099e-05
NaN,1,5500,"a23ed",4,0,2.76172742038619e-05
NaN,1,5500,"a23ed",5,5.82970193053931e-05,3.53217452808648e-05
NaN,1,5500,"a23ed",6,NaN,0
NaN,1,5500,"a23ed",7,NaN,0
NaN,1,5500,"a23ed",8,0,3.94391794287226e-05
NaN,1,5500,"a23ed",1,0,2.85078797422e-05
NaN,1,5500,"a23ed",2,0,2.08798505013472e-05
NaN,1,5500,"a23ed",3,0,1.6238387496646e-05
NaN,1,5500,"a23ed",4,0,1.98748155524075e-05
NaN,1,5500,"a23ed",5,6.12209983138185e-05,3.15954029663543e-05
NaN,1,5500,"a23ed",6,NaN,0
NaN,1,5500,"a23ed",7,NaN,0
0.000127121488616318,1,5500,"a23ed",8,0,4.90010753370559e-05
NaN,1,5500,"a23ed",1,0,1.35739623943593e-05
NaN,1,5500,"a23ed",2,0,1.32502182809417e-05
NaN,1,5500,"a23ed",3,0,1.48942268461491e-05
NaN,1,5500,"a23ed",4,0,1.70831937427216e-05
9.51393531882957e-05,1,5500,"a23ed",5,9.44428356491693e-05,3.48775000971818e-05
NaN,1,5500,"a23ed",6,NaN,0
NaN,1,5500,"a23ed",7,NaN,0
5.79240797806064e-05,1,5500,"a23ed",8,0,3.13492097941209e-05
2.48471876648047e-05,1,5500,"a23ed",1,0,2.12918560620001e-05
2.24754823810599e-05,1,5500,"a23ed",2,0,1.95713138378124e-05
2.07325879926657e-05,1,5500,"a23ed",3,0,1.41576785976184e-05
2.61868939758045e-05,1,5500,"a23ed",4,0,9.38243533688956e-06
0.000103857712322647,1,5500,"a23ed",5,0.00010360602232109,3.14478226587856e-05
NaN,1,5500,"a23ed",6,NaN,0
NaN,1,5500,"a23ed",7,NaN,0
NaN,1,5500,"a23ed",8,0,2.44699230187226e-05
NaN,1,5500,"a23ed",1,0,2.70603952567974e-05
NaN,1,5500,"a23ed",2,0,2.61688757916183e-05
NaN,1,5500,"a23ed",3,0,3.08114927653382e-05
NaN,1,5500,"a23ed",4,0,3.96951283561933e-05
NaN,1,5500,"a23ed",5,4.6912600144933e-05,4.86250476059168e-05
NaN,1,5500,"a23ed",6,NaN,0
NaN,1,5500,"a23ed",7,NaN,0
NaN,1,5500,"a23ed",8,0,1.21745019647991e-05
NaN,1,5500,"a23ed",1,0,1.76462925285564e-05
NaN,1,5500,"a23ed",2,0,1.53332642559672e-05
NaN,1,5500,"a23ed",3,0,1.92122442582237e-05
5.06174102204143e-05,1,5500,"a23ed",4,0,1.99731174550775e-05
