PPvec,blockVec,stimLevelVec,sidVec,chanVec
3.96067820277335e-05,2,500,"c963f",1
6.8430460825474e-06,2,500,"c963f",2
1.0635100931833e-06,2,500,"c963f",3
2.90596970247205e-06,2,500,"c963f",4
2.3071510439533e-06,2,500,"c963f",5
6.77770112664067e-06,2,500,"c963f",6
NaN,2,500,"c963f",7
NaN,2,500,"c963f",8
NaN,2,500,"c963f",1
NaN,2,500,"c963f",2
NaN,2,500,"c963f",3
NaN,2,500,"c963f",4
3.19792919365238e-05,2,500,"c963f",5
4.49735137721388e-05,2,500,"c963f",6
NaN,2,500,"c963f",7
NaN,2,500,"c963f",8
NaN,2,500,"c963f",1
NaN,2,500,"c963f",2
1.69344267503289e-05,2,500,"c963f",3
1.44147894285226e-05,2,500,"c963f",4
1.46641462155914e-05,2,500,"c963f",5
2.68204108711001e-05,2,500,"c963f",6
NaN,2,500,"c963f",7
NaN,2,500,"c963f",8
NaN,2,500,"c963f",1
NaN,2,500,"c963f",2
3.97469238928209e-05,2,500,"c963f",3
1.52600108379354e-05,2,500,"c963f",4
3.96832301061095e-05,2,500,"c963f",5
3.90910755755646e-05,2,500,"c963f",6
NaN,2,500,"c963f",7
NaN,2,500,"c963f",8
6.59631896329197e-06,2,500,"c963f",1
1.45862425674926e-05,2,500,"c963f",2
1.78487133816071e-05,2,500,"c963f",3
2.59492015796903e-05,2,500,"c963f",4
4.02803612627617e-06,2,500,"c963f",5
9.3706054322958e-06,2,500,"c963f",6
NaN,2,500,"c963f",7
NaN,2,500,"c963f",8
3.14949204381679e-06,2,500,"c963f",1
3.58074176408741e-06,2,500,"c963f",2
6.19601477479751e-06,2,500,"c963f",3
4.55270522644499e-05,2,500,"c963f",4
5.44767225877915e-05,2,500,"c963f",5
2.9317962062216e-05,2,500,"c963f",6
NaN,2,500,"c963f",7
NaN,2,500,"c963f",8
NaN,2,500,"c963f",1
3.01575064592713e-05,2,500,"c963f",2
9.95422367236789e-05,2,500,"c963f",3
1.7172827174363e-05,2,500,"c963f",4
1.82271140424664e-05,2,500,"c963f",5
1.39105070753255e-05,2,500,"c963f",6
NaN,2,500,"c963f",7
NaN,2,500,"c963f",8
NaN,2,500,"c963f",1
