PPvec,blockVec,stimLevelVec,sidVec,chanVec
1.79456484498279e-05,2,500,"c963f",1
6.75082976139423e-06,2,500,"c963f",2
1.19175673345112e-06,2,500,"c963f",3
1.60757203607366e-05,2,500,"c963f",4
4.02569862064485e-06,2,500,"c963f",5
3.62386328436847e-05,2,500,"c963f",6
NaN,2,500,"c963f",7
NaN,2,500,"c963f",8
NaN,2,500,"c963f",1
NaN,2,500,"c963f",2
NaN,2,500,"c963f",3
NaN,2,500,"c963f",4
3.93032543769611e-05,2,500,"c963f",5
1.00538746663176e-05,2,500,"c963f",6
NaN,2,500,"c963f",7
NaN,2,500,"c963f",8
NaN,2,500,"c963f",1
NaN,2,500,"c963f",2
2.15288007554349e-05,2,500,"c963f",3
1.49595526393036e-05,2,500,"c963f",4
1.40438578444913e-05,2,500,"c963f",5
1.13949811139343e-05,2,500,"c963f",6
NaN,2,500,"c963f",7
NaN,2,500,"c963f",8
NaN,2,500,"c963f",1
NaN,2,500,"c963f",2
3.08005121961207e-05,2,500,"c963f",3
2.50653348397735e-05,2,500,"c963f",4
1.81982889601826e-05,2,500,"c963f",5
2.18813963729601e-05,2,500,"c963f",6
NaN,2,500,"c963f",7
NaN,2,500,"c963f",8
1.00644460776948e-05,2,500,"c963f",1
1.82084276601692e-05,2,500,"c963f",2
2.19429109372824e-05,2,500,"c963f",3
2.40800761137127e-05,2,500,"c963f",4
3.44363473366876e-05,2,500,"c963f",5
1.19291268932388e-05,2,500,"c963f",6
NaN,2,500,"c963f",7
NaN,2,500,"c963f",8
3.30044080070901e-05,2,500,"c963f",1
2.66518206873847e-05,2,500,"c963f",2
2.35753643908763e-05,2,500,"c963f",3
1.08845183322736e-05,2,500,"c963f",4
2.82256262152896e-06,2,500,"c963f",5
9.5580598402203e-06,2,500,"c963f",6
NaN,2,500,"c963f",7
NaN,2,500,"c963f",8
NaN,2,500,"c963f",1
3.44067238473022e-06,2,500,"c963f",2
8.10048632046012e-06,2,500,"c963f",3
1.68860436123192e-05,2,500,"c963f",4
2.35648130673394e-06,2,500,"c963f",5
8.05862095403962e-06,2,500,"c963f",6
NaN,2,500,"c963f",7
NaN,2,500,"c963f",8
NaN,2,500,"c963f",1
6.06633481457887e-06,2,500,"c963f",2
8.8973782843093e-06,2,500,"c963f",3
1.62130517945416e-05,2,500,"c963f",4
2.58975315989986e-05,2,500,"c963f",5
2.30339866132877e-05,2,500,"c963f",6
NaN,2,500,"c963f",7
NaN,2,500,"c963f",8
5.34636248290984e-05,2,500,"c963f",1
3.01147115642475e-05,2,500,"c963f",2
1.39259592289321e-05,2,500,"c963f",3
2.64723181329514e-05,2,500,"c963f",4
2.36316850710529e-05,2,500,"c963f",5
2.48117709754672e-05,2,500,"c963f",6
NaN,2,500,"c963f",7
NaN,2,500,"c963f",8
2.46866448035587e-06,2,1000,"c963f",1
2.26900096070135e-06,2,1000,"c963f",2
3.41591978716623e-06,2,1000,"c963f",3
6.23025425543406e-06,2,1000,"c963f",4
8.2259907273081e-06,2,1000,"c963f",5
2.15637693701143e-05,2,1000,"c963f",6
NaN,2,1000,"c963f",7
NaN,2,1000,"c963f",8
NaN,2,1000,"c963f",1
NaN,2,1000,"c963f",2
NaN,2,1000,"c963f",3
NaN,2,1000,"c963f",4
1.30942572228915e-05,2,1000,"c963f",5
2.4174467593282e-05,2,1000,"c963f",6
NaN,2,1000,"c963f",7
NaN,2,1000,"c963f",8
NaN,2,1000,"c963f",1
