PPvec,blockVec,stimLevelVec,sidVec,chanVec,PPfromAvgVec,rmsVec
NaN,2,500,"c963f",1,0,0.00010700643195483
NaN,2,500,"c963f",2,0,5.50429402912235e-05
NaN,2,500,"c963f",3,0,3.56220204014719e-05
NaN,2,500,"c963f",4,1.82935740193119e-05,7.21618941367009e-05
NaN,2,500,"c963f",5,1.34647300712897e-05,8.70732280757341e-05
NaN,2,500,"c963f",6,3.20132035367853e-05,0.000116286783291524
NaN,2,500,"c963f",7,NaN,NaN
NaN,2,500,"c963f",8,NaN,NaN
NaN,2,500,"c963f",1,0,1.36910813547138e-05
NaN,2,500,"c963f",2,0,8.75049426845725e-06
0.000153900257414531,2,500,"c963f",3,0,4.2743508555179e-05
7.87706725008228e-05,2,500,"c963f",4,1.27061473098219e-05,3.1727972627255e-05
NaN,2,500,"c963f",5,6.76611720123311e-06,1.46841851673219e-05
NaN,2,500,"c963f",6,2.55025121801625e-05,5.00663576648643e-05
NaN,2,500,"c963f",7,NaN,0
NaN,2,500,"c963f",8,NaN,0
NaN,2,500,"c963f",1,0,1.50763287325281e-05
NaN,2,500,"c963f",2,0,1.40919974634908e-05
NaN,2,500,"c963f",3,0,1.65855369571334e-05
NaN,2,500,"c963f",4,1.15084082978637e-05,1.56466783354898e-05
NaN,2,500,"c963f",5,6.77966735010221e-06,1.33812605544081e-05
3.63436859666143e-05,2,500,"c963f",6,2.14016241042838e-05,3.23028848987964e-05
NaN,2,500,"c963f",7,NaN,0
NaN,2,500,"c963f",8,NaN,0
NaN,2,500,"c963f",1,0,7.19167538313748e-05
NaN,2,500,"c963f",2,0,5.07376623818182e-05
NaN,2,500,"c963f",3,0,4.81958253507978e-05
1.73696720706559e-05,2,500,"c963f",4,9.99522974876878e-06,1.43600475661402e-05
3.09907422767098e-05,2,500,"c963f",5,1.08628777374836e-05,2.78072902675113e-05
2.96388795671342e-05,2,500,"c963f",6,2.46571546835868e-05,4.24777385968921e-05
NaN,2,500,"c963f",7,NaN,0
NaN,2,500,"c963f",8,NaN,0
NaN,2,500,"c963f",1,0,4.43094646321296e-05
NaN,2,500,"c963f",2,0,2.99277738784116e-05
NaN,2,500,"c963f",3,0,2.71791040453906e-05
NaN,2,500,"c963f",4,1.7754653090356e-05,3.27309139299767e-05
NaN,2,500,"c963f",5,1.08223197670683e-05,2.98358401471556e-05
NaN,2,500,"c963f",6,2.85922070406041e-05,4.52220549107369e-05
NaN,2,500,"c963f",7,NaN,0
NaN,2,500,"c963f",8,NaN,0
NaN,2,500,"c963f",1,0,7.63692269902068e-05
NaN,2,500,"c963f",2,0,4.5176854679422e-05
NaN,2,500,"c963f",3,0,3.09209615172823e-05
NaN,2,500,"c963f",4,1.88079705269317e-05,3.81231382608214e-05
NaN,2,500,"c963f",5,1.53674479857371e-05,2.61673729667147e-05
NaN,2,500,"c963f",6,2.93197326933306e-05,3.91735038954371e-05
NaN,2,500,"c963f",7,NaN,0
NaN,2,500,"c963f",8,NaN,0
NaN,2,500,"c963f",1,0,0.00011568153168072
NaN,2,500,"c963f",2,0,7.7886564248535e-05
NaN,2,500,"c963f",3,0,3.91019427949551e-05
5.68788202285654e-05,2,500,"c963f",4,1.75253033051462e-05,2.51755738519482e-05
6.72291159634991e-05,2,500,"c963f",5,1.23301583582075e-05,3.11295924026204e-05
NaN,2,500,"c963f",6,2.46569832608053e-05,4.04524316373655e-05
NaN,2,500,"c963f",7,NaN,0
NaN,2,500,"c963f",8,NaN,0
NaN,2,500,"c963f",1,0,3.89476198085757e-05
NaN,2,500,"c963f",2,0,4.84797733998099e-05
NaN,2,500,"c963f",3,0,1.27070167919857e-05
5.96859576936962e-05,2,500,"c963f",4,1.03313153292796e-05,3.03969999308414e-05
7.33679308715174e-05,2,500,"c963f",5,7.97911585436447e-06,3.04053199175955e-05
7.45726924679207e-05,2,500,"c963f",6,2.34204818683568e-05,3.50616318376758e-05
NaN,2,500,"c963f",7,NaN,0
NaN,2,500,"c963f",8,NaN,0
NaN,2,500,"c963f",1,0,4.73751310037228e-05
