PPvec,blockVec,stimLevelVec,sidVec,chanVec,PPfromAvgVec,rmsVec
NaN,2,500,"c963f",1,0,4.33606043393344e-05
NaN,2,500,"c963f",2,0,2.12286879113907e-05
NaN,2,500,"c963f",3,0,2.67482449183168e-05
0.000122945319129624,2,500,"c963f",4,1.41693765423325e-05,2.65894515091476e-05
NaN,2,500,"c963f",5,9.00350487420841e-06,3.17575185856235e-05
NaN,2,500,"c963f",6,2.63057799404105e-05,5.50584614912127e-05
NaN,2,500,"c963f",7,NaN,NaN
NaN,2,500,"c963f",8,NaN,NaN
NaN,2,500,"c963f",1,0,6.33915163222525e-05
NaN,2,500,"c963f",2,0,4.07261977663732e-05
NaN,2,500,"c963f",3,0,3.41989914988357e-05
NaN,2,500,"c963f",4,1.55192844553522e-05,2.5177548006267e-05
NaN,2,500,"c963f",5,1.23508818300963e-05,2.57384464447977e-05
1.00538746663176e-05,2,500,"c963f",6,2.75230314725071e-05,4.18175650149595e-05
NaN,2,500,"c963f",7,NaN,0
NaN,2,500,"c963f",8,NaN,0
6.47381384730604e-05,2,500,"c963f",1,0,3.69898327092148e-05
NaN,2,500,"c963f",2,0,3.40584732956786e-05
NaN,2,500,"c963f",3,0,9.93531464416775e-06
1.48591960750113e-05,2,500,"c963f",4,1.38107525519317e-05,1.48861051780832e-05
1.67700482386791e-05,2,500,"c963f",5,1.06323519823305e-05,1.29497999287823e-05
2.16355832070179e-05,2,500,"c963f",6,2.58613446312322e-05,2.94390538913387e-05
NaN,2,500,"c963f",7,NaN,0
NaN,2,500,"c963f",8,NaN,0
NaN,2,500,"c963f",1,0,7.80032459051497e-06
NaN,2,500,"c963f",2,0,1.41907951987107e-05
NaN,2,500,"c963f",3,0,1.61328057131347e-05
NaN,2,500,"c963f",4,1.73869496296913e-05,2.21628398429165e-05
NaN,2,500,"c963f",5,9.25134724552693e-06,1.99561849776725e-05
NaN,2,500,"c963f",6,2.12074209241197e-05,3.11341854375451e-05
NaN,2,500,"c963f",7,NaN,0
NaN,2,500,"c963f",8,NaN,0
NaN,2,500,"c963f",1,0,2.1444332982573e-05
NaN,2,500,"c963f",2,0,7.98307467249565e-06
NaN,2,500,"c963f",3,0,1.28281320133756e-05
NaN,2,500,"c963f",4,1.76991755010843e-05,1.58627476810304e-05
NaN,2,500,"c963f",5,1.43829180827123e-05,2.241083322596e-05
NaN,2,500,"c963f",6,2.46176661664374e-05,3.31043946407194e-05
NaN,2,500,"c963f",7,NaN,0
NaN,2,500,"c963f",8,NaN,0
4.56210430586579e-05,2,500,"c963f",1,0,2.03713258908335e-05
