PPvec,blockVec,stimLevelVec,sidVec,chanVec
5.5874968693429e-06,5,1500,"e6f3c",1
6.26578652930144e-06,5,1500,"e6f3c",2
1.08150383411181e-05,5,1500,"e6f3c",3
5.0603432337052e-05,5,1500,"e6f3c",4
NaN,5,1500,"e6f3c",5
NaN,5,1500,"e6f3c",6
1.83683985545459e-05,5,1500,"e6f3c",7
1.90636117810018e-05,5,1500,"e6f3c",8
NaN,5,1500,"e6f3c",1
NaN,5,1500,"e6f3c",2
NaN,5,1500,"e6f3c",3
5.38157719197838e-05,5,1500,"e6f3c",4
NaN,5,1500,"e6f3c",5
NaN,5,1500,"e6f3c",6
4.26810507400152e-05,5,1500,"e6f3c",7
3.1347588511627e-05,5,1500,"e6f3c",8
NaN,5,1500,"e6f3c",1
NaN,5,1500,"e6f3c",2
1.87631710083252e-05,5,1500,"e6f3c",3
6.30976935280727e-05,5,1500,"e6f3c",4
NaN,5,1500,"e6f3c",5
NaN,5,1500,"e6f3c",6
2.74814094763669e-05,5,1500,"e6f3c",7
NaN,5,1500,"e6f3c",8
1.92642414304379e-06,5,1500,"e6f3c",1
2.25123812485619e-05,5,1500,"e6f3c",2
3.68563099082863e-06,5,1500,"e6f3c",3
7.48464573019469e-05,5,1500,"e6f3c",4
NaN,5,1500,"e6f3c",5
NaN,5,1500,"e6f3c",6
5.93095061222692e-06,5,1500,"e6f3c",7
2.40682246475834e-05,5,1500,"e6f3c",8
NaN,5,1500,"e6f3c",1
4.48522571125612e-05,5,1500,"e6f3c",2
9.43104990999451e-05,5,1500,"e6f3c",3
0.000199916627008228,5,1500,"e6f3c",4
NaN,5,1500,"e6f3c",5
NaN,5,1500,"e6f3c",6
6.05832306920085e-05,5,1500,"e6f3c",7
2.85773236820093e-05,5,1500,"e6f3c",8
NaN,5,1500,"e6f3c",1
2.46641783111401e-05,5,1500,"e6f3c",2
3.02370701936361e-05,5,1500,"e6f3c",3
5.81486565932236e-05,5,1500,"e6f3c",4
NaN,5,1500,"e6f3c",5
NaN,5,1500,"e6f3c",6
1.64833921109405e-05,5,1500,"e6f3c",7
6.16187401066293e-05,5,1500,"e6f3c",8
1.49482105603256e-05,5,1500,"e6f3c",1
1.13120653908905e-05,5,1500,"e6f3c",2
9.51357095898471e-06,5,1500,"e6f3c",3
5.05686854601863e-05,5,1500,"e6f3c",4
NaN,5,1500,"e6f3c",5
NaN,5,1500,"e6f3c",6
1.29031349085537e-05,5,1500,"e6f3c",7
1.41930913607002e-05,5,1500,"e6f3c",8
0.000111179692265862,5,1500,"e6f3c",1
4.48875972328447e-05,5,1500,"e6f3c",2
3.85552275681255e-05,5,1500,"e6f3c",3
0.000307185765289556,5,1500,"e6f3c",4
