PPvec,blockVec,stimLevelVec,sidVec,chanVec,PPfromAvgVec,rmsVec
NaN,5,1500,"e6f3c",1,0,5.13839565435327e-06
NaN,5,1500,"e6f3c",2,0,7.02538282519867e-06
NaN,5,1500,"e6f3c",3,0,8.00913289309593e-06
5.75570216714028e-05,5,1500,"e6f3c",4,4.47651032618237e-05,1.77556603231865e-05
NaN,5,1500,"e6f3c",5,NaN,NaN
NaN,5,1500,"e6f3c",6,NaN,NaN
1.35655686187904e-05,5,1500,"e6f3c",7,0,1.28903971272744e-05
NaN,5,1500,"e6f3c",8,0,2.09326949525162e-05
NaN,5,1500,"e6f3c",1,0,7.27628952177638e-06
NaN,5,1500,"e6f3c",2,0,6.28888396495678e-06
NaN,5,1500,"e6f3c",3,0,1.34903180892559e-05
7.84138082321602e-05,5,1500,"e6f3c",4,5.21806960995055e-05,2.22865245697863e-05
NaN,5,1500,"e6f3c",5,NaN,0
NaN,5,1500,"e6f3c",6,NaN,0
8.92759448371529e-05,5,1500,"e6f3c",7,0,4.48109526846893e-05
5.59699354712097e-05,5,1500,"e6f3c",8,0,1.79437996046224e-05
9.39787482848595e-05,5,1500,"e6f3c",1,0,4.04115189907565e-05
NaN,5,1500,"e6f3c",2,0,2.56528803700449e-05
NaN,5,1500,"e6f3c",3,0,2.15875933714677e-05
8.42827571868202e-05,5,1500,"e6f3c",4,6.24930636423994e-05,4.06129265872764e-05
NaN,5,1500,"e6f3c",5,NaN,0
NaN,5,1500,"e6f3c",6,NaN,0
2.74814094763669e-05,5,1500,"e6f3c",7,0,1.072997336548e-05
NaN,5,1500,"e6f3c",8,0,1.81263121401262e-05
NaN,5,1500,"e6f3c",1,0,1.95447795831406e-05
NaN,5,1500,"e6f3c",2,0,1.19122841187591e-05
NaN,5,1500,"e6f3c",3,0,1.40293991703066e-05
7.48464573019469e-05,5,1500,"e6f3c",4,6.5011544826874e-05,2.05816552806808e-05
NaN,5,1500,"e6f3c",5,NaN,0
NaN,5,1500,"e6f3c",6,NaN,0
NaN,5,1500,"e6f3c",7,0,1.61336692301902e-05
NaN,5,1500,"e6f3c",8,0,1.44561769671646e-05
NaN,5,1500,"e6f3c",1,0,1.65619192288685e-05
5.50604761166455e-05,5,1500,"e6f3c",2,0,1.89378331494236e-05
9.43104990999452e-05,5,1500,"e6f3c",3,0,2.82429372075008e-05
0.000199916627008228,5,1500,"e6f3c",4,8.92345793810052e-05,8.50241107107117e-05
NaN,5,1500,"e6f3c",5,NaN,0
NaN,5,1500,"e6f3c",6,NaN,0
0.000128145478958696,5,1500,"e6f3c",7,0,4.86375132160371e-05
1.77035672048915e-05,5,1500,"e6f3c",8,0,1.82701780975099e-05
NaN,5,1500,"e6f3c",1,0,7.15385277008984e-06
NaN,5,1500,"e6f3c",2,0,9.44431468611866e-06
3.02370701936361e-05,5,1500,"e6f3c",3,0,1.16858357371334e-05
5.81486565932235e-05,5,1500,"e6f3c",4,5.40397007620876e-05,1.93805115421994e-05
NaN,5,1500,"e6f3c",5,NaN,0
NaN,5,1500,"e6f3c",6,NaN,0
2.97232842241461e-05,5,1500,"e6f3c",7,0,2.12158717731669e-05
0.000106148987842648,5,1500,"e6f3c",8,0,4.45389550581427e-05
NaN,5,1500,"e6f3c",1,0,7.53556045826553e-06
NaN,5,1500,"e6f3c",2,0,7.22824318966378e-06
NaN,5,1500,"e6f3c",3,0,9.87223155063029e-06
5.05686854601862e-05,5,1500,"e6f3c",4,4.82225437267678e-05,1.34106609974662e-05
NaN,5,1500,"e6f3c",5,NaN,0
NaN,5,1500,"e6f3c",6,NaN,0
4.38021288677005e-05,5,1500,"e6f3c",7,0,1.05337579526707e-05
NaN,5,1500,"e6f3c",8,0,6.77246738203688e-06
0.000111179692265862,5,1500,"e6f3c",1,0,4.24572646009561e-05
6.14708329522802e-05,5,1500,"e6f3c",2,0,4.8626058985889e-05
4.8084503357137e-05,5,1500,"e6f3c",3,0,3.31873200213552e-05
0.000307185765289556,5,1500,"e6f3c",4,0.000173943740639899,0.000109073341102001
NaN,5,1500,"e6f3c",5,NaN,0
NaN,5,1500,"e6f3c",6,NaN,0
0.000202756720491671,5,1500,"e6f3c",7,0,6.25567820732389e-05
0.000104254966587652,5,1500,"e6f3c",8,0,4.46029059117621e-05
1.52679176959399e-05,5,1500,"e6f3c",1,0,8.19450941340204e-06
NaN,5,1500,"e6f3c",2,0,1.24331897177824e-05
1.15736738137904e-05,5,1500,"e6f3c",3,0,8.83398960774969e-06
0.000109694658611096,5,1500,"e6f3c",4,7.46333173417662e-05,4.74522904600258e-05
NaN,5,1500,"e6f3c",5,NaN,0
NaN,5,1500,"e6f3c",6,NaN,0
NaN,5,1500,"e6f3c",7,0,9.1768021520304e-05
2.68993225867468e-05,5,1500,"e6f3c",8,0,1.80263481142469e-05
NaN,5,1500,"e6f3c",1,0,6.64418566681292e-06
5.95691795904172e-05,5,1500,"e6f3c",2,0,5.65259019683295e-06
3.37148297798051e-05,5,1500,"e6f3c",3,0,7.63539645432957e-06
3.99519994663e-05,5,1500,"e6f3c",4,3.75605275347924e-05,2.25492454430389e-05
NaN,5,1500,"e6f3c",5,NaN,0
NaN,5,1500,"e6f3c",6,NaN,0
NaN,5,1500,"e6f3c",7,0,1.60464145766869e-05
NaN,5,1500,"e6f3c",8,0,4.04031229110438e-05
NaN,5,1500,"e6f3c",1,0,1.08693604172449e-05
NaN,5,1500,"e6f3c",2,0,1.08993723402521e-05
NaN,5,1500,"e6f3c",3,0,2.0324065061411e-05
3.84331269763059e-05,5,1500,"e6f3c",4,3.70278370656309e-05,1.17665322418062e-05
NaN,5,1500,"e6f3c",5,NaN,0
NaN,5,1500,"e6f3c",6,NaN,0
4.67346108108115e-05,5,1500,"e6f3c",7,0,1.7267570635992e-05
0.000125740619205324,5,1500,"e6f3c",8,0,4.7753162657392e-05
NaN,5,1500,"e6f3c",1,0,1.09086716739603e-05
NaN,5,1500,"e6f3c",2,0,1.09100356123031e-05
NaN,5,1500,"e6f3c",3,0,1.22766470182489e-05
6.6008775773923e-05,5,1500,"e6f3c",4,4.10312594282532e-05,1.96402077110012e-05
NaN,5,1500,"e6f3c",5,NaN,0
NaN,5,1500,"e6f3c",6,NaN,0
2.3765461045075e-05,5,1500,"e6f3c",7,0,1.33557406647364e-05
1.85944059377316e-05,5,1500,"e6f3c",8,0,1.25947304510557e-05
NaN,5,1500,"e6f3c",1,0,8.62002145766319e-06
2.13747529232511e-05,5,1500,"e6f3c",2,0,1.06544074475239e-05
2.65044751157861e-05,5,1500,"e6f3c",3,0,1.43551341073145e-05
5.4945195367601e-05,5,1500,"e6f3c",4,4.7613815967304e-05,1.91782029899041e-05
NaN,5,1500,"e6f3c",5,NaN,0
NaN,5,1500,"e6f3c",6,NaN,0
7.67247832280164e-05,5,1500,"e6f3c",7,0,4.80827443787145e-05
4.22168844267034e-05,5,1500,"e6f3c",8,0,2.05191352880391e-05
NaN,5,1500,"e6f3c",1,0,2.05916561069973e-05
NaN,5,1500,"e6f3c",2,0,2.13887458991544e-05
6.41531040966947e-05,5,1500,"e6f3c",3,0,2.20743684297853e-05
0.000146851789678166,5,1500,"e6f3c",4,0.000141636252115009,7.54734061332667e-05
NaN,5,1500,"e6f3c",5,NaN,0
NaN,5,1500,"e6f3c",6,NaN,0
0.000159903932310891,5,1500,"e6f3c",7,0,7.79307864961228e-05
6.93777007656988e-05,5,1500,"e6f3c",8,0,2.35821144280332e-05
4.11245349270919e-05,5,1500,"e6f3c",1,0,1.15427301133086e-05
NaN,5,1500,"e6f3c",2,0,1.38152635346932e-05
NaN,5,1500,"e6f3c",3,0,1.42654668133076e-05
5.27639375540489e-05,5,1500,"e6f3c",4,4.17573713128349e-05,2.41669865617502e-05
NaN,5,1500,"e6f3c",5,NaN,0
NaN,5,1500,"e6f3c",6,NaN,0
NaN,5,1500,"e6f3c",7,0,1.37976084116818e-05
4.65852609056144e-05,5,1500,"e6f3c",8,0,2.0544657512664e-05
NaN,5,1500,"e6f3c",1,0,8.80486889451504e-06
NaN,5,1500,"e6f3c",2,0,1.06608066519847e-05
NaN,5,1500,"e6f3c",3,0,9.43122526272675e-06
4.87799555146391e-05,5,1500,"e6f3c",4,4.35234993210619e-05,1.52540420595882e-05
NaN,5,1500,"e6f3c",5,NaN,0
NaN,5,1500,"e6f3c",6,NaN,0
NaN,5,1500,"e6f3c",7,0,1.16267493263209e-05
NaN,5,1500,"e6f3c",8,0,1.37354911622871e-05
NaN,5,1500,"e6f3c",1,0,7.93336552842436e-06
NaN,5,1500,"e6f3c",2,0,6.57211432459266e-06
NaN,5,1500,"e6f3c",3,0,6.15778513985119e-06
3.2242810577212e-05,5,1500,"e6f3c",4,2.42367034745777e-05,1.0894475058863e-05
NaN,5,1500,"e6f3c",5,NaN,0
NaN,5,1500,"e6f3c",6,NaN,0
NaN,5,1500,"e6f3c",7,0,1.68901235065006e-05
2.93407127301446e-05,5,1500,"e6f3c",8,0,2.01607504142756e-05
