PPvec,blockVec,stimLevelVec,sidVec,chanVec,PPfromAvgVec,rmsVec
6.04856703719204e-05,5,1500,"e6f3c",1,0,1.5765024139354e-05
NaN,5,1500,"e6f3c",2,0,9.42501161307365e-06
NaN,5,1500,"e6f3c",3,0,6.7103976113171e-06
5.45176606595766e-05,5,1500,"e6f3c",4,5.31462876679096e-05,2.2769826150282e-05
NaN,5,1500,"e6f3c",5,NaN,NaN
NaN,5,1500,"e6f3c",6,NaN,NaN
1.92144490242793e-05,5,1500,"e6f3c",7,0,1.52151579737673e-05
4.10288472350734e-05,5,1500,"e6f3c",8,0,1.66618577113871e-05
NaN,5,1500,"e6f3c",1,0,1.3317792857233e-05
NaN,5,1500,"e6f3c",2,0,1.18436673990046e-05
4.49583185308449e-05,5,1500,"e6f3c",3,0,1.57629381342237e-05
8.27987485447211e-05,5,1500,"e6f3c",4,6.94286083233222e-05,3.02979839860852e-05
NaN,5,1500,"e6f3c",5,NaN,0
NaN,5,1500,"e6f3c",6,NaN,0
4.81190500122993e-05,5,1500,"e6f3c",7,0,1.55721035947999e-05
4.4780848129553e-05,5,1500,"e6f3c",8,0,1.43746455645085e-05
3.70312652478646e-05,5,1500,"e6f3c",1,0,1.47237802666152e-05
1.97075721662894e-05,5,1500,"e6f3c",2,0,1.4254879328975e-05
NaN,5,1500,"e6f3c",3,0,1.16376235301345e-05
0.000116291433176631,5,1500,"e6f3c",4,9.89332005694776e-05,4.79808206473653e-05
NaN,5,1500,"e6f3c",5,NaN,0
NaN,5,1500,"e6f3c",6,NaN,0
5.28380849428377e-05,5,1500,"e6f3c",7,0,2.59546192349858e-05
3.19062072010076e-05,5,1500,"e6f3c",8,0,1.49530346550502e-05
NaN,5,1500,"e6f3c",1,0,3.70198867276065e-06
NaN,5,1500,"e6f3c",2,0,3.41240409333947e-06
NaN,5,1500,"e6f3c",3,0,4.46690921222311e-06
4.26572863658298e-05,5,1500,"e6f3c",4,3.85398746762255e-05,1.48304460208229e-05
NaN,5,1500,"e6f3c",5,NaN,0
NaN,5,1500,"e6f3c",6,NaN,0
NaN,5,1500,"e6f3c",7,0,8.31689822672206e-06
4.91191915310405e-05,5,1500,"e6f3c",8,0,2.74670413320918e-05
NaN,5,1500,"e6f3c",1,0,1.07628048060524e-05
NaN,5,1500,"e6f3c",2,0,1.32336588039212e-05
NaN,5,1500,"e6f3c",3,0,1.29364226602933e-05
7.72825930686046e-05,5,1500,"e6f3c",4,7.70024797983828e-05,2.89694225707316e-05
NaN,5,1500,"e6f3c",5,NaN,0
NaN,5,1500,"e6f3c",6,NaN,0
NaN,5,1500,"e6f3c",7,0,3.67137381227848e-05
NaN,5,1500,"e6f3c",8,0,1.01393756243873e-05
NaN,5,1500,"e6f3c",1,0,1.00924614030697e-05
NaN,5,1500,"e6f3c",2,0,4.26128495893811e-06
NaN,5,1500,"e6f3c",3,0,6.94345657939422e-06
5.82055480278318e-05,5,1500,"e6f3c",4,5.74778340630603e-05,3.26083462756922e-05
NaN,5,1500,"e6f3c",5,NaN,0
NaN,5,1500,"e6f3c",6,NaN,0
2.26506289227916e-05,5,1500,"e6f3c",7,0,9.15198819548501e-06
NaN,5,1500,"e6f3c",8,0,1.47046905542195e-05
NaN,5,1500,"e6f3c",1,0,9.44064013855831e-06
NaN,5,1500,"e6f3c",2,0,1.36467077914858e-05
NaN,5,1500,"e6f3c",3,0,2.05471297554837e-05
5.26695465025321e-05,5,1500,"e6f3c",4,4.31089747250039e-05,1.66473033720812e-05
NaN,5,1500,"e6f3c",5,NaN,0
NaN,5,1500,"e6f3c",6,NaN,0
NaN,5,1500,"e6f3c",7,0,1.15683779222604e-05
1.54922525164331e-05,5,1500,"e6f3c",8,0,6.35428408498313e-06
NaN,5,1500,"e6f3c",1,0,8.41787831326179e-06
NaN,5,1500,"e6f3c",2,0,1.27039351887863e-05
NaN,5,1500,"e6f3c",3,0,1.46227033677868e-05
0.00010890612237266,5,1500,"e6f3c",4,0.00010674019299234,3.63342431927034e-05
NaN,5,1500,"e6f3c",5,NaN,0
NaN,5,1500,"e6f3c",6,NaN,0
5.18132835274091e-05,5,1500,"e6f3c",7,0,3.15079224656773e-05
NaN,5,1500,"e6f3c",8,0,1.32518364391907e-05
NaN,5,1500,"e6f3c",1,0,4.00145444570287e-06
