PPvec,blockVec,stimLevelVec,sidVec,chanVec
1.28240018243198e-05,1,2500,"e9c9b",1
1.27271947334473e-05,1,2500,"e9c9b",2
1.25981810175723e-05,1,2500,"e9c9b",3
1.61015561380193e-05,1,2500,"e9c9b",4
1.78335758566461e-05,1,2500,"e9c9b",5
5.42771932177211e-05,1,2500,"e9c9b",6
NaN,1,2500,"e9c9b",7
NaN,1,2500,"e9c9b",8
NaN,1,2500,"e9c9b",1
NaN,1,2500,"e9c9b",2
NaN,1,2500,"e9c9b",3
NaN,1,2500,"e9c9b",4
1.61650175754066e-05,1,2500,"e9c9b",5
4.52789441863037e-05,1,2500,"e9c9b",6
NaN,1,2500,"e9c9b",7
NaN,1,2500,"e9c9b",8
NaN,1,2500,"e9c9b",1
NaN,1,2500,"e9c9b",2
5.35402464874547e-06,1,2500,"e9c9b",3
6.45433080102999e-06,1,2500,"e9c9b",4
9.32787324130572e-06,1,2500,"e9c9b",5
3.71125364374636e-05,1,2500,"e9c9b",6
NaN,1,2500,"e9c9b",7
NaN,1,2500,"e9c9b",8
NaN,1,2500,"e9c9b",1
NaN,1,2500,"e9c9b",2
9.67422445911271e-05,1,2500,"e9c9b",3
6.14854163797798e-05,1,2500,"e9c9b",4
8.14264424478689e-05,1,2500,"e9c9b",5
0.000145813940449618,1,2500,"e9c9b",6
NaN,1,2500,"e9c9b",7
NaN,1,2500,"e9c9b",8
1.36697553136531e-05,1,2500,"e9c9b",1
9.25962822465048e-06,1,2500,"e9c9b",2
8.89615230613767e-06,1,2500,"e9c9b",3
5.8129262428208e-06,1,2500,"e9c9b",4
1.7239527492665e-05,1,2500,"e9c9b",5
5.60307639344024e-05,1,2500,"e9c9b",6
NaN,1,2500,"e9c9b",7
NaN,1,2500,"e9c9b",8
1.36782843002053e-05,1,2500,"e9c9b",1
7.33224252404521e-06,1,2500,"e9c9b",2
8.09080546268203e-06,1,2500,"e9c9b",3
8.56573164339809e-06,1,2500,"e9c9b",4
1.72330131715144e-05,1,2500,"e9c9b",5
5.31258085728701e-05,1,2500,"e9c9b",6
NaN,1,2500,"e9c9b",7
NaN,1,2500,"e9c9b",8
NaN,1,2500,"e9c9b",1
3.76064861407348e-05,1,2500,"e9c9b",2
6.80863684000974e-05,1,2500,"e9c9b",3
0.000151720181374356,1,2500,"e9c9b",4
9.49219596005004e-05,1,2500,"e9c9b",5
5.63910464136773e-05,1,2500,"e9c9b",6
NaN,1,2500,"e9c9b",7
NaN,1,2500,"e9c9b",8
NaN,1,2500,"e9c9b",1
1.1181198328389e-05,1,2500,"e9c9b",2
1.63810002665342e-05,1,2500,"e9c9b",3
3.54318806596815e-05,1,2500,"e9c9b",4
1.34289197189912e-05,1,2500,"e9c9b",5
4.63518560653157e-05,1,2500,"e9c9b",6
NaN,1,2500,"e9c9b",7
NaN,1,2500,"e9c9b",8
2.11523691174165e-05,1,2500,"e9c9b",1
1.15906223787646e-05,1,2500,"e9c9b",2
1.23425942299271e-05,1,2500,"e9c9b",3
2.15635254080755e-05,1,2500,"e9c9b",4
1.58257060156795e-05,1,2500,"e9c9b",5
3.73435667622618e-05,1,2500,"e9c9b",6
NaN,1,2500,"e9c9b",7
NaN,1,2500,"e9c9b",8
6.95940434961319e-06,1,2500,"e9c9b",1
9.78915453230752e-06,1,2500,"e9c9b",2
4.81672576621471e-06,1,2500,"e9c9b",3
2.23773623594727e-05,1,2500,"e9c9b",4
6.87601176472084e-05,1,2500,"e9c9b",5
0.000132579511235003,1,2500,"e9c9b",6
NaN,1,2500,"e9c9b",7
NaN,1,2500,"e9c9b",8
6.38843170830331e-06,1,2500,"e9c9b",1
5.19375351496704e-06,1,2500,"e9c9b",2
4.92610794941465e-06,1,2500,"e9c9b",3
4.99912033544753e-06,1,2500,"e9c9b",4
1.36503708669699e-05,1,2500,"e9c9b",5
4.52599979272361e-05,1,2500,"e9c9b",6
NaN,1,2500,"e9c9b",7
NaN,1,2500,"e9c9b",8
8.82122091545617e-06,1,2500,"e9c9b",1
9.53530417657932e-06,1,2500,"e9c9b",2
NaN,1,2500,"e9c9b",3
3.08284045438905e-05,1,2500,"e9c9b",4
5.18510368025812e-05,1,2500,"e9c9b",5
0.000126479566723458,1,2500,"e9c9b",6
NaN,1,2500,"e9c9b",7
NaN,1,2500,"e9c9b",8
3.20940470069533e-05,1,2500,"e9c9b",1
2.80099650624637e-05,1,2500,"e9c9b",2
8.7309770796287e-06,1,2500,"e9c9b",3
1.3302658841035e-05,1,2500,"e9c9b",4
1.58633741873876e-05,1,2500,"e9c9b",5
5.15193415203536e-05,1,2500,"e9c9b",6
NaN,1,2500,"e9c9b",7
NaN,1,2500,"e9c9b",8
3.53003404829053e-05,1,2500,"e9c9b",1
3.45245066035436e-05,1,2500,"e9c9b",2
3.91921710958451e-05,1,2500,"e9c9b",3
3.34528622306033e-05,1,2500,"e9c9b",4
1.06801781588859e-05,1,2500,"e9c9b",5
5.22607912209061e-05,1,2500,"e9c9b",6
NaN,1,2500,"e9c9b",7
NaN,1,2500,"e9c9b",8
7.50524121493858e-06,1,2500,"e9c9b",1
9.8914549299154e-06,1,2500,"e9c9b",2
7.24237197151039e-05,1,2500,"e9c9b",3
4.46949517859439e-05,1,2500,"e9c9b",4
6.54245039325542e-05,1,2500,"e9c9b",5
0.000147981395109327,1,2500,"e9c9b",6
NaN,1,2500,"e9c9b",7
NaN,1,2500,"e9c9b",8
2.76793014142486e-05,1,2500,"e9c9b",1
1.94085362236771e-05,1,2500,"e9c9b",2
1.29689843998447e-05,1,2500,"e9c9b",3
2.34023319718754e-05,1,2500,"e9c9b",4
3.82564466969263e-05,1,2500,"e9c9b",5
6.14200357636251e-05,1,2500,"e9c9b",6
NaN,1,2500,"e9c9b",7
NaN,1,2500,"e9c9b",8
1.06359716012612e-05,1,2500,"e9c9b",1
7.14250873235527e-06,1,2500,"e9c9b",2
1.02307289510107e-05,1,2500,"e9c9b",3
1.11433592982397e-05,1,2500,"e9c9b",4
2.46068047553244e-05,1,2500,"e9c9b",5
6.53865924641612e-05,1,2500,"e9c9b",6
NaN,1,2500,"e9c9b",7
NaN,1,2500,"e9c9b",8
7.9504352829238e-06,1,2500,"e9c9b",1
5.66704070339092e-06,1,2500,"e9c9b",2
5.22979003342768e-06,1,2500,"e9c9b",3
4.62379112406442e-06,1,2500,"e9c9b",4
1.39668794773189e-05,1,2500,"e9c9b",5
6.08793948595698e-05,1,2500,"e9c9b",6
NaN,1,2500,"e9c9b",7
NaN,1,2500,"e9c9b",8
3.83627175988873e-05,1,2500,"e9c9b",1
5.29422876489265e-05,1,2500,"e9c9b",2
4.55730953716363e-05,1,2500,"e9c9b",3
NaN,1,2500,"e9c9b",4
0.000108520211279991,1,2500,"e9c9b",5
0.00027611341119215,1,2500,"e9c9b",6
NaN,1,2500,"e9c9b",7
NaN,1,2500,"e9c9b",8
2.35418021337684e-05,1,2500,"e9c9b",1
1.32509687056337e-05,1,2500,"e9c9b",2
2.89554316757031e-05,1,2500,"e9c9b",3
5.32764272970689e-05,1,2500,"e9c9b",4
2.28707551665971e-05,1,2500,"e9c9b",5
4.4091048998252e-05,1,2500,"e9c9b",6
NaN,1,2500,"e9c9b",7
NaN,1,2500,"e9c9b",8
1.80005647295026e-05,1,2500,"e9c9b",1
1.23620585248535e-05,1,2500,"e9c9b",2
2.12956705014968e-05,1,2500,"e9c9b",3
2.33199320044294e-05,1,2500,"e9c9b",4
4.12394974111784e-05,1,2500,"e9c9b",5
8.51051847462442e-05,1,2500,"e9c9b",6
NaN,1,2500,"e9c9b",7
NaN,1,2500,"e9c9b",8
0.00010187210750235,1,2500,"e9c9b",1
5.40631830886971e-05,1,2500,"e9c9b",2
6.89865722200012e-05,1,2500,"e9c9b",3
0.000106770394984415,1,2500,"e9c9b",4
7.3264538910633e-05,1,2500,"e9c9b",5
0.000120108978909027,1,2500,"e9c9b",6
NaN,1,2500,"e9c9b",7
NaN,1,2500,"e9c9b",8
2.61968201628422e-05,1,2500,"e9c9b",1
4.6308170248322e-05,1,2500,"e9c9b",2
2.78222080056774e-05,1,2500,"e9c9b",3
6.31612771590727e-06,1,2500,"e9c9b",4
1.82907722688255e-05,1,2500,"e9c9b",5
3.15122420024255e-05,1,2500,"e9c9b",6
NaN,1,2500,"e9c9b",7
NaN,1,2500,"e9c9b",8
3.80568251303296e-05,1,2500,"e9c9b",1
4.30224621885715e-05,1,2500,"e9c9b",2
4.19785752014251e-05,1,2500,"e9c9b",3
6.10022582363542e-05,1,2500,"e9c9b",4
0.000172642784453172,1,2500,"e9c9b",5
0.000246581465030139,1,2500,"e9c9b",6
NaN,1,2500,"e9c9b",7
NaN,1,2500,"e9c9b",8
9.3582493163198e-06,1,2500,"e9c9b",1
5.46206593356615e-06,1,2500,"e9c9b",2
6.0394230375541e-06,1,2500,"e9c9b",3
3.46362891634279e-06,1,2500,"e9c9b",4
1.37337588874705e-05,1,2500,"e9c9b",5
3.6285375277495e-05,1,2500,"e9c9b",6
NaN,1,2500,"e9c9b",7
NaN,1,2500,"e9c9b",8
1.08596022472294e-05,1,2500,"e9c9b",1
1.61326182481445e-06,1,2500,"e9c9b",2
