PPvec,blockVec,stimLevelVec,sidVec,chanVec
8.10327165993982e-06,1,2500,"e9c9b",1
7.59408665670274e-06,1,2500,"e9c9b",2
3.76970461991641e-06,1,2500,"e9c9b",3
7.37546286602504e-06,1,2500,"e9c9b",4
1.28706566045475e-05,1,2500,"e9c9b",5
4.37512211677148e-05,1,2500,"e9c9b",6
NaN,1,2500,"e9c9b",7
NaN,1,2500,"e9c9b",8
NaN,1,2500,"e9c9b",1
NaN,1,2500,"e9c9b",2
NaN,1,2500,"e9c9b",3
NaN,1,2500,"e9c9b",4
3.74038797868594e-05,1,2500,"e9c9b",5
7.52961378462538e-05,1,2500,"e9c9b",6
NaN,1,2500,"e9c9b",7
NaN,1,2500,"e9c9b",8
NaN,1,2500,"e9c9b",1
NaN,1,2500,"e9c9b",2
2.18776902858398e-05,1,2500,"e9c9b",3
3.26996761680224e-05,1,2500,"e9c9b",4
2.44597190145836e-05,1,2500,"e9c9b",5
4.07090847971776e-05,1,2500,"e9c9b",6
NaN,1,2500,"e9c9b",7
NaN,1,2500,"e9c9b",8
NaN,1,2500,"e9c9b",1
NaN,1,2500,"e9c9b",2
NaN,1,2500,"e9c9b",3
9.6655968025357e-06,1,2500,"e9c9b",4
2.4973524367505e-05,1,2500,"e9c9b",5
6.21715989109131e-05,1,2500,"e9c9b",6
NaN,1,2500,"e9c9b",7
NaN,1,2500,"e9c9b",8
7.15221958237999e-06,1,2500,"e9c9b",1
9.14211877544002e-06,1,2500,"e9c9b",2
1.09354052439668e-05,1,2500,"e9c9b",3
2.54845159842666e-05,1,2500,"e9c9b",4
2.34483212057009e-05,1,2500,"e9c9b",5
8.20592414805035e-05,1,2500,"e9c9b",6
NaN,1,2500,"e9c9b",7
NaN,1,2500,"e9c9b",8
1.14156609761882e-05,1,2500,"e9c9b",1
7.4894027666999e-06,1,2500,"e9c9b",2
6.43277426473283e-06,1,2500,"e9c9b",3
1.39832778612375e-05,1,2500,"e9c9b",4
2.43884517149808e-05,1,2500,"e9c9b",5
6.15095025463419e-05,1,2500,"e9c9b",6
NaN,1,2500,"e9c9b",7
NaN,1,2500,"e9c9b",8
NaN,1,2500,"e9c9b",1
7.92786407184957e-06,1,2500,"e9c9b",2
2.87782095521445e-05,1,2500,"e9c9b",3
4.3998620850005e-05,1,2500,"e9c9b",4
2.72923618102909e-05,1,2500,"e9c9b",5
8.62274104629818e-05,1,2500,"e9c9b",6
NaN,1,2500,"e9c9b",7
NaN,1,2500,"e9c9b",8
NaN,1,2500,"e9c9b",1
1.77162485653098e-05,1,2500,"e9c9b",2
3.63974082046238e-05,1,2500,"e9c9b",3
5.00431535266602e-05,1,2500,"e9c9b",4
7.23590729835608e-05,1,2500,"e9c9b",5
0.0001147696184885,1,2500,"e9c9b",6
NaN,1,2500,"e9c9b",7
NaN,1,2500,"e9c9b",8
1.45038885125943e-05,1,2500,"e9c9b",1
1.30175117199979e-05,1,2500,"e9c9b",2
3.27756629465831e-05,1,2500,"e9c9b",3
4.16418182471707e-05,1,2500,"e9c9b",4
2.75307879478747e-05,1,2500,"e9c9b",5
7.63532957291952e-05,1,2500,"e9c9b",6
NaN,1,2500,"e9c9b",7
NaN,1,2500,"e9c9b",8
NaN,1,2500,"e9c9b",1
1.06826947350369e-05,1,2500,"e9c9b",2
6.25060833678967e-06,1,2500,"e9c9b",3
3.18119112074482e-05,1,2500,"e9c9b",4
3.13394083681918e-05,1,2500,"e9c9b",5
6.85817713123006e-05,1,2500,"e9c9b",6
NaN,1,2500,"e9c9b",7
NaN,1,2500,"e9c9b",8
1.04955157133899e-05,1,2500,"e9c9b",1
1.04002647739931e-05,1,2500,"e9c9b",2
3.32143368767353e-05,1,2500,"e9c9b",3
3.9637899634278e-05,1,2500,"e9c9b",4
2.32926290373328e-05,1,2500,"e9c9b",5
5.20197882027895e-05,1,2500,"e9c9b",6
NaN,1,2500,"e9c9b",7
NaN,1,2500,"e9c9b",8
1.1820634267916e-05,1,2500,"e9c9b",1
6.865311058198e-06,1,2500,"e9c9b",2
1.59715998358009e-05,1,2500,"e9c9b",3
3.21444400032004e-05,1,2500,"e9c9b",4
3.67306658681758e-05,1,2500,"e9c9b",5
6.60520766693894e-05,1,2500,"e9c9b",6
NaN,1,2500,"e9c9b",7
NaN,1,2500,"e9c9b",8
1.59852511726825e-05,1,2500,"e9c9b",1
1.0081968921628e-05,1,2500,"e9c9b",2
1.60478941476183e-05,1,2500,"e9c9b",3
4.12355760310954e-06,1,2500,"e9c9b",4
1.27593818028153e-05,1,2500,"e9c9b",5
