PPvec,blockVec,stimLevelVec,sidVec,chanVec,PPfromAvgVec,rmsVec
NaN,1,2500,"e9c9b",1,0,8.2587725221068e-06
NaN,1,2500,"e9c9b",2,0,4.88345510415153e-06
NaN,1,2500,"e9c9b",3,0,5.33810962378244e-06
1.61015561380193e-05,1,2500,"e9c9b",4,0,5.42568412320634e-06
2.13658078154822e-05,1,2500,"e9c9b",5,0,7.74060547939443e-06
5.42771932177211e-05,1,2500,"e9c9b",6,4.70252711701555e-05,1.43302146097445e-05
NaN,1,2500,"e9c9b",7,NaN,NaN
NaN,1,2500,"e9c9b",8,NaN,NaN
NaN,1,2500,"e9c9b",1,0,2.44684236113097e-05
NaN,1,2500,"e9c9b",2,0,2.14487477762954e-05
NaN,1,2500,"e9c9b",3,0,2.40382472185155e-05
NaN,1,2500,"e9c9b",4,0,1.64576249456259e-05
2.72354113852534e-05,1,2500,"e9c9b",5,0,1.66354371024854e-05
4.52789441863037e-05,1,2500,"e9c9b",6,3.37891105354621e-05,1.84011610203098e-05
NaN,1,2500,"e9c9b",7,NaN,0
NaN,1,2500,"e9c9b",8,NaN,0
NaN,1,2500,"e9c9b",1,0,8.58852082973272e-06
NaN,1,2500,"e9c9b",2,0,9.85227059980556e-06
NaN,1,2500,"e9c9b",3,0,7.70427492642946e-06
NaN,1,2500,"e9c9b",4,0,9.84330692320212e-06
NaN,1,2500,"e9c9b",5,0,6.85915811291016e-06
4.38113405789472e-05,1,2500,"e9c9b",6,3.30483655794047e-05,1.09607927740708e-05
NaN,1,2500,"e9c9b",7,NaN,0
NaN,1,2500,"e9c9b",8,NaN,0
NaN,1,2500,"e9c9b",1,0,7.24497554021731e-06
NaN,1,2500,"e9c9b",2,0,6.0798240649818e-06
9.67422445911271e-05,1,2500,"e9c9b",3,0,4.10565059974235e-05
1.57856229167062e-05,1,2500,"e9c9b",4,0,2.08850534501978e-05
8.14264424478689e-05,1,2500,"e9c9b",5,0,2.57811671941936e-05
0.000145813940449618,1,2500,"e9c9b",6,0.000128631167942748,4.73754772922479e-05
NaN,1,2500,"e9c9b",7,NaN,0
NaN,1,2500,"e9c9b",8,NaN,0
NaN,1,2500,"e9c9b",1,0,1.27125084131877e-05
NaN,1,2500,"e9c9b",2,0,8.41311912240548e-06
NaN,1,2500,"e9c9b",3,0,8.05662899391293e-06
NaN,1,2500,"e9c9b",4,0,4.96818262206434e-06
1.99050807979351e-05,1,2500,"e9c9b",5,0,6.21823864509788e-06
6.1184157063727e-05,1,2500,"e9c9b",6,4.65419294332328e-05,1.55254001074505e-05
NaN,1,2500,"e9c9b",7,NaN,0
NaN,1,2500,"e9c9b",8,NaN,0
NaN,1,2500,"e9c9b",1,0,1.00916311670548e-05
NaN,1,2500,"e9c9b",2,0,9.28260536232151e-06
NaN,1,2500,"e9c9b",3,0,8.32380391865327e-06
NaN,1,2500,"e9c9b",4,0,7.35742423568694e-06
NaN,1,2500,"e9c9b",5,0,8.85758592733745e-06
6.88082306391868e-05,1,2500,"e9c9b",6,4.99100134240152e-05,1.85015395218267e-05
NaN,1,2500,"e9c9b",7,NaN,0
NaN,1,2500,"e9c9b",8,NaN,0
NaN,1,2500,"e9c9b",1,0,1.74725572447822e-05
NaN,1,2500,"e9c9b",2,0,2.15987148106883e-05
NaN,1,2500,"e9c9b",3,0,4.62020507546904e-05
0.000151720181374356,1,2500,"e9c9b",4,0,7.02757955564368e-05
