PPvec,blockVec,stimLevelVec,sidVec,chanVec,PPfromAvgVec,rmsVec
NaN,1,2500,"e9c9b",1,0,1.29725300498673e-05
NaN,1,2500,"e9c9b",2,0,1.06531701314644e-05
NaN,1,2500,"e9c9b",3,0,1.09579669283665e-05
NaN,1,2500,"e9c9b",4,0,8.71394676425092e-06
NaN,1,2500,"e9c9b",5,0,6.83906786706627e-06
4.37512211677148e-05,1,2500,"e9c9b",6,3.79542490950074e-05,1.1298541325164e-05
NaN,1,2500,"e9c9b",7,NaN,NaN
NaN,1,2500,"e9c9b",8,NaN,NaN
NaN,1,2500,"e9c9b",1,0,8.25090040420213e-06
NaN,1,2500,"e9c9b",2,0,7.00072399236724e-06
NaN,1,2500,"e9c9b",3,0,1.78419256585636e-05
NaN,1,2500,"e9c9b",4,0,7.48682365458584e-06
3.74038797868594e-05,1,2500,"e9c9b",5,0,9.61768557951109e-06
7.52961378462539e-05,1,2500,"e9c9b",6,7.50277035999985e-05,1.72589529416941e-05
NaN,1,2500,"e9c9b",7,NaN,0
NaN,1,2500,"e9c9b",8,NaN,0
NaN,1,2500,"e9c9b",1,0,1.4772212696828e-05
NaN,1,2500,"e9c9b",2,0,6.02530682711133e-06
NaN,1,2500,"e9c9b",3,0,9.45323657063685e-06
NaN,1,2500,"e9c9b",4,0,1.43372148249606e-05
NaN,1,2500,"e9c9b",5,0,1.74198161088857e-05
6.59863326589892e-05,1,2500,"e9c9b",6,3.88523969612781e-05,2.1068770653961e-05
NaN,1,2500,"e9c9b",7,NaN,0
NaN,1,2500,"e9c9b",8,NaN,0
NaN,1,2500,"e9c9b",1,0,3.11066461454338e-06
NaN,1,2500,"e9c9b",2,0,4.80239636206141e-06
NaN,1,2500,"e9c9b",3,0,2.21625240486789e-05
1.59404851758342e-05,1,2500,"e9c9b",4,0,1.51269521290194e-05
4.97262898630434e-05,1,2500,"e9c9b",5,0,1.94622383539319e-05
6.24900841388242e-05,1,2500,"e9c9b",6,6.14793330968783e-05,1.71283376687244e-05
NaN,1,2500,"e9c9b",7,NaN,0
NaN,1,2500,"e9c9b",8,NaN,0
NaN,1,2500,"e9c9b",1,0,1.66125096917401e-05
NaN,1,2500,"e9c9b",2,0,6.28681142315765e-06
2.72618631114463e-05,1,2500,"e9c9b",3,0,1.12978783553166e-05
3.31322243031688e-05,1,2500,"e9c9b",4,0,1.25506670146408e-05
3.67530026527159e-05,1,2500,"e9c9b",5,0,1.65439029941863e-05
8.20592414805035e-05,1,2500,"e9c9b",6,8.0680442864797e-05,1.92278696664806e-05
NaN,1,2500,"e9c9b",7,NaN,0
