PPvec,blockVec,stimLevelVec,sidVec,chanVec
NaN,1,3500,"fe7df",1
NaN,1,3500,"fe7df",2
NaN,1,3500,"fe7df",3
NaN,1,3500,"fe7df",4
NaN,1,3500,"fe7df",5
5.49086477774061e-06,1,3500,"fe7df",6
NaN,1,3500,"fe7df",7
NaN,1,3500,"fe7df",8
NaN,1,3500,"fe7df",1
NaN,1,3500,"fe7df",2
NaN,1,3500,"fe7df",3
NaN,1,3500,"fe7df",4
1.14512472462668e-05,1,3500,"fe7df",5
1.79351249244167e-05,1,3500,"fe7df",6
NaN,1,3500,"fe7df",7
NaN,1,3500,"fe7df",8
NaN,1,3500,"fe7df",1
NaN,1,3500,"fe7df",2
2.23196402255856e-05,1,3500,"fe7df",3
1.68331372239369e-05,1,3500,"fe7df",4
1.63274518342851e-05,1,3500,"fe7df",5
1.86972224671531e-05,1,3500,"fe7df",6
NaN,1,3500,"fe7df",7
NaN,1,3500,"fe7df",8
NaN,1,3500,"fe7df",1
NaN,1,3500,"fe7df",2
NaN,1,3500,"fe7df",3
NaN,1,3500,"fe7df",4
NaN,1,3500,"fe7df",5
2.72595862938861e-05,1,3500,"fe7df",6
NaN,1,3500,"fe7df",7
NaN,1,3500,"fe7df",8
1.16212199905073e-05,1,3500,"fe7df",1
2.17133988331459e-05,1,3500,"fe7df",2
NaN,1,3500,"fe7df",3
NaN,1,3500,"fe7df",4
NaN,1,3500,"fe7df",5
2.24540788657166e-05,1,3500,"fe7df",6
NaN,1,3500,"fe7df",7
NaN,1,3500,"fe7df",8
NaN,1,3500,"fe7df",1
NaN,1,3500,"fe7df",2
5.96496302642348e-06,1,3500,"fe7df",3
NaN,1,3500,"fe7df",4
3.48248326496595e-06,1,3500,"fe7df",5
2.68079593504546e-06,1,3500,"fe7df",6
NaN,1,3500,"fe7df",7
NaN,1,3500,"fe7df",8
NaN,1,3500,"fe7df",1
9.53060239888897e-06,1,3500,"fe7df",2
1.68320129344489e-05,1,3500,"fe7df",3
1.4305007830366e-05,1,3500,"fe7df",4
8.0949396616439e-06,1,3500,"fe7df",5
6.95755792215768e-06,1,3500,"fe7df",6
NaN,1,3500,"fe7df",7
NaN,1,3500,"fe7df",8
NaN,1,3500,"fe7df",1
1.22411471693934e-05,1,3500,"fe7df",2
7.66610498726824e-06,1,3500,"fe7df",3
1.01392755862211e-05,1,3500,"fe7df",4
1.78459808720002e-05,1,3500,"fe7df",5
1.84841774290325e-06,1,3500,"fe7df",6
NaN,1,3500,"fe7df",7
NaN,1,3500,"fe7df",8
2.71000194340454e-06,1,3500,"fe7df",1
6.11853196030384e-06,1,3500,"fe7df",2
2.09404528248252e-06,1,3500,"fe7df",3
2.92095052806882e-06,1,3500,"fe7df",4
NaN,1,3500,"fe7df",5
NaN,1,3500,"fe7df",6
NaN,1,3500,"fe7df",7
NaN,1,3500,"fe7df",8
NaN,1,3500,"fe7df",1
3.21794965365127e-05,1,3500,"fe7df",2
1.64228187091051e-05,1,3500,"fe7df",3
1.70701111870929e-05,1,3500,"fe7df",4
2.73825472184786e-05,1,3500,"fe7df",5
8.95631241707443e-06,1,3500,"fe7df",6
NaN,1,3500,"fe7df",7
NaN,1,3500,"fe7df",8
NaN,1,3500,"fe7df",1
1.99557239551215e-05,1,3500,"fe7df",2
1.02913581940389e-05,1,3500,"fe7df",3
2.03229749425477e-05,1,3500,"fe7df",4
NaN,1,3500,"fe7df",5
NaN,1,3500,"fe7df",6
NaN,1,3500,"fe7df",7
NaN,1,3500,"fe7df",8
1.81939791984024e-06,1,3500,"fe7df",1
NaN,1,3500,"fe7df",2
NaN,1,3500,"fe7df",3
2.3445689466807e-06,1,3500,"fe7df",4
1.94153622772666e-06,1,3500,"fe7df",5
3.69549067205055e-06,1,3500,"fe7df",6
NaN,1,3500,"fe7df",7
NaN,1,3500,"fe7df",8
4.05390660546329e-06,1,3500,"fe7df",1
4.13388215067753e-06,1,3500,"fe7df",2
4.31768013450867e-06,1,3500,"fe7df",3
4.90422553170772e-06,1,3500,"fe7df",4
NaN,1,3500,"fe7df",5
2.6259481467088e-06,1,3500,"fe7df",6
NaN,1,3500,"fe7df",7
NaN,1,3500,"fe7df",8
2.51567382499267e-06,1,3500,"fe7df",1
1.80742088757815e-06,1,3500,"fe7df",2
1.7109980961807e-06,1,3500,"fe7df",3
6.24817398148186e-06,1,3500,"fe7df",4
1.43042959475464e-05,1,3500,"fe7df",5
1.84462973887177e-06,1,3500,"fe7df",6
NaN,1,3500,"fe7df",7
NaN,1,3500,"fe7df",8
NaN,1,3500,"fe7df",1
NaN,1,3500,"fe7df",2
NaN,1,3500,"fe7df",3
NaN,1,3500,"fe7df",4
NaN,1,3500,"fe7df",5
NaN,1,3500,"fe7df",6
NaN,1,3500,"fe7df",7
NaN,1,3500,"fe7df",8
9.0482469140619e-06,1,3500,"fe7df",1
1.02474963995609e-05,1,3500,"fe7df",2
3.12730086538816e-06,1,3500,"fe7df",3
1.59680024096997e-05,1,3500,"fe7df",4
NaN,1,3500,"fe7df",5
NaN,1,3500,"fe7df",6
NaN,1,3500,"fe7df",7
NaN,1,3500,"fe7df",8
NaN,1,3500,"fe7df",1
2.14228893052267e-05,1,3500,"fe7df",2
NaN,1,3500,"fe7df",3
NaN,1,3500,"fe7df",4
NaN,1,3500,"fe7df",5
3.75974284794538e-06,1,3500,"fe7df",6
NaN,1,3500,"fe7df",7
NaN,1,3500,"fe7df",8
1.11244730921997e-05,1,3500,"fe7df",1
1.0965825058291e-05,1,3500,"fe7df",2
8.23651787480101e-06,1,3500,"fe7df",3
1.05633330643259e-05,1,3500,"fe7df",4
8.88738113640914e-06,1,3500,"fe7df",5
2.15461594248241e-05,1,3500,"fe7df",6
NaN,1,3500,"fe7df",7
NaN,1,3500,"fe7df",8
NaN,1,3500,"fe7df",1
NaN,1,3500,"fe7df",2
NaN,1,3500,"fe7df",3
NaN,1,3500,"fe7df",4
1.92452938503351e-06,1,3500,"fe7df",5
NaN,1,3500,"fe7df",6
NaN,1,3500,"fe7df",7
NaN,1,3500,"fe7df",8
NaN,1,3500,"fe7df",1
NaN,1,3500,"fe7df",2
