PPvec,blockVec,stimLevelVec,sidVec,chanVec
5.35840696396961e-06,1,3500,"fe7df",1
NaN,1,3500,"fe7df",2
NaN,1,3500,"fe7df",3
NaN,1,3500,"fe7df",4
NaN,1,3500,"fe7df",5
1.03576443784988e-05,1,3500,"fe7df",6
NaN,1,3500,"fe7df",7
NaN,1,3500,"fe7df",8
NaN,1,3500,"fe7df",1
NaN,1,3500,"fe7df",2
NaN,1,3500,"fe7df",3
NaN,1,3500,"fe7df",4
NaN,1,3500,"fe7df",5
3.76679750384345e-06,1,3500,"fe7df",6
NaN,1,3500,"fe7df",7
NaN,1,3500,"fe7df",8
NaN,1,3500,"fe7df",1
NaN,1,3500,"fe7df",2
6.14354528869562e-06,1,3500,"fe7df",3
7.27458053952095e-06,1,3500,"fe7df",4
5.13579714213348e-06,1,3500,"fe7df",5
NaN,1,3500,"fe7df",6
NaN,1,3500,"fe7df",7
NaN,1,3500,"fe7df",8
NaN,1,3500,"fe7df",1
NaN,1,3500,"fe7df",2
6.68613858468894e-06,1,3500,"fe7df",3
6.05082039938908e-06,1,3500,"fe7df",4
2.49261076893462e-06,1,3500,"fe7df",5
NaN,1,3500,"fe7df",6
NaN,1,3500,"fe7df",7
NaN,1,3500,"fe7df",8
NaN,1,3500,"fe7df",1
3.29812312748699e-06,1,3500,"fe7df",2
1.55769786250611e-06,1,3500,"fe7df",3
3.02601351883266e-06,1,3500,"fe7df",4
NaN,1,3500,"fe7df",5
2.25277773392973e-06,1,3500,"fe7df",6
NaN,1,3500,"fe7df",7
NaN,1,3500,"fe7df",8
NaN,1,3500,"fe7df",1
1.32102910000881e-05,1,3500,"fe7df",2
6.81720085963482e-06,1,3500,"fe7df",3
5.55285740907623e-06,1,3500,"fe7df",4
NaN,1,3500,"fe7df",5
NaN,1,3500,"fe7df",6
NaN,1,3500,"fe7df",7
NaN,1,3500,"fe7df",8
NaN,1,3500,"fe7df",1
3.94299353889336e-06,1,3500,"fe7df",2
3.14352330515564e-06,1,3500,"fe7df",3
3.01621486649916e-06,1,3500,"fe7df",4
1.65942001322447e-05,1,3500,"fe7df",5
NaN,1,3500,"fe7df",6
NaN,1,3500,"fe7df",7
NaN,1,3500,"fe7df",8
NaN,1,3500,"fe7df",1
8.73473417364507e-06,1,3500,"fe7df",2
NaN,1,3500,"fe7df",3
NaN,1,3500,"fe7df",4
NaN,1,3500,"fe7df",5
2.8468809546633e-05,1,3500,"fe7df",6
NaN,1,3500,"fe7df",7
NaN,1,3500,"fe7df",8
1.07579006816443e-05,1,3500,"fe7df",1
1.95090889612808e-05,1,3500,"fe7df",2
NaN,1,3500,"fe7df",3
NaN,1,3500,"fe7df",4
2.06755429454568e-05,1,3500,"fe7df",5
NaN,1,3500,"fe7df",6
NaN,1,3500,"fe7df",7
NaN,1,3500,"fe7df",8
NaN,1,3500,"fe7df",1
NaN,1,3500,"fe7df",2
1.19576986907476e-05,1,3500,"fe7df",3
NaN,1,3500,"fe7df",4
1.16104125157533e-05,1,3500,"fe7df",5
NaN,1,3500,"fe7df",6
NaN,1,3500,"fe7df",7
NaN,1,3500,"fe7df",8
NaN,1,3500,"fe7df",1
3.66434084157083e-06,1,3500,"fe7df",2
NaN,1,3500,"fe7df",3
NaN,1,3500,"fe7df",4
NaN,1,3500,"fe7df",5
NaN,1,3500,"fe7df",6
NaN,1,3500,"fe7df",7
NaN,1,3500,"fe7df",8
1.30735153431638e-05,1,3500,"fe7df",1
NaN,1,3500,"fe7df",2
NaN,1,3500,"fe7df",3
NaN,1,3500,"fe7df",4
NaN,1,3500,"fe7df",5
NaN,1,3500,"fe7df",6
NaN,1,3500,"fe7df",7
NaN,1,3500,"fe7df",8
NaN,1,3500,"fe7df",1
1.46648249952998e-05,1,3500,"fe7df",2
1.22131623785562e-05,1,3500,"fe7df",3
