PPvec,blockVec,stimLevelVec,sidVec,chanVec,PPfromAvgVec,rmsVec
NaN,1,3500,"fe7df",1,0,3.60282506957552e-05
NaN,1,3500,"fe7df",2,0,3.04904597867282e-05
NaN,1,3500,"fe7df",3,0,1.86478197742212e-05
NaN,1,3500,"fe7df",4,0,2.33783494580271e-05
NaN,1,3500,"fe7df",5,0,4.67181904234515e-05
NaN,1,3500,"fe7df",6,0,7.89752009793547e-05
NaN,1,3500,"fe7df",7,NaN,NaN
NaN,1,3500,"fe7df",8,NaN,NaN
NaN,1,3500,"fe7df",1,0,3.69627772603073e-05
NaN,1,3500,"fe7df",2,0,6.01204742689032e-05
NaN,1,3500,"fe7df",3,0,4.77309700310612e-05
NaN,1,3500,"fe7df",4,0,3.4272652634513e-05
NaN,1,3500,"fe7df",5,0,1.15379784205901e-05
NaN,1,3500,"fe7df",6,0,4.47237615287751e-05
NaN,1,3500,"fe7df",7,NaN,0
NaN,1,3500,"fe7df",8,NaN,0
NaN,1,3500,"fe7df",1,0,1.85161968095716e-05
1.9500768945332e-05,1,3500,"fe7df",2,0,1.01558858983864e-05
NaN,1,3500,"fe7df",3,0,9.4640411263534e-06
NaN,1,3500,"fe7df",4,0,1.23374496978636e-05
NaN,1,3500,"fe7df",5,0,1.44582001179633e-05
NaN,1,3500,"fe7df",6,0,3.61268319273778e-05
NaN,1,3500,"fe7df",7,NaN,0
NaN,1,3500,"fe7df",8,NaN,0
NaN,1,3500,"fe7df",1,0,3.68884480716358e-05
NaN,1,3500,"fe7df",2,0,4.6193453579181e-05
NaN,1,3500,"fe7df",3,0,3.98047570209361e-05
NaN,1,3500,"fe7df",4,0,4.12283144046833e-05
NaN,1,3500,"fe7df",5,0,2.69248460856878e-05
NaN,1,3500,"fe7df",6,0,1.73026279334323e-05
NaN,1,3500,"fe7df",7,NaN,0
NaN,1,3500,"fe7df",8,NaN,0
NaN,1,3500,"fe7df",1,0,4.44529833340945e-05
NaN,1,3500,"fe7df",2,0,2.45900143382022e-05
NaN,1,3500,"fe7df",3,0,2.19359420493728e-05
NaN,1,3500,"fe7df",4,0,2.78797989404992e-05
NaN,1,3500,"fe7df",5,0,3.83991572481798e-05
NaN,1,3500,"fe7df",6,0,1.31309043274702e-05
NaN,1,3500,"fe7df",7,NaN,0
NaN,1,3500,"fe7df",8,NaN,0
NaN,1,3500,"fe7df",1,0,4.98049429648324e-05
NaN,1,3500,"fe7df",2,0,1.0775574573662e-05
NaN,1,3500,"fe7df",3,0,1.92861292217561e-05
NaN,1,3500,"fe7df",4,0,1.52182166891366e-05
NaN,1,3500,"fe7df",5,0,4.07377008683731e-05
NaN,1,3500,"fe7df",6,0,4.89237029403848e-05
NaN,1,3500,"fe7df",7,NaN,0
NaN,1,3500,"fe7df",8,NaN,0
NaN,1,3500,"fe7df",1,0,4.57957604711668e-05
NaN,1,3500,"fe7df",2,0,1.75458899453255e-05
NaN,1,3500,"fe7df",3,0,1.16897076504771e-05
NaN,1,3500,"fe7df",4,0,9.18256205593903e-06
NaN,1,3500,"fe7df",5,0,2.54944035514421e-05
NaN,1,3500,"fe7df",6,0,3.96052487719996e-05
NaN,1,3500,"fe7df",7,NaN,0
NaN,1,3500,"fe7df",8,NaN,0
NaN,1,3500,"fe7df",1,0,2.80431322260115e-05
NaN,1,3500,"fe7df",2,0,2.47376568361914e-05
NaN,1,3500,"fe7df",3,0,1.23573334537972e-05
4.43783065830329e-05,1,3500,"fe7df",4,0,8.54068434689725e-06
NaN,1,3500,"fe7df",5,0,4.68517743746318e-05
NaN,1,3500,"fe7df",6,0,6.45376433210698e-05
NaN,1,3500,"fe7df",7,NaN,0
NaN,1,3500,"fe7df",8,NaN,0
NaN,1,3500,"fe7df",1,0,2.08113695868291e-05
NaN,1,3500,"fe7df",2,0,9.75702705964293e-06
