PPvec,blockVec,stimLevelVec,sidVec,chanVec,PPfromAvgVec,rmsVec
NaN,1,3500,"fe7df",1,0,2.793482947396e-05
NaN,1,3500,"fe7df",2,0,2.82257916171028e-05
NaN,1,3500,"fe7df",3,0,2.34350174098045e-05
NaN,1,3500,"fe7df",4,0,2.27162354109248e-05
NaN,1,3500,"fe7df",5,0,1.22207618519109e-05
NaN,1,3500,"fe7df",6,0,5.24566247091986e-05
NaN,1,3500,"fe7df",7,NaN,NaN
NaN,1,3500,"fe7df",8,NaN,NaN
NaN,1,3500,"fe7df",1,0,1.43701563786989e-05
NaN,1,3500,"fe7df",2,0,1.12338715602475e-05
NaN,1,3500,"fe7df",3,0,1.3405718840595e-05
NaN,1,3500,"fe7df",4,0,1.08351069669483e-05
NaN,1,3500,"fe7df",5,0,1.55987509403661e-05
NaN,1,3500,"fe7df",6,0,2.0334976573314e-05
NaN,1,3500,"fe7df",7,NaN,0
NaN,1,3500,"fe7df",8,NaN,0
NaN,1,3500,"fe7df",1,0,7.21772619910098e-06
NaN,1,3500,"fe7df",2,0,5.95954009062377e-06
NaN,1,3500,"fe7df",3,0,1.84844737762572e-05
NaN,1,3500,"fe7df",4,0,1.93108812599329e-05
NaN,1,3500,"fe7df",5,0,1.79299843290749e-05
NaN,1,3500,"fe7df",6,0,2.1990397080726e-05
NaN,1,3500,"fe7df",7,NaN,0
NaN,1,3500,"fe7df",8,NaN,0
NaN,1,3500,"fe7df",1,0,2.68989375329865e-05
NaN,1,3500,"fe7df",2,0,3.19437138594725e-05
NaN,1,3500,"fe7df",3,0,2.93575645605237e-05
NaN,1,3500,"fe7df",4,0,1.12233823046003e-05
NaN,1,3500,"fe7df",5,0,3.05094770283395e-05
NaN,1,3500,"fe7df",6,0,1.99795183002932e-05
NaN,1,3500,"fe7df",7,NaN,0
NaN,1,3500,"fe7df",8,NaN,0
NaN,1,3500,"fe7df",1,0,2.38436820080508e-05
NaN,1,3500,"fe7df",2,0,2.9446463764549e-05
NaN,1,3500,"fe7df",3,0,1.03367350205094e-05
NaN,1,3500,"fe7df",4,0,9.36827213350942e-06
NaN,1,3500,"fe7df",5,0,2.97873169392657e-05
NaN,1,3500,"fe7df",6,0,6.14451719938622e-05
NaN,1,3500,"fe7df",7,NaN,0
NaN,1,3500,"fe7df",8,NaN,0
NaN,1,3500,"fe7df",1,0,3.55698236591142e-05
NaN,1,3500,"fe7df",2,0,2.83421635728818e-05
NaN,1,3500,"fe7df",3,0,2.57987038648316e-05
NaN,1,3500,"fe7df",4,0,9.1945642700119e-06
NaN,1,3500,"fe7df",5,0,2.01207497382944e-05
NaN,1,3500,"fe7df",6,0,2.11335594947471e-05
NaN,1,3500,"fe7df",7,NaN,0
NaN,1,3500,"fe7df",8,NaN,0
NaN,1,3500,"fe7df",1,0,5.08306695530783e-06
NaN,1,3500,"fe7df",2,0,4.64220040085052e-06
NaN,1,3500,"fe7df",3,0,3.65454406249554e-06
NaN,1,3500,"fe7df",4,0,3.51861109450783e-06
NaN,1,3500,"fe7df",5,0,2.03377508983469e-05
NaN,1,3500,"fe7df",6,0,2.350643350173e-05
NaN,1,3500,"fe7df",7,NaN,0
NaN,1,3500,"fe7df",8,NaN,0
NaN,1,3500,"fe7df",1,0,1.56453640054017e-05
NaN,1,3500,"fe7df",2,0,7.64371788591678e-06
NaN,1,3500,"fe7df",3,0,5.66140305136429e-06
NaN,1,3500,"fe7df",4,0,1.18910161789587e-05
NaN,1,3500,"fe7df",5,0,1.59094866428376e-05
NaN,1,3500,"fe7df",6,0,5.70402131815911e-05
NaN,1,3500,"fe7df",7,NaN,0
NaN,1,3500,"fe7df",8,NaN,0
NaN,1,3500,"fe7df",1,0,6.55366477695831e-06
NaN,1,3500,"fe7df",2,0,1.0871051811335e-05
NaN,1,3500,"fe7df",3,0,2.7286163797091e-05
NaN,1,3500,"fe7df",4,0,2.58320130813442e-05
NaN,1,3500,"fe7df",5,0,3.5457504149263e-05
NaN,1,3500,"fe7df",6,0,8.49808230124089e-05
NaN,1,3500,"fe7df",7,NaN,0
NaN,1,3500,"fe7df",8,NaN,0
NaN,1,3500,"fe7df",1,0,1.34058784417606e-05
NaN,1,3500,"fe7df",2,0,1.36782131650716e-05
NaN,1,3500,"fe7df",3,0,6.96872083233071e-06
NaN,1,3500,"fe7df",4,0,9.53616936673299e-06
NaN,1,3500,"fe7df",5,0,3.92522499220128e-05
NaN,1,3500,"fe7df",6,0,2.10755727553553e-05
NaN,1,3500,"fe7df",7,NaN,0
NaN,1,3500,"fe7df",8,NaN,0
NaN,1,3500,"fe7df",1,0,1.22557759366261e-05
NaN,1,3500,"fe7df",2,0,2.03596263163382e-05
NaN,1,3500,"fe7df",3,0,2.40437741204484e-05
NaN,1,3500,"fe7df",4,0,1.3711026571339e-05
NaN,1,3500,"fe7df",5,0,7.5678216110511e-05
NaN,1,3500,"fe7df",6,0,5.86841960233154e-05
NaN,1,3500,"fe7df",7,NaN,0
NaN,1,3500,"fe7df",8,NaN,0
NaN,1,3500,"fe7df",1,0,1.68090421910049e-05
NaN,1,3500,"fe7df",2,0,1.45149100344525e-05
NaN,1,3500,"fe7df",3,0,1.68847338117427e-05
NaN,1,3500,"fe7df",4,0,2.18522835781963e-05
NaN,1,3500,"fe7df",5,0,3.6747565772507e-05
NaN,1,3500,"fe7df",6,0,4.79425175710792e-05
NaN,1,3500,"fe7df",7,NaN,0
NaN,1,3500,"fe7df",8,NaN,0
NaN,1,3500,"fe7df",1,0,1.54380473214025e-05
NaN,1,3500,"fe7df",2,0,1.15359396814966e-05
NaN,1,3500,"fe7df",3,0,2.27854324343635e-05
NaN,1,3500,"fe7df",4,0,6.23952289307066e-06
NaN,1,3500,"fe7df",5,0,1.27974258734643e-05
NaN,1,3500,"fe7df",6,0,1.91219233620012e-05
NaN,1,3500,"fe7df",7,NaN,0
NaN,1,3500,"fe7df",8,NaN,0
NaN,1,3500,"fe7df",1,0,6.0317761702658e-06
1.22982386502058e-05,1,3500,"fe7df",2,0,5.52071451286123e-06
NaN,1,3500,"fe7df",3,0,8.14724257992054e-06
1.07777734842408e-05,1,3500,"fe7df",4,0,8.7483810261357e-06
NaN,1,3500,"fe7df",5,0,2.78828740366375e-05
1.34890924213225e-05,1,3500,"fe7df",6,0,9.94410177419763e-06
NaN,1,3500,"fe7df",7,NaN,0
NaN,1,3500,"fe7df",8,NaN,0
NaN,1,3500,"fe7df",1,0,1.58935940760417e-05
NaN,1,3500,"fe7df",2,0,1.34800779278976e-05
NaN,1,3500,"fe7df",3,0,9.86307981926607e-06
NaN,1,3500,"fe7df",4,0,1.35602143544169e-05
NaN,1,3500,"fe7df",5,0,1.47397782711776e-05
6.5697620518287e-05,1,3500,"fe7df",6,0,5.06159423935641e-05
NaN,1,3500,"fe7df",7,NaN,0
NaN,1,3500,"fe7df",8,NaN,0
NaN,1,3500,"fe7df",1,0,5.23222932444144e-05
NaN,1,3500,"fe7df",2,0,1.64281474310054e-05
NaN,1,3500,"fe7df",3,0,1.63567715278206e-05
NaN,1,3500,"fe7df",4,0,1.86551016794368e-05
NaN,1,3500,"fe7df",5,0,2.69673424486391e-05
NaN,1,3500,"fe7df",6,0,1.93845100036615e-05
NaN,1,3500,"fe7df",7,NaN,0
NaN,1,3500,"fe7df",8,NaN,0
NaN,1,3500,"fe7df",1,0,1.19269708000138e-05
NaN,1,3500,"fe7df",2,0,2.02290184047338e-05
